Mach,alpha_deg,Cd,Cn,Cm
0.1,0,0.228,0,0
0.1,2,0.244,0.469,-0.342
0.1,4,0.294,0.951,-0.688
0.1,6,0.376,1.434,-1.017
0.1,8,0.491,1.914,-1.35
0.1,10,0.635,2.378,-1.691
0.1,12,0.801,2.805,-2.006
0.1,14,0.986,3.2,-2.25
0.1,16,1.19,3.577,-2.451
0.1,18,1.395,3.887,-2.628
0.1,20,1.587,4.111,-2.569
0.2,0,0.228,0,0
0.2,2,0.244,0.472,-0.346
0.2,4,0.294,0.955,-0.695
0.2,6,0.377,1.44,-1.026
0.2,8,0.492,1.919,-1.361
0.2,10,0.635,2.379,-1.698
0.2,12,0.799,2.797,-2
0.2,14,0.983,3.187,-2.231
0.2,16,1.188,3.57,-2.414
0.2,18,1.391,3.875,-2.566
0.2,20,1.587,4.112,-2.528
0.3,0,0.228,0,0
0.3,2,0.244,0.477,-0.354
0.3,4,0.295,0.965,-0.709
0.3,6,0.378,1.453,-1.044
0.3,8,0.493,1.931,-1.383
0.3,10,0.636,2.387,-1.716
0.3,12,0.799,2.797,-2.005
0.3,14,0.98,3.176,-2.225
0.3,16,1.181,3.547,-2.389
0.3,18,1.389,3.871,-2.533
0.3,20,1.599,4.15,-2.535
0.4,0,0.228,0,0
0.4,2,0.245,0.485,-0.365
0.4,4,0.296,0.98,-0.731
0.4,6,0.38,1.475,-1.075
0.4,8,0.497,1.959,-1.423
0.4,10,0.641,2.417,-1.762
0.4,12,0.805,2.827,-2.049
0.4,14,0.987,3.208,-2.275
0.4,16,1.191,3.581,-2.443
0.4,18,1.406,3.924,-2.6
0.4,20,1.627,4.231,-2.633
0.5,0,0.228,0,0
0.5,2,0.245,0.497,-0.382
0.5,4,0.297,1.004,-0.763
0.5,6,0.384,1.51,-1.123
0.5,8,0.503,2.006,-1.485
0.5,10,0.651,2.475,-1.839
0.5,12,0.818,2.893,-2.139
0.5,14,1.005,3.284,-2.384
0.5,16,1.215,3.669,-2.571
0.5,18,1.438,4.031,-2.756
0.5,20,1.67,4.358,-2.82
0.6,0,0.227,0,0
0.6,2,0.245,0.514,-0.405
0.6,4,0.299,1.036,-0.808
0.6,6,0.388,1.554,-1.185
0.6,8,0.51,2.061,-1.567
0.6,10,0.66,2.531,-1.933
0.6,12,0.831,2.956,-2.235
0.6,14,1.023,3.358,-2.488
0.6,16,1.235,3.746,-2.694
0.6,18,1.472,4.142,-2.934
0.6,20,1.725,4.523,-3.069
0.7,0,0.252,0,0
0.7,2,0.271,0.542,-0.483
0.7,4,0.328,1.095,-0.974
0.7,6,0.422,1.646,-1.445
0.7,8,0.552,2.184,-1.931
0.7,10,0.713,2.697,-2.449
0.7,12,0.906,3.204,-2.966
0.7,14,1.128,3.697,-3.44
0.7,16,1.368,4.144,-3.832
0.7,18,1.646,4.633,-4.293
0.7,20,1.944,5.099,-4.582
0.8,0,0.362,0,0
0.8,2,0.382,0.579,-0.536
0.8,4,0.443,1.172,-1.077
0.8,6,0.543,1.765,-1.59
0.8,8,0.684,2.359,-2.118
0.8,10,0.862,2.94,-2.678
0.8,12,1.072,3.491,-3.263
0.8,14,1.313,4.028,-3.823
0.8,16,1.589,4.577,-4.314
0.8,18,1.904,5.143,-4.922
0.8,20,2.23,5.649,-5.301
0.9,0,0.704,0,0
0.9,2,0.725,0.629,-0.574
0.9,4,0.79,1.272,-1.147
0.9,6,0.898,1.913,-1.687
0.9,8,1.049,2.556,-2.245
0.9,10,1.241,3.192,-2.849
0.9,12,1.469,3.807,-3.503
0.9,14,1.735,4.418,-4.148
0.9,16,2.042,5.044,-4.746
0.9,18,2.4,5.716,-5.556
0.9,20,2.766,6.301,-6.039
1,0,1.199,0,0
1,2,1.225,0.765,-0.756
1,4,1.303,1.548,-1.506
1,6,1.432,2.328,-2.21
1,8,1.615,3.119,-2.955
1,10,1.849,3.916,-3.782
1,12,2.135,4.713,-4.719
1,14,2.474,5.525,-5.694
1,16,2.869,6.36,-6.64
1,18,3.35,7.315,-8.039
1,20,3.829,8.105,-8.812
