Mach,alpha_deg,Reynolds,CA
0.1,0.0,10000,0.884
0.1,0.0,40000,0.621
0.1,0.0,100000,0.512
0.1,0.0,500000,0.389
0.1,0.0,1000000,0.353
0.1,0.0,10000000,0.273
0.1,0.0,20000000,0.257
0.1,0.0,50000000,0.239
0.1,0.0,75000000,0.232
0.1,0.0,100000000,0.228
0.1,2.0,10000,0.884
0.1,2.0,40000,0.621
0.1,2.0,100000,0.512
0.1,2.0,500000,0.389
0.1,2.0,1000000,0.353
0.1,2.0,10000000,0.273
0.1,2.0,20000000,0.257
0.1,2.0,50000000,0.239
0.1,2.0,75000000,0.233
0.1,2.0,100000000,0.228
0.1,4.0,10000,0.884
0.1,4.0,40000,0.620
0.1,4.0,100000,0.512
0.1,4.0,500000,0.389
0.1,4.0,1000000,0.353
0.1,4.0,10000000,0.273
0.1,4.0,20000000,0.257
0.1,4.0,50000000,0.239
0.1,4.0,75000000,0.233
0.1,4.0,100000000,0.228
0.1,6.0,10000,0.882
0.1,6.0,40000,0.619
0.1,6.0,100000,0.511
0.1,6.0,500000,0.388
0.1,6.0,1000000,0.352
0.1,6.0,10000000,0.272
0.1,6.0,20000000,0.256
0.1,6.0,50000000,0.239
0.1,6.0,75000000,0.232
0.1,6.0,100000000,0.228
0.1,8.0,10000,0.879
0.1,8.0,40000,0.617
0.1,8.0,100000,0.509
0.1,8.0,500000,0.387
0.1,8.0,1000000,0.351
0.1,8.0,10000000,0.271
0.1,8.0,20000000,0.255
0.1,8.0,50000000,0.238
0.1,8.0,75000000,0.231
0.1,8.0,100000000,0.227
0.1,10.0,10000,0.876
0.1,10.0,40000,0.614
0.1,10.0,100000,0.507
0.1,10.0,500000,0.385
0.1,10.0,1000000,0.349
0.1,10.0,10000000,0.270
0.1,10.0,20000000,0.254
0.1,10.0,50000000,0.236
0.1,10.0,75000000,0.230
0.1,10.0,100000000,0.225
0.1,12.0,10000,0.871
0.1,12.0,40000,0.610
0.1,12.0,100000,0.503
0.1,12.0,500000,0.381
0.1,12.0,1000000,0.346
0.1,12.0,10000000,0.267
0.1,12.0,20000000,0.251
0.1,12.0,50000000,0.234
0.1,12.0,75000000,0.227
0.1,12.0,100000000,0.223
0.1,14.0,10000,0.864
0.1,14.0,40000,0.604
0.1,14.0,100000,0.497
0.1,14.0,500000,0.376
0.1,14.0,1000000,0.341
0.1,14.0,10000000,0.262
0.1,14.0,20000000,0.247
0.1,14.0,50000000,0.229
0.1,14.0,75000000,0.223
0.1,14.0,100000000,0.218
0.1,16.0,10000,0.855
0.1,16.0,40000,0.596
0.1,16.0,100000,0.490
0.1,16.0,500000,0.370
0.1,16.0,1000000,0.334
0.1,16.0,10000000,0.256
0.1,16.0,20000000,0.240
0.1,16.0,50000000,0.223
0.1,16.0,75000000,0.217
0.1,16.0,100000000,0.212
0.1,18.0,10000,0.843
0.1,18.0,40000,0.586
0.1,18.0,100000,0.480
0.1,18.0,500000,0.360
0.1,18.0,1000000,0.325
0.1,18.0,10000000,0.248
0.1,18.0,20000000,0.232
0.1,18.0,50000000,0.215
0.1,18.0,75000000,0.208
0.1,18.0,100000000,0.204
0.1,20.0,10000,0.828
0.1,20.0,40000,0.572
0.1,20.0,100000,0.467
0.1,20.0,500000,0.348
0.1,20.0,1000000,0.313
0.1,20.0,10000000,0.236
0.1,20.0,20000000,0.220
0.1,20.0,50000000,0.203
0.1,20.0,75000000,0.197
0.1,20.0,100000000,0.193
0.2,0.0,10000,0.885
0.2,0.0,40000,0.621
0.2,0.0,100000,0.512
0.2,0.0,500000,0.389
0.2,0.0,1000000,0.353
0.2,0.0,10000000,0.273
0.2,0.0,20000000,0.257
0.2,0.0,50000000,0.239
0.2,0.0,75000000,0.232
0.2,0.0,100000000,0.228
0.2,2.0,10000,0.885
0.2,2.0,40000,0.621
0.2,2.0,100000,0.512
0.2,2.0,500000,0.389
0.2,2.0,1000000,0.353
0.2,2.0,10000000,0.273
0.2,2.0,20000000,0.257
0.2,2.0,50000000,0.239
0.2,2.0,75000000,0.233
0.2,2.0,100000000,0.228
0.2,4.0,10000,0.884
0.2,4.0,40000,0.621
0.2,4.0,100000,0.512
0.2,4.0,500000,0.389
0.2,4.0,1000000,0.353
0.2,4.0,10000000,0.273
0.2,4.0,20000000,0.257
0.2,4.0,50000000,0.239
0.2,4.0,75000000,0.232
0.2,4.0,100000000,0.228
0.2,6.0,10000,0.883
0.2,6.0,40000,0.619
0.2,6.0,100000,0.511
0.2,6.0,500000,0.388
0.2,6.0,1000000,0.352
0.2,6.0,10000000,0.272
0.2,6.0,20000000,0.256
0.2,6.0,50000000,0.239
0.2,6.0,75000000,0.232
0.2,6.0,100000000,0.228
0.2,8.0,10000,0.880
0.2,8.0,40000,0.617
0.2,8.0,100000,0.509
0.2,8.0,500000,0.387
0.2,8.0,1000000,0.351
0.2,8.0,10000000,0.271
0.2,8.0,20000000,0.255
0.2,8.0,50000000,0.238
0.2,8.0,75000000,0.231
0.2,8.0,100000000,0.227
0.2,10.0,10000,0.876
0.2,10.0,40000,0.614
0.2,10.0,100000,0.507
0.2,10.0,500000,0.385
0.2,10.0,1000000,0.349
0.2,10.0,10000000,0.270
0.2,10.0,20000000,0.254
0.2,10.0,50000000,0.236
0.2,10.0,75000000,0.229
0.2,10.0,100000000,0.225
0.2,12.0,10000,0.871
0.2,12.0,40000,0.610
0.2,12.0,100000,0.503
0.2,12.0,500000,0.381
0.2,12.0,1000000,0.345
0.2,12.0,10000000,0.267
0.2,12.0,20000000,0.251
0.2,12.0,50000000,0.233
0.2,12.0,75000000,0.227
0.2,12.0,100000000,0.222
0.2,14.0,10000,0.864
0.2,14.0,40000,0.604
0.2,14.0,100000,0.497
0.2,14.0,500000,0.376
0.2,14.0,1000000,0.341
0.2,14.0,10000000,0.262
0.2,14.0,20000000,0.246
0.2,14.0,50000000,0.229
0.2,14.0,75000000,0.223
0.2,14.0,100000000,0.218
0.2,16.0,10000,0.855
0.2,16.0,40000,0.596
0.2,16.0,100000,0.490
0.2,16.0,500000,0.369
0.2,16.0,1000000,0.334
0.2,16.0,10000000,0.256
0.2,16.0,20000000,0.240
0.2,16.0,50000000,0.223
0.2,16.0,75000000,0.216
0.2,16.0,100000000,0.212
0.2,18.0,10000,0.843
0.2,18.0,40000,0.586
0.2,18.0,100000,0.480
0.2,18.0,500000,0.360
0.2,18.0,1000000,0.325
0.2,18.0,10000000,0.247
0.2,18.0,20000000,0.232
0.2,18.0,50000000,0.214
0.2,18.0,75000000,0.208
0.2,18.0,100000000,0.204
0.2,20.0,10000,0.828
0.2,20.0,40000,0.572
0.2,20.0,100000,0.467
0.2,20.0,500000,0.347
0.2,20.0,1000000,0.312
0.2,20.0,10000000,0.235
0.2,20.0,20000000,0.220
0.2,20.0,50000000,0.203
0.2,20.0,75000000,0.196
0.2,20.0,100000000,0.192
0.3,0.0,10000,0.886
0.3,0.0,40000,0.621
0.3,0.0,100000,0.512
0.3,0.0,500000,0.389
0.3,0.0,1000000,0.353
0.3,0.0,10000000,0.273
0.3,0.0,20000000,0.257
0.3,0.0,50000000,0.239
0.3,0.0,75000000,0.232
0.3,0.0,100000000,0.228
0.3,2.0,10000,0.886
0.3,2.0,40000,0.621
0.3,2.0,100000,0.512
0.3,2.0,500000,0.389
0.3,2.0,1000000,0.353
0.3,2.0,10000000,0.273
0.3,2.0,20000000,0.257
0.3,2.0,50000000,0.239
0.3,2.0,75000000,0.232
0.3,2.0,100000000,0.228
0.3,4.0,10000,0.886
0.3,4.0,40000,0.621
0.3,4.0,100000,0.512
0.3,4.0,500000,0.389
0.3,4.0,1000000,0.353
0.3,4.0,10000000,0.273
0.3,4.0,20000000,0.257
0.3,4.0,50000000,0.239
0.3,4.0,75000000,0.232
0.3,4.0,100000000,0.228
0.3,6.0,10000,0.884
0.3,6.0,40000,0.620
0.3,6.0,100000,0.511
0.3,6.0,500000,0.388
0.3,6.0,1000000,0.352
0.3,6.0,10000000,0.272
0.3,6.0,20000000,0.256
0.3,6.0,50000000,0.239
0.3,6.0,75000000,0.232
0.3,6.0,100000000,0.228
0.3,8.0,10000,0.881
0.3,8.0,40000,0.618
0.3,8.0,100000,0.509
0.3,8.0,500000,0.387
0.3,8.0,1000000,0.351
0.3,8.0,10000000,0.271
0.3,8.0,20000000,0.255
0.3,8.0,50000000,0.238
0.3,8.0,75000000,0.231
0.3,8.0,100000000,0.227
0.3,10.0,10000,0.878
0.3,10.0,40000,0.615
0.3,10.0,100000,0.507
0.3,10.0,500000,0.384
0.3,10.0,1000000,0.349
0.3,10.0,10000000,0.269
0.3,10.0,20000000,0.253
0.3,10.0,50000000,0.236
0.3,10.0,75000000,0.229
0.3,10.0,100000000,0.225
0.3,12.0,10000,0.872
0.3,12.0,40000,0.611
0.3,12.0,100000,0.503
0.3,12.0,500000,0.381
0.3,12.0,1000000,0.345
0.3,12.0,10000000,0.266
0.3,12.0,20000000,0.251
0.3,12.0,50000000,0.233
0.3,12.0,75000000,0.227
0.3,12.0,100000000,0.222
0.3,14.0,10000,0.865
0.3,14.0,40000,0.605
0.3,14.0,100000,0.497
0.3,14.0,500000,0.376
0.3,14.0,1000000,0.341
0.3,14.0,10000000,0.262
0.3,14.0,20000000,0.246
0.3,14.0,50000000,0.229
0.3,14.0,75000000,0.222
0.3,14.0,100000000,0.218
0.3,16.0,10000,0.856
0.3,16.0,40000,0.597
0.3,16.0,100000,0.490
0.3,16.0,500000,0.369
0.3,16.0,1000000,0.334
0.3,16.0,10000000,0.256
0.3,16.0,20000000,0.240
0.3,16.0,50000000,0.223
0.3,16.0,75000000,0.216
0.3,16.0,100000000,0.212
0.3,18.0,10000,0.844
0.3,18.0,40000,0.586
0.3,18.0,100000,0.480
0.3,18.0,500000,0.360
0.3,18.0,1000000,0.324
0.3,18.0,10000000,0.247
0.3,18.0,20000000,0.231
0.3,18.0,50000000,0.214
0.3,18.0,75000000,0.208
0.3,18.0,100000000,0.203
0.3,20.0,10000,0.829
0.3,20.0,40000,0.572
0.3,20.0,100000,0.466
0.3,20.0,500000,0.347
0.3,20.0,1000000,0.312
0.3,20.0,10000000,0.235
0.3,20.0,20000000,0.219
0.3,20.0,50000000,0.202
0.3,20.0,75000000,0.196
0.3,20.0,100000000,0.192
0.4,0.0,10000,0.888
0.4,0.0,40000,0.622
0.4,0.0,100000,0.513
0.4,0.0,500000,0.389
0.4,0.0,1000000,0.353
0.4,0.0,10000000,0.273
0.4,0.0,20000000,0.256
0.4,0.0,50000000,0.239
0.4,0.0,75000000,0.232
0.4,0.0,100000000,0.228
0.4,2.0,10000,0.888
0.4,2.0,40000,0.622
0.4,2.0,100000,0.513
0.4,2.0,500000,0.389
0.4,2.0,1000000,0.353
0.4,2.0,10000000,0.273
0.4,2.0,20000000,0.257
0.4,2.0,50000000,0.239
0.4,2.0,75000000,0.232
0.4,2.0,100000000,0.228
0.4,4.0,10000,0.888
0.4,4.0,40000,0.622
0.4,4.0,100000,0.512
0.4,4.0,500000,0.389
0.4,4.0,1000000,0.353
0.4,4.0,10000000,0.273
0.4,4.0,20000000,0.257
0.4,4.0,50000000,0.239
0.4,4.0,75000000,0.232
0.4,4.0,100000000,0.228
0.4,6.0,10000,0.886
0.4,6.0,40000,0.621
0.4,6.0,100000,0.511
0.4,6.0,500000,0.388
0.4,6.0,1000000,0.352
0.4,6.0,10000000,0.272
0.4,6.0,20000000,0.256
0.4,6.0,50000000,0.238
0.4,6.0,75000000,0.232
0.4,6.0,100000000,0.227
0.4,8.0,10000,0.883
0.4,8.0,40000,0.619
0.4,8.0,100000,0.510
0.4,8.0,500000,0.387
0.4,8.0,1000000,0.351
0.4,8.0,10000000,0.271
0.4,8.0,20000000,0.255
0.4,8.0,50000000,0.237
0.4,8.0,75000000,0.231
0.4,8.0,100000000,0.226
0.4,10.0,10000,0.880
0.4,10.0,40000,0.616
0.4,10.0,100000,0.507
0.4,10.0,500000,0.385
0.4,10.0,1000000,0.348
0.4,10.0,10000000,0.269
0.4,10.0,20000000,0.253
0.4,10.0,50000000,0.236
0.4,10.0,75000000,0.229
0.4,10.0,100000000,0.225
0.4,12.0,10000,0.874
0.4,12.0,40000,0.611
0.4,12.0,100000,0.503
0.4,12.0,500000,0.381
0.4,12.0,1000000,0.345
0.4,12.0,10000000,0.266
0.4,12.0,20000000,0.250
0.4,12.0,50000000,0.233
0.4,12.0,75000000,0.226
0.4,12.0,100000000,0.222
