Mach,alpha_deg,Reynolds,CA
0.1,0.0,10000,0.878
0.1,0.0,40000,0.614
0.1,0.0,100000,0.505
0.1,0.0,500000,0.382
0.1,0.0,1000000,0.346
0.1,0.0,10000000,0.266
0.1,0.0,20000000,0.250
0.1,0.0,50000000,0.232
0.1,0.0,75000000,0.226
0.1,0.0,100000000,0.221
0.1,2.0,10000,0.878
0.1,2.0,40000,0.614
0.1,2.0,100000,0.505
0.1,2.0,500000,0.382
0.1,2.0,1000000,0.346
0.1,2.0,10000000,0.266
0.1,2.0,20000000,0.250
0.1,2.0,50000000,0.233
0.1,2.0,75000000,0.226
0.1,2.0,100000000,0.221
0.1,4.0,10000,0.877
0.1,4.0,40000,0.614
0.1,4.0,100000,0.505
0.1,4.0,500000,0.382
0.1,4.0,1000000,0.346
0.1,4.0,10000000,0.266
0.1,4.0,20000000,0.250
0.1,4.0,50000000,0.233
0.1,4.0,75000000,0.226
0.1,4.0,100000000,0.221
0.1,6.0,10000,0.875
0.1,6.0,40000,0.612
0.1,6.0,100000,0.504
0.1,6.0,500000,0.381
0.1,6.0,1000000,0.345
0.1,6.0,10000000,0.266
0.1,6.0,20000000,0.250
0.1,6.0,50000000,0.232
0.1,6.0,75000000,0.225
0.1,6.0,100000000,0.221
0.1,8.0,10000,0.873
0.1,8.0,40000,0.611
0.1,8.0,100000,0.502
0.1,8.0,500000,0.380
0.1,8.0,1000000,0.344
0.1,8.0,10000000,0.265
0.1,8.0,20000000,0.249
0.1,8.0,50000000,0.231
0.1,8.0,75000000,0.225
0.1,8.0,100000000,0.220
0.1,10.0,10000,0.869
0.1,10.0,40000,0.608
0.1,10.0,100000,0.500
0.1,10.0,500000,0.378
0.1,10.0,1000000,0.342
0.1,10.0,10000000,0.263
0.1,10.0,20000000,0.247
0.1,10.0,50000000,0.230
0.1,10.0,75000000,0.223
0.1,10.0,100000000,0.219
0.1,12.0,10000,0.864
0.1,12.0,40000,0.603
0.1,12.0,100000,0.496
0.1,12.0,500000,0.375
0.1,12.0,1000000,0.339
0.1,12.0,10000000,0.260
0.1,12.0,20000000,0.244
0.1,12.0,50000000,0.227
0.1,12.0,75000000,0.220
0.1,12.0,100000000,0.216
0.1,14.0,10000,0.857
0.1,14.0,40000,0.598
0.1,14.0,100000,0.491
0.1,14.0,500000,0.370
0.1,14.0,1000000,0.334
0.1,14.0,10000000,0.256
0.1,14.0,20000000,0.240
0.1,14.0,50000000,0.223
0.1,14.0,75000000,0.216
0.1,14.0,100000000,0.212
0.1,16.0,10000,0.848
0.1,16.0,40000,0.590
0.1,16.0,100000,0.483
0.1,16.0,500000,0.363
0.1,16.0,1000000,0.328
0.1,16.0,10000000,0.250
0.1,16.0,20000000,0.234
0.1,16.0,50000000,0.217
0.1,16.0,75000000,0.210
0.1,16.0,100000000,0.206
0.1,18.0,10000,0.836
0.1,18.0,40000,0.579
0.1,18.0,100000,0.473
0.1,18.0,500000,0.354
0.1,18.0,1000000,0.319
0.1,18.0,10000000,0.241
0.1,18.0,20000000,0.225
0.1,18.0,50000000,0.208
0.1,18.0,75000000,0.202
0.1,18.0,100000000,0.198
0.1,20.0,10000,0.821
0.1,20.0,40000,0.566
0.1,20.0,100000,0.460
0.1,20.0,500000,0.341
0.1,20.0,1000000,0.307
0.1,20.0,10000000,0.229
0.1,20.0,20000000,0.214
0.1,20.0,50000000,0.197
0.1,20.0,75000000,0.191
0.1,20.0,100000000,0.186
0.2,0.0,10000,0.878
0.2,0.0,40000,0.614
0.2,0.0,100000,0.505
0.2,0.0,500000,0.382
0.2,0.0,1000000,0.346
0.2,0.0,10000000,0.266
0.2,0.0,20000000,0.250
0.2,0.0,50000000,0.232
0.2,0.0,75000000,0.226
0.2,0.0,100000000,0.221
0.2,2.0,10000,0.878
0.2,2.0,40000,0.614
0.2,2.0,100000,0.505
0.2,2.0,500000,0.382
0.2,2.0,1000000,0.346
0.2,2.0,10000000,0.266
0.2,2.0,20000000,0.250
0.2,2.0,50000000,0.232
0.2,2.0,75000000,0.226
0.2,2.0,100000000,0.221
0.2,4.0,10000,0.878
0.2,4.0,40000,0.614
0.2,4.0,100000,0.505
0.2,4.0,500000,0.382
0.2,4.0,1000000,0.346
0.2,4.0,10000000,0.266
0.2,4.0,20000000,0.250
0.2,4.0,50000000,0.232
0.2,4.0,75000000,0.226
0.2,4.0,100000000,0.221
0.2,6.0,10000,0.876
0.2,6.0,40000,0.613
0.2,6.0,100000,0.504
0.2,6.0,500000,0.381
0.2,6.0,1000000,0.345
0.2,6.0,10000000,0.266
0.2,6.0,20000000,0.250
0.2,6.0,50000000,0.232
0.2,6.0,75000000,0.225
0.2,6.0,100000000,0.221
0.2,8.0,10000,0.873
0.2,8.0,40000,0.611
0.2,8.0,100000,0.503
0.2,8.0,500000,0.380
0.2,8.0,1000000,0.344
0.2,8.0,10000000,0.265
0.2,8.0,20000000,0.249
0.2,8.0,50000000,0.231
0.2,8.0,75000000,0.224
0.2,8.0,100000000,0.220
0.2,10.0,10000,0.870
0.2,10.0,40000,0.608
0.2,10.0,100000,0.500
0.2,10.0,500000,0.378
0.2,10.0,1000000,0.342
0.2,10.0,10000000,0.263
0.2,10.0,20000000,0.247
0.2,10.0,50000000,0.229
0.2,10.0,75000000,0.223
0.2,10.0,100000000,0.218
0.2,12.0,10000,0.865
0.2,12.0,40000,0.604
0.2,12.0,100000,0.496
0.2,12.0,500000,0.375
0.2,12.0,1000000,0.339
0.2,12.0,10000000,0.260
0.2,12.0,20000000,0.244
0.2,12.0,50000000,0.227
0.2,12.0,75000000,0.220
0.2,12.0,100000000,0.216
0.2,14.0,10000,0.858
