Mach,alpha_deg,Cmq,Cnq,Clp
0.1,0,-2.378,0.899,-0.277
0.1,2,-2.336,0.889,-0.279
0.1,4,-2.22,0.858,-0.285
0.1,6,-2.069,0.812,-0.287
0.1,8,-1.927,0.757,-0.279
0.1,10,-1.682,0.664,-0.258
0.1,12,-1.306,0.545,-0.232
0.1,14,-0.996,0.454,-0.202
0.1,16,-0.724,0.332,-0.154
0.1,18,-0.529,0.255,-0.087
0.1,20,-0.56,0.276,-0.053
0.2,0,-2.387,0.9,-0.283
0.2,2,-2.333,0.886,-0.286
0.2,4,-2.21,0.854,-0.291
0.2,6,-2.047,0.802,-0.291
0.2,8,-1.87,0.737,-0.281
0.2,10,-1.615,0.638,-0.257
0.2,12,-1.288,0.535,-0.232
0.2,14,-1.045,0.473,-0.204
0.2,16,-0.83,0.357,-0.154
0.2,18,-0.697,0.3,-0.094
0.2,20,-0.746,0.337,-0.073
0.3,0,-2.412,0.906,-0.29
0.3,2,-2.34,0.886,-0.293
0.3,4,-2.213,0.852,-0.298
0.3,6,-2.049,0.797,-0.297
0.3,8,-1.838,0.721,-0.284
0.3,10,-1.57,0.618,-0.256
0.3,12,-1.298,0.527,-0.227
0.3,14,-1.111,0.479,-0.199
0.3,16,-0.98,0.407,-0.161
0.3,18,-0.927,0.38,-0.121
0.3,20,-0.984,0.413,-0.111
0.4,0,-2.473,0.92,-0.3
0.4,2,-2.386,0.896,-0.302
0.4,4,-2.259,0.861,-0.307
0.4,6,-2.105,0.809,-0.306
0.4,8,-1.879,0.726,-0.292
0.4,10,-1.599,0.62,-0.262
0.4,12,-1.357,0.536,-0.23
0.4,14,-1.199,0.496,-0.205
0.4,16,-1.105,0.444,-0.171
0.4,18,-1.087,0.43,-0.14
0.4,20,-1.145,0.461,-0.135
0.5,0,-2.574,0.945,-0.311
0.5,2,-2.48,0.919,-0.314
0.5,4,-2.351,0.884,-0.319
0.5,6,-2.206,0.834,-0.318
0.5,8,-1.978,0.75,-0.304
0.5,10,-1.695,0.641,-0.273
0.5,12,-1.464,0.56,-0.241
0.5,14,-1.312,0.523,-0.217
0.5,16,-1.226,0.475,-0.184
0.5,18,-1.213,0.464,-0.157
0.5,20,-1.265,0.491,-0.152
0.6,0,-2.692,0.974,-0.324
0.6,2,-2.573,0.941,-0.327
0.6,4,-2.432,0.901,-0.332
0.6,6,-2.294,0.853,-0.331
0.6,8,-2.08,0.766,-0.313
0.6,10,-1.823,0.669,-0.282
0.6,12,-1.644,0.607,-0.249
0.6,14,-1.533,0.568,-0.226
0.6,16,-1.482,0.547,-0.203
0.6,18,-1.487,0.55,-0.193
0.6,20,-1.518,0.566,-0.196
0.7,0,-3.337,1.145,-0.338
0.7,2,-3.335,1.143,-0.342
0.7,4,-3.272,1.125,-0.348
0.7,6,-3.148,1.078,-0.347
0.7,8,-2.926,0.987,-0.337
0.7,10,-2.65,0.898,-0.329
0.7,12,-2.4,0.825,-0.313
0.7,14,-2.106,0.718,-0.288
0.7,16,-1.888,0.662,-0.261
0.7,18,-1.637,0.6,-0.252
0.7,20,-1.512,0.567,-0.247
0.8,0,-3.689,1.24,-0.358
0.8,2,-3.678,1.24,-0.363
0.8,4,-3.614,1.223,-0.373
0.8,6,-3.504,1.189,-0.379
0.8,8,-3.32,1.12,-0.376
0.8,10,-3.066,1.018,-0.361
0.8,12,-2.816,0.934,-0.346
0.8,14,-2.525,0.866,-0.333
0.8,16,-2.293,0.78,-0.311
0.8,18,-2.031,0.697,-0.287
0.8,20,-1.867,0.661,-0.271
0.9,0,-4.211,1.383,-0.389
0.9,2,-4.192,1.381,-0.39
0.9,4,-4.13,1.366,-0.393
0.9,6,-4.034,1.337,-0.396
0.9,8,-3.886,1.279,-0.395
0.9,10,-3.665,1.187,-0.389
0.9,12,-3.431,1.108,-0.382
0.9,14,-3.145,1.041,-0.373
0.9,16,-2.865,0.943,-0.358
0.9,18,-2.623,0.865,-0.341
0.9,20,-2.444,0.824,-0.335
1,0,-5.916,1.888,-0.359
1,2,-5.879,1.882,-0.359
1,4,-5.805,1.865,-0.361
1,6,-5.709,1.836,-0.367
1,8,-5.585,1.785,-0.377
1,10,-5.384,1.699,-0.388
1,12,-5.11,1.608,-0.399
1,14,-4.837,1.544,-0.4
1,16,-4.482,1.426,-0.393
1,18,-4.036,1.289,-0.376
1,20,-3.879,1.252,-0.376
