Mach,alpha_deg,def_roll,Cll
0.1,0,0,0
0.1,2,0,0
0.1,4,0,0
0.1,6,0,0
0.1,8,0,0
0.1,10,0,0
0.1,12,0,0
0.1,14,0,0
0.1,16,0,0
0.1,18,0,0
0.1,20,0,0
0.2,0,0,0
0.2,2,0,0
0.2,4,0,0
0.2,6,0,0
0.2,8,0,0
0.2,10,0,0
0.2,12,0,0
0.2,14,0,0
0.2,16,0,0
0.2,18,0,0
0.2,20,0,0
0.3,0,0,0
0.3,2,0,0
0.3,4,0,0
0.3,6,0,0
0.3,8,0,0
0.3,10,0,0
0.3,12,0,0
0.3,14,0,0
0.3,16,0,0
0.3,18,0,0
0.3,20,0,0
0.4,0,0,0
0.4,2,0,0
0.4,4,0,0
0.4,6,0,0
0.4,8,0,0
0.4,10,0,0
0.4,12,0,0
0.4,14,0,0
0.4,16,0,0
0.4,18,0,0
0.4,20,0,0
0.5,0,0,0
0.5,2,0,0
0.5,4,0,0
0.5,6,0,0
0.5,8,0,0
0.5,10,0,0
0.5,12,0,0
0.5,14,0,0
0.5,16,0,0
0.5,18,0,0
0.5,20,0,0
0.6,0,0,0
0.6,2,0,0
0.6,4,0,0
0.6,6,0,0
0.6,8,0,0
0.6,10,0,0
0.6,12,0,0
0.6,14,0,0
0.6,16,0,0
0.6,18,0,0
0.6,20,0,0
0.7,0,0,0
0.7,2,0,0
0.7,4,0,0
0.7,6,0,0
0.7,8,0,0
0.7,10,0,0
0.7,12,0,0
0.7,14,0,0
0.7,16,0,0
0.7,18,0,0
0.7,20,0,0
0.8,0,0,0
0.8,2,0,0
0.8,4,0,0
0.8,6,0,0
0.8,8,0,0
0.8,10,0,0
0.8,12,0,0
0.8,14,0,0
0.8,16,0,0
0.8,18,0,0
0.8,20,0,0
0.9,0,0,0
0.9,2,0,0
0.9,4,0,0
0.9,6,0,0
0.9,8,0,0
0.9,10,0,0
0.9,12,0,0
0.9,14,0,0
0.9,16,0,0
0.9,18,0,0
0.9,20,0,0
1,0,0,0
1,2,0,0
1,4,0,0
1,6,0,0
1,8,0,0
1,10,0,0
1,12,0,0
1,14,0,0
1,16,0,0
1,18,0,0
1,20,0,0
0.1,0,2,-0.079
0.1,2,2,-0.079
0.1,4,2,-0.081
0.1,6,2,-0.083
0.1,8,2,-0.084
0.1,10,2,-0.083
0.1,12,2,-0.074
0.1,14,2,-0.062
0.1,16,2,-0.056
0.1,18,2,-0.033
0.1,20,2,-0.019
0.2,0,2,-0.08
0.2,2,2,-0.081
0.2,4,2,-0.083
0.2,6,2,-0.085
