Time [second],Thrust [N],mdot [kg/s]
0.00083333,129.39017,0.057121212
0.00166666,756.43484,0.333939394
0.00249999,975.40282,0.430606061
0.00333332,686.76321,0.303181818
0.00416665,786.29411,0.347121212
0.00499998,915.68428,0.404242424
0.00583331,806.20029,0.355909091
0.00666664,816.15338,0.36030303
0.00749997,806.20029,0.355909091
0.0083333,676.81012,0.298787879
0.00916663,656.90394,0.29
0.00999996,656.90394,0.29
0.01083329,577.27922,0.254848485
0.01166662,537.46686,0.237272727
0.01249995,597.1854,0.263636364
0.01333328,627.04467,0.276818182
0.01416661,587.23231,0.259242424
0.01499994,557.37304,0.246060606
0.01583327,597.1854,0.263636364
0.0166666,617.09158,0.272424242
0.01749993,557.37304,0.246060606
0.01833326,537.46686,0.237272727
0.01916659,547.41995,0.241666667
0.01999992,517.56068,0.228484848
0.02083325,507.60759,0.224090909
0.02166658,527.51377,0.232878788
0.02249991,527.51377,0.232878788
0.02333324,527.51377,0.232878788
0.02416657,547.41995,0.241666667
0.0249999,527.51377,0.232878788
0.02583323,527.51377,0.232878788
0.02666656,537.46686,0.237272727
0.02749989,527.51377,0.232878788
0.02833322,497.6545,0.21969697
0.02916655,517.56068,0.228484848
0.02999988,537.46686,0.237272727
0.03083321,517.56068,0.228484848
0.03166654,527.51377,0.232878788
0.03249987,547.41995,0.241666667
0.0333332,547.41995,0.241666667
0.03416653,547.41995,0.241666667
0.03499986,537.46686,0.237272727
0.03583319,547.41995,0.241666667
0.03666652,557.37304,0.246060606
0.03749985,557.37304,0.246060606
0.03833318,557.37304,0.246060606
0.03916651,577.27922,0.254848485
0.03999984,577.27922,0.254848485
0.04083317,577.27922,0.254848485
0.0416665,577.27922,0.254848485
0.04249983,587.23231,0.259242424
0.04333316,597.1854,0.263636364
0.04416649,597.1854,0.263636364
0.04499982,597.1854,0.263636364
0.04583315,617.09158,0.272424242
0.04666648,636.99776,0.281212121
0.04749981,636.99776,0.281212121
0.04833314,636.99776,0.281212121
0.04916647,646.95085,0.285606061
0.0499998,646.95085,0.285606061
0.05083313,646.95085,0.285606061
0.05166646,646.95085,0.285606061
0.05249979,656.90394,0.29
0.05333312,666.85703,0.294393939
0.05416645,666.85703,0.294393939
0.05499978,676.81012,0.298787879
0.05583311,696.7163,0.307575758
0.05666644,706.66939,0.311969697
0.05749977,706.66939,0.311969697
0.0583331,706.66939,0.311969697
0.05916643,716.62248,0.316363636
0.05999976,716.62248,0.316363636
0.06083309,706.66939,0.311969697
0.06166642,716.62248,0.316363636
0.06249975,726.57557,0.320757576
0.06333308,726.57557,0.320757576
0.06416641,736.52866,0.325151515
0.06499974,746.48175,0.329545455
0.06583307,756.43484,0.333939394
0.0666664,766.38793,0.338333333
0.06749973,766.38793,0.338333333
0.06833306,766.38793,0.338333333
0.06916639,766.38793,0.338333333
0.06999972,756.43484,0.333939394
0.07083305,766.38793,0.338333333
0.07166638,766.38793,0.338333333
0.07249971,766.38793,0.338333333
0.07333304,786.29411,0.347121212
0.07416637,786.29411,0.347121212
0.0749997,786.29411,0.347121212
0.07583303,796.2472,0.351515152
0.07666636,796.2472,0.351515152
0.07749969,796.2472,0.351515152
0.07833302,796.2472,0.351515152
0.07916635,796.2472,0.351515152
0.07999968,796.2472,0.351515152
0.08083301,796.2472,0.351515152
0.08166634,796.2472,0.351515152
0.08249967,796.2472,0.351515152
0.083333,806.20029,0.355909091
0.08416633,806.20029,0.355909091
0.08499966,806.20029,0.355909091
0.08583299,806.20029,0.355909091
0.08666632,806.20029,0.355909091
0.08749965,806.20029,0.355909091
0.08833298,806.20029,0.355909091
0.08916631,806.20029,0.355909091
0.08999964,806.20029,0.355909091
0.09083297,806.20029,0.355909091
0.0916663,796.2472,0.351515152
0.09249963,806.20029,0.355909091
0.09333296,806.20029,0.355909091
0.09416629,796.2472,0.351515152
0.09499962,806.20029,0.355909091
0.09583295,806.20029,0.355909091
0.09666628,806.20029,0.355909091
0.09749961,796.2472,0.351515152
0.09833294,796.2472,0.351515152
0.09916627,796.2472,0.351515152
0.0999996,796.2472,0.351515152
0.10083293,796.2472,0.351515152
0.10166626,796.2472,0.351515152
0.10249959,796.2472,0.351515152
0.10333292,796.2472,0.351515152
0.10416625,796.2472,0.351515152
0.10499958,786.29411,0.347121212
0.10583291,786.29411,0.347121212
0.10666624,786.29411,0.347121212
0.10749957,796.2472,0.351515152
0.1083329,786.29411,0.347121212
0.10916623,786.29411,0.347121212
0.10999956,796.2472,0.351515152
0.11083289,786.29411,0.347121212
0.11166622,786.29411,0.347121212
0.11249955,786.29411,0.347121212
0.11333288,776.34102,0.342727273
0.11416621,776.34102,0.342727273
0.11499954,786.29411,0.347121212
