Mach,alpha_deg,Cd,Cn,Cm
0.3,-20.0,0.3750,-4.6890,13.6830
0.3,-16.0,0.4060,-3.5150,10.3180
0.3,-12.0,0.4320,-2.4550,7.4100
0.3,-8.0,0.4490,-1.5230,4.7740
0.3,-4.0,0.4650,-0.6730,2.1100
0.3,-2.0,0.4690,-0.3290,1.1540
0.3,0.0,0.4700,0.0000,0.0000
0.3,2.0,0.4690,0.3290,-1.1540
0.3,4.0,0.4650,0.6730,-2.1100
0.3,8.0,0.4490,1.5230,-4.7740
0.3,12.0,0.4320,2.4550,-7.4100
0.3,16.0,0.4060,3.5150,-10.3180
0.3,20.0,0.3750,4.6890,-13.6830
0.5,-20.0,0.3720,-4.7750,13.8800
0.5,-16.0,0.4040,-3.5670,10.4420
0.5,-12.0,0.4300,-2.4850,7.4870
0.5,-8.0,0.4480,-1.5380,4.8130
0.5,-4.0,0.4630,-0.6780,2.1270
0.5,-2.0,0.4670,-0.3320,1.1680
0.5,0.0,0.4690,0.0000,0.0000
0.5,2.0,0.4670,0.3320,-1.1680
0.5,4.0,0.4630,0.6780,-2.1270
0.5,8.0,0.4480,1.5380,-4.8130
0.5,12.0,0.4300,2.4850,-7.4870
0.5,16.0,0.4040,3.5670,-10.4420
0.5,20.0,0.3720,4.7750,-13.8800
0.8,-20.0,0.3630,-5.0710,13.9920
0.8,-16.0,0.3990,-3.7050,10.3970
0.8,-12.0,0.4270,-2.5570,7.4200
0.8,-8.0,0.4450,-1.5770,4.7380
0.8,-4.0,0.4610,-0.6930,2.0730
0.8,-2.0,0.4650,-0.3420,1.1700
0.8,0.0,0.4660,0.0000,0.0000
0.8,2.0,0.4650,0.3420,-1.1700
0.8,4.0,0.4610,0.6930,-2.0730
0.8,8.0,0.4450,1.5770,-4.7380
0.8,12.0,0.4270,2.5570,-7.4200
0.8,16.0,0.3990,3.7050,-10.3970
0.8,20.0,0.3630,5.0710,-13.9920
1.2,-20.0,0.6311,-6.4020,17.2060
1.2,-16.0,0.6688,-4.4970,12.4900
1.2,-12.0,0.6981,-2.9800,8.7090
1.2,-8.0,0.7183,-1.8020,5.5790
1.2,-4.0,0.7332,-0.7820,2.4140
1.2,-2.0,0.7371,-0.3920,1.4170
1.2,0.0,0.7384,0.0000,0.0000
1.2,2.0,0.7371,0.3920,-1.4170
1.2,4.0,0.7332,0.7820,-2.4140
1.2,8.0,0.7183,1.8020,-5.5790
1.2,12.0,0.6981,2.9800,-8.7090
1.2,16.0,0.6688,4.4970,-12.4900
1.2,20.0,0.6311,6.4020,-17.2060
2.0,-20.0,0.6080,-6.3640,12.3350
2.0,-16.0,0.6300,-4.4160,8.6700
2.0,-12.0,0.6470,-2.6630,5.4740
2.0,-8.0,0.6600,-1.5190,3.6010
2.0,-4.0,0.6670,-0.6860,2.0430
2.0,-2.0,0.6690,-0.3300,1.1020
2.0,0.0,0.6700,0.0000,0.0000
2.0,2.0,0.6690,0.3300,-1.1020
2.0,4.0,0.6670,0.6860,-2.0430
2.0,8.0,0.6600,1.5190,-3.6010
2.0,12.0,0.6470,2.6630,-5.4740
2.0,16.0,0.6300,4.4160,-8.6700
2.0,20.0,0.6080,6.3640,-12.3350
3.0,-20.0,0.5500,-5.2060,6.7430
3.0,-16.0,0.5530,-3.8930,4.8900
3.0,-12.0,0.5560,-2.5170,3.0640
3.0,-8.0,0.5580,-1.2800,1.6300
3.0,-4.0,0.5590,-0.5130,0.8870
3.0,-2.0,0.5590,-0.2350,0.4630
3.0,0.0,0.5590,0.0000,0.0000
3.0,2.0,0.5590,0.2350,-0.4630
3.0,4.0,0.5590,0.5130,-0.8870
3.0,8.0,0.5580,1.2800,-1.6300
3.0,12.0,0.5560,2.5170,-3.0640
3.0,16.0,0.5530,3.8930,-4.8900
3.0,20.0,0.5500,5.2060,-6.7430
4.0,-20.0,0.4990,-4.6930,5.4390
4.0,-16.0,0.4960,-3.4260,3.7480
4.0,-12.0,0.4930,-2.3270,2.4340
4.0,-8.0,0.4910,-1.2630,1.3140
4.0,-4.0,0.4890,-0.4550,0.6100
4.0,-2.0,0.4890,-0.2000,0.2920
4.0,0.0,0.4890,0.0000,0.0000
4.0,2.0,0.4890,0.2000,-0.2920
4.0,4.0,0.4890,0.4550,-0.6100
