Mach,alpha_deg,Reynolds,CA
0.3,0.0,100000.0,0.601
0.3,0.0,500000.0,0.473
0.3,0.0,1000000.0,0.433
0.3,0.0,5000000.0,0.394
0.3,0.0,10000000.0,0.394
0.3,0.0,15000000.0,0.394
0.3,0.0,20000000.0,0.394
0.3,0.0,50000000.0,0.394
0.3,0.0,60000000.0,0.394
0.3,0.0,70000000.0,0.394
0.3,2.0,100000.0,0.6
0.3,2.0,500000.0,0.472
0.3,2.0,1000000.0,0.432
0.3,2.0,5000000.0,0.392
0.3,2.0,10000000.0,0.392
0.3,2.0,15000000.0,0.391
0.3,2.0,20000000.0,0.391
0.3,2.0,50000000.0,0.39
0.3,2.0,60000000.0,0.39
0.3,2.0,70000000.0,0.39
0.3,4.0,100000.0,0.596
0.3,4.0,500000.0,0.468
0.3,4.0,1000000.0,0.428
0.3,4.0,5000000.0,0.387
0.3,4.0,10000000.0,0.384
0.3,4.0,15000000.0,0.382
0.3,4.0,20000000.0,0.38
0.3,4.0,50000000.0,0.378
0.3,4.0,60000000.0,0.378
0.3,4.0,70000000.0,0.378
0.3,6.0,100000.0,0.589
0.3,6.0,500000.0,0.462
0.3,6.0,1000000.0,0.422
0.3,6.0,5000000.0,0.379
0.3,6.0,10000000.0,0.372
0.3,6.0,15000000.0,0.367
0.3,6.0,20000000.0,0.364
0.3,6.0,50000000.0,0.359
0.3,6.0,60000000.0,0.359
0.3,6.0,70000000.0,0.358
0.3,8.0,100000.0,0.581
0.3,8.0,500000.0,0.453
0.3,8.0,1000000.0,0.414
0.3,8.0,5000000.0,0.368
0.3,8.0,10000000.0,0.359
0.3,8.0,15000000.0,0.352
0.3,8.0,20000000.0,0.348
0.3,8.0,50000000.0,0.342
0.3,8.0,60000000.0,0.341
0.3,8.0,70000000.0,0.341
0.3,10.0,100000.0,0.572
0.3,10.0,500000.0,0.445
0.3,10.0,1000000.0,0.406
0.3,10.0,5000000.0,0.361
0.3,10.0,10000000.0,0.352
0.3,10.0,15000000.0,0.346
0.3,10.0,20000000.0,0.343
0.3,10.0,50000000.0,0.338
0.3,10.0,60000000.0,0.338
0.3,10.0,70000000.0,0.337
0.3,12.0,100000.0,0.561
0.3,12.0,500000.0,0.435
0.3,12.0,1000000.0,0.396
0.3,12.0,5000000.0,0.352
0.3,12.0,10000000.0,0.344
0.3,12.0,15000000.0,0.338
0.3,12.0,20000000.0,0.337
0.3,12.0,50000000.0,0.333
0.3,12.0,60000000.0,0.332
0.3,12.0,70000000.0,0.332
0.3,14.0,100000.0,0.547
0.3,14.0,500000.0,0.422
0.3,14.0,1000000.0,0.383
0.3,14.0,5000000.0,0.34
0.3,14.0,10000000.0,0.333
0.3,14.0,15000000.0,0.329
0.3,14.0,20000000.0,0.328
0.3,14.0,50000000.0,0.324
0.3,14.0,60000000.0,0.324
0.3,14.0,70000000.0,0.324
0.3,16.0,100000.0,0.532
0.3,16.0,500000.0,0.407
0.3,16.0,1000000.0,0.369
0.3,16.0,5000000.0,0.327
0.3,16.0,10000000.0,0.322
0.3,16.0,15000000.0,0.319
0.3,16.0,20000000.0,0.318
0.3,16.0,50000000.0,0.316
0.3,16.0,60000000.0,0.316
0.3,16.0,70000000.0,0.315
0.3,18.0,100000.0,0.517
0.3,18.0,500000.0,0.393
0.3,18.0,1000000.0,0.354
0.3,18.0,5000000.0,0.314
0.3,18.0,10000000.0,0.31
0.3,18.0,15000000.0,0.308
0.3,18.0,20000000.0,0.307
0.3,18.0,50000000.0,0.305
0.3,18.0,60000000.0,0.304
0.3,18.0,70000000.0,0.304
0.3,20.0,100000.0,0.5
0.3,20.0,500000.0,0.377
0.3,20.0,1000000.0,0.339
0.3,20.0,5000000.0,0.3
0.3,20.0,10000000.0,0.298
0.3,20.0,15000000.0,0.296
0.3,20.0,20000000.0,0.296
0.3,20.0,50000000.0,0.294
0.3,20.0,60000000.0,0.294
0.3,20.0,70000000.0,0.294
0.5,0.0,100000.0,0.6
0.5,0.0,500000.0,0.471
0.5,0.0,1000000.0,0.431
0.5,0.0,5000000.0,0.39
0.5,0.0,10000000.0,0.39
0.5,0.0,15000000.0,0.39
0.5,0.0,20000000.0,0.39
0.5,0.0,50000000.0,0.39
0.5,0.0,60000000.0,0.39
0.5,0.0,70000000.0,0.39
0.5,2.0,100000.0,0.598
0.5,2.0,500000.0,0.47
0.5,2.0,1000000.0,0.43
0.5,2.0,5000000.0,0.388
0.5,2.0,10000000.0,0.388
0.5,2.0,15000000.0,0.387
0.5,2.0,20000000.0,0.387
0.5,2.0,50000000.0,0.386
0.5,2.0,60000000.0,0.386
0.5,2.0,70000000.0,0.386
0.5,4.0,100000.0,0.594
0.5,4.0,500000.0,0.466
0.5,4.0,1000000.0,0.426
0.5,4.0,5000000.0,0.383
0.5,4.0,10000000.0,0.38
0.5,4.0,15000000.0,0.378
0.5,4.0,20000000.0,0.376
0.5,4.0,50000000.0,0.374
0.5,4.0,60000000.0,0.374
0.5,4.0,70000000.0,0.374
0.5,6.0,100000.0,0.588
0.5,6.0,500000.0,0.46
0.5,6.0,1000000.0,0.42
0.5,6.0,5000000.0,0.375
0.5,6.0,10000000.0,0.369
0.5,6.0,15000000.0,0.363
0.5,6.0,20000000.0,0.36
0.5,6.0,50000000.0,0.355
0.5,6.0,60000000.0,0.355
0.5,6.0,70000000.0,0.354
0.5,8.0,100000.0,0.579
0.5,8.0,500000.0,0.452
0.5,8.0,1000000.0,0.412
0.5,8.0,5000000.0,0.365
0.5,8.0,10000000.0,0.356
0.5,8.0,15000000.0,0.348
0.5,8.0,20000000.0,0.344
0.5,8.0,50000000.0,0.338
0.5,8.0,60000000.0,0.338
0.5,8.0,70000000.0,0.337
0.5,10.0,100000.0,0.57
0.5,10.0,500000.0,0.444
0.5,10.0,1000000.0,0.404
0.5,10.0,5000000.0,0.357
0.5,10.0,10000000.0,0.349
0.5,10.0,15000000.0,0.342
0.5,10.0,20000000.0,0.34
0.5,10.0,50000000.0,0.335
0.5,10.0,60000000.0,0.334
0.5,10.0,70000000.0,0.333
0.5,12.0,100000.0,0.56
0.5,12.0,500000.0,0.433
0.5,12.0,1000000.0,0.394
0.5,12.0,5000000.0,0.348
0.5,12.0,10000000.0,0.341
0.5,12.0,15000000.0,0.335
0.5,12.0,20000000.0,0.333
0.5,12.0,50000000.0,0.329
0.5,12.0,60000000.0,0.329
0.5,12.0,70000000.0,0.328
0.5,14.0,100000.0,0.546
0.5,14.0,500000.0,0.42
0.5,14.0,1000000.0,0.381
0.5,14.0,5000000.0,0.336
0.5,14.0,10000000.0,0.33
0.5,14.0,15000000.0,0.325
0.5,14.0,20000000.0,0.324
0.5,14.0,50000000.0,0.321
0.5,14.0,60000000.0,0.32
0.5,14.0,70000000.0,0.32
0.5,16.0,100000.0,0.53
0.5,16.0,500000.0,0.405
0.5,16.0,1000000.0,0.366
0.5,16.0,5000000.0,0.323
0.5,16.0,10000000.0,0.319
0.5,16.0,15000000.0,0.315
0.5,16.0,20000000.0,0.314
0.5,16.0,50000000.0,0.312
0.5,16.0,60000000.0,0.311
0.5,16.0,70000000.0,0.311
0.5,18.0,100000.0,0.514
0.5,18.0,500000.0,0.391
0.5,18.0,1000000.0,0.352
0.5,18.0,5000000.0,0.309
0.5,18.0,10000000.0,0.306
0.5,18.0,15000000.0,0.303
0.5,18.0,20000000.0,0.302
0.5,18.0,50000000.0,0.3
0.5,18.0,60000000.0,0.3
0.5,18.0,70000000.0,0.3
0.5,20.0,100000.0,0.497
0.5,20.0,500000.0,0.374
0.5,20.0,1000000.0,0.336
0.5,20.0,5000000.0,0.295
0.5,20.0,10000000.0,0.293
0.5,20.0,15000000.0,0.291
0.5,20.0,20000000.0,0.29
0.5,20.0,50000000.0,0.289
0.5,20.0,60000000.0,0.289
0.5,20.0,70000000.0,0.289
0.8,0.0,100000.0,0.599
0.8,0.0,500000.0,0.469
0.8,0.0,1000000.0,0.428
0.8,0.0,5000000.0,0.382
0.8,0.0,10000000.0,0.382
0.8,0.0,15000000.0,0.382
0.8,0.0,20000000.0,0.382
0.8,0.0,50000000.0,0.382
0.8,0.0,60000000.0,0.382
0.8,0.0,70000000.0,0.382
0.8,2.0,100000.0,0.597
0.8,2.0,500000.0,0.467
0.8,2.0,1000000.0,0.427
0.8,2.0,5000000.0,0.381
0.8,2.0,10000000.0,0.38
0.8,2.0,15000000.0,0.38
0.8,2.0,20000000.0,0.379
0.8,2.0,50000000.0,0.379
0.8,2.0,60000000.0,0.378
0.8,2.0,70000000.0,0.378
0.8,4.0,100000.0,0.593
0.8,4.0,500000.0,0.463
0.8,4.0,1000000.0,0.423
0.8,4.0,5000000.0,0.375
0.8,4.0,10000000.0,0.373
0.8,4.0,15000000.0,0.371
0.8,4.0,20000000.0,0.369
0.8,4.0,50000000.0,0.367
0.8,4.0,60000000.0,0.366
0.8,4.0,70000000.0,0.366
0.8,6.0,100000.0,0.585
0.8,6.0,500000.0,0.456
0.8,6.0,1000000.0,0.416
0.8,6.0,5000000.0,0.367
0.8,6.0,10000000.0,0.362
0.8,6.0,15000000.0,0.357
0.8,6.0,20000000.0,0.353
0.8,6.0,50000000.0,0.348
0.8,6.0,60000000.0,0.347
0.8,6.0,70000000.0,0.347
0.8,8.0,100000.0,0.575
0.8,8.0,500000.0,0.446
0.8,8.0,1000000.0,0.406
0.8,8.0,5000000.0,0.356
0.8,8.0,10000000.0,0.349
0.8,8.0,15000000.0,0.342
0.8,8.0,20000000.0,0.337
0.8,8.0,50000000.0,0.331
0.8,8.0,60000000.0,0.33
0.8,8.0,70000000.0,0.329
0.8,10.0,100000.0,0.567
0.8,10.0,500000.0,0.438
0.8,10.0,1000000.0,0.398
0.8,10.0,5000000.0,0.349
0.8,10.0,10000000.0,0.342
0.8,10.0,15000000.0,0.336
0.8,10.0,20000000.0,0.332
0.8,10.0,50000000.0,0.327
0.8,10.0,60000000.0,0.326
0.8,10.0,70000000.0,0.326
0.8,12.0,100000.0,0.556
0.8,12.0,500000.0,0.428
0.8,12.0,1000000.0,0.388
0.8,12.0,5000000.0,0.339
0.8,12.0,10000000.0,0.334
0.8,12.0,15000000.0,0.328
0.8,12.0,20000000.0,0.325
0.8,12.0,50000000.0,0.321
0.8,12.0,60000000.0,0.321
0.8,12.0,70000000.0,0.32
0.8,14.0,100000.0,0.541
0.8,14.0,500000.0,0.414
0.8,14.0,1000000.0,0.375
0.8,14.0,5000000.0,0.326
0.8,14.0,10000000.0,0.322
0.8,14.0,15000000.0,0.317
0.8,14.0,20000000.0,0.315
0.8,14.0,50000000.0,0.312
0.8,14.0,60000000.0,0.311
0.8,14.0,70000000.0,0.311
0.8,16.0,100000.0,0.525
0.8,16.0,500000.0,0.399
0.8,16.0,1000000.0,0.36
0.8,16.0,5000000.0,0.313
0.8,16.0,10000000.0,0.309
0.8,16.0,15000000.0,0.306
0.8,16.0,20000000.0,0.304
0.8,16.0,50000000.0,0.302
0.8,16.0,60000000.0,0.301
0.8,16.0,70000000.0,0.301
0.8,18.0,100000.0,0.508
0.8,18.0,500000.0,0.383
0.8,18.0,1000000.0,0.344
0.8,18.0,5000000.0,0.298
0.8,18.0,10000000.0,0.295
0.8,18.0,15000000.0,0.292
0.8,18.0,20000000.0,0.291
0.8,18.0,50000000.0,0.289
0.8,18.0,60000000.0,0.289
0.8,18.0,70000000.0,0.288
0.8,20.0,100000.0,0.489
0.8,20.0,500000.0,0.365
0.8,20.0,1000000.0,0.326
0.8,20.0,5000000.0,0.281
0.8,20.0,10000000.0,0.28
0.8,20.0,15000000.0,0.278
0.8,20.0,20000000.0,0.277
0.8,20.0,50000000.0,0.276
0.8,20.0,60000000.0,0.276
0.8,20.0,70000000.0,0.276
0.9,0.0,100000.0,0.651
0.9,0.0,500000.0,0.518
0.9,0.0,1000000.0,0.477
0.9,0.0,5000000.0,0.428
0.9,0.0,10000000.0,0.428
0.9,0.0,15000000.0,0.428
0.9,0.0,20000000.0,0.428
0.9,0.0,50000000.0,0.428
0.9,0.0,60000000.0,0.428
0.9,0.0,70000000.0,0.428
