Mach,alpha_deg,Reynolds,CA
0.3,0.0,100000.0,0.471
0.3,0.0,500000.0,0.343
0.3,0.0,1000000.0,0.303
0.3,0.0,5000000.0,0.264
0.3,0.0,10000000.0,0.264
0.3,0.0,15000000.0,0.264
0.3,0.0,20000000.0,0.264
0.3,0.0,50000000.0,0.264
0.3,0.0,60000000.0,0.264
0.3,0.0,70000000.0,0.264
0.3,2.0,100000.0,0.47
0.3,2.0,500000.0,0.342
0.3,2.0,1000000.0,0.302
0.3,2.0,5000000.0,0.262
0.3,2.0,10000000.0,0.262
0.3,2.0,15000000.0,0.261
0.3,2.0,20000000.0,0.261
0.3,2.0,50000000.0,0.26
0.3,2.0,60000000.0,0.26
0.3,2.0,70000000.0,0.26
0.3,4.0,100000.0,0.466
0.3,4.0,500000.0,0.338
0.3,4.0,1000000.0,0.298
0.3,4.0,5000000.0,0.257
0.3,4.0,10000000.0,0.254
0.3,4.0,15000000.0,0.252
0.3,4.0,20000000.0,0.25
0.3,4.0,50000000.0,0.248
0.3,4.0,60000000.0,0.248
0.3,4.0,70000000.0,0.248
0.3,6.0,100000.0,0.46
0.3,6.0,500000.0,0.332
0.3,6.0,1000000.0,0.292
0.3,6.0,5000000.0,0.249
0.3,6.0,10000000.0,0.243
0.3,6.0,15000000.0,0.237
0.3,6.0,20000000.0,0.234
0.3,6.0,50000000.0,0.23
0.3,6.0,60000000.0,0.229
0.3,6.0,70000000.0,0.229
0.3,8.0,100000.0,0.452
0.3,8.0,500000.0,0.325
0.3,8.0,1000000.0,0.285
0.3,8.0,5000000.0,0.24
0.3,8.0,10000000.0,0.23
0.3,8.0,15000000.0,0.223
0.3,8.0,20000000.0,0.219
0.3,8.0,50000000.0,0.213
0.3,8.0,60000000.0,0.213
0.3,8.0,70000000.0,0.212
0.3,10.0,100000.0,0.444
0.3,10.0,500000.0,0.317
0.3,10.0,1000000.0,0.278
0.3,10.0,5000000.0,0.233
0.3,10.0,10000000.0,0.224
0.3,10.0,15000000.0,0.217
0.3,10.0,20000000.0,0.215
0.3,10.0,50000000.0,0.21
0.3,10.0,60000000.0,0.21
0.3,10.0,70000000.0,0.209
0.3,12.0,100000.0,0.434
0.3,12.0,500000.0,0.308
0.3,12.0,1000000.0,0.268
0.3,12.0,5000000.0,0.224
0.3,12.0,10000000.0,0.216
0.3,12.0,15000000.0,0.211
0.3,12.0,20000000.0,0.21
0.3,12.0,50000000.0,0.206
0.3,12.0,60000000.0,0.205
0.3,12.0,70000000.0,0.205
0.3,14.0,100000.0,0.421
0.3,14.0,500000.0,0.296
0.3,14.0,1000000.0,0.257
0.3,14.0,5000000.0,0.214
