Mach,delta_deg,Cd_delta
0.3,0,0
0.3,2,0.2802
0.3,4,0.2896
0.3,8,0.3263
0.3,12,0.4
0.3,16,0.4839
0.3,20,0.5869
0.5,0,0
0.5,2,0.2783
0.5,4,0.2879
0.5,8,0.3269
0.5,12,0.4037
0.5,16,0.4883
0.5,20,0.5931
0.8,0,0
0.8,2,0.3104
0.8,4,0.321
0.8,8,0.3668
0.8,12,0.4535
0.8,16,0.5549
0.8,20,0.6669
1.2,0,0
1.2,2,0.4874
1.2,4,0.5005
1.2,8,0.5529
1.2,12,0.6269
1.2,16,0.7222
1.2,20,0.8299
2,0,0
2,2,0.3344
2,4,0.3454
2,8,0.3694
2,12,0.4072
2,16,0.4571
2,20,0.5184
3,0,0
3,2,0.2136
3,4,0.2184
3,8,0.2339
3,12,0.2595
3,16,0.2945
3,20,0.3385
4,0,0
4,2,0.1528
4,4,0.156
4,8,0.1674
4,12,0.187
4,16,0.2162
4,20,0.2541
5,0,0
5,2,0.1186
5,4,0.1211
5,8,0.1306
5,12,0.1471
5,16,0.1725
5,20,0.2067
