Mach,alpha_deg,def_roll,Cll
0.3,0,5,-0.055
0.3,2,5,-0.055
0.3,4,5,-0.0564
0.3,8,5,-0.0378
0.3,12,5,-0.0571
0.3,16,5,-0.0866
0.5,0,5,-0.0564
0.5,2,5,-0.0564
0.5,4,5,-0.0573
0.5,8,5,-0.0353
0.5,12,5,-0.0511
0.5,16,5,-0.083
0.8,0,5,-0.0612
0.8,2,5,-0.0612
0.8,4,5,-0.0614
0.8,8,5,-0.0321
0.8,12,5,-0.0432
0.8,16,5,-0.0811
1.2,0,5,-0.0781
1.2,2,5,-0.0781
1.2,4,5,-0.0756
1.2,8,5,-0.0455
1.2,12,5,-0.0748
1.2,16,5,-0.15
2,0,5,-0.0347
2,2,5,-0.0347
2,4,5,-0.0392
2,8,5,-0.0455
2,12,5,-0.1054
2,16,5,-0.0926
3,0,5,-0.0307
3,2,5,-0.0307
3,4,5,-0.0379
3,8,5,-0.0615
3,12,5,-0.083
3,16,5,-0.057
5,0,5,-0.0276
5,2,5,-0.0276
5,4,5,-0.0344
5,8,5,-0.0577
5,12,5,-0.0526
5,16,5,-0.0647
6,0,5,-0.0256
6,2,5,-0.0256
6,4,5,-0.0321
6,8,5,-0.0521
6,12,5,-0.0501
6,16,5,-0.0573
0.3,0,10,-0.1198
0.3,2,10,-0.1198
0.3,4,10,-0.109
0.3,8,10,-0.0808
0.3,12,10,-0.1197
0.3,16,10,-0.1732
0.5,0,10,-0.1215
0.5,2,10,-0.1215
0.5,4,10,-0.1098
0.5,8,10,-0.0765
0.5,12,10,-0.1113
0.5,16,10,-0.1679
0.8,0,10,-0.1306
0.8,2,10,-0.1306
0.8,4,10,-0.1155
0.8,8,10,-0.0754
0.8,12,10,-0.1058
0.8,16,10,-0.1768
1.2,0,10,-0.1541
1.2,2,10,-0.1541
1.2,4,10,-0.1444
1.2,8,10,-0.1179
1.2,12,10,-0.1582
1.2,16,10,-0.2798
2,0,10,-0.0706
2,2,10,-0.0706
2,4,10,-0.0779
2,8,10,-0.0975
2,12,10,-0.2133
2,16,10,-0.1837
3,0,10,-0.0663
3,2,10,-0.0663
3,4,10,-0.0786
3,8,10,-0.1262
3,12,10,-0.161
3,16,10,-0.1127
4,0,10,-0.0601
4,2,10,-0.0601
4,4,10,-0.0735
4,8,10,-0.1151
4,12,10,-0.1068
4,16,10,-0.1309
5,0,10,-0.0559
5,2,10,-0.0559
5,4,10,-0.0703
5,8,10,-0.0995
5,12,10,-0.1038
5,16,10,-0.1266
0.3,0,15,-0.1712
0.3,2,15,-0.1712
0.3,4,15,-0.1627
0.3,8,15,-0.1332
0.3,12,15,-0.1658
0.3,16,15,-0.239
0.5,0,15,-0.1711
0.5,2,15,-0.1711
0.5,4,15,-0.1626
0.5,8,15,-0.1288
0.5,12,15,-0.1612
0.5,16,15,-0.2421
0.8,0,15,-0.1812
0.8,2,15,-0.1812
0.8,4,15,-0.1727
0.8,8,15,-0.1418
0.8,12,15,-0.1721
0.8,16,15,-0.269
1.2,0,15,-0.2054
1.2,2,15,-0.2054
1.2,4,15,-0.2087
1.2,8,15,-0.2074
1.2,12,15,-0.2473
1.2,16,15,-0.3881
2,0,15,-0.1058
2,2,15,-0.1058
2,4,15,-0.1179
2,8,15,-0.1575
2,12,15,-0.3145
2,16,15,-0.2606
3,0,15,-0.1044
3,2,15,-0.1044
3,4,15,-0.1187
3,8,15,-0.1942
3,12,15,-0.2304
3,16,15,-0.1677
4,0,15,-0.0987
4,2,15,-0.0987
4,4,15,-0.1176
4,8,15,-0.174
4,12,15,-0.1628
4,16,15,-0.1969
5,0,15,-0.094
5,2,15,-0.094
5,4,15,-0.1151
5,8,15,-0.1549
5,12,15,-0.161
5,16,15,-0.1934
