Mach,alpha_deg,Cd,Cn,Cm
0.3,-20.0,0.6290,-3.3821,10.9929
0.3,-16.0,0.5560,-3.2965,10.6492
0.3,-12.0,0.4710,-2.3519,6.8117
0.3,-8.0,0.4190,-1.4271,3.6002
0.3,-4.0,0.4000,-0.6512,1.5952
0.3,-2.0,0.3950,-0.3200,0.8280
0.3,0.0,0.0,0.0000,0.0000
0.3,2.0,0.3950,0.3200,-0.8280
0.3,4.0,0.4000,0.6512,-1.5952
0.3,8.0,0.4190,1.4271,-3.6002
0.3,12.0,0.4710,2.3519,-6.8117
0.3,16.0,0.5560,3.2965,-10.6492
0.3,20.0,0.6290,3.3821,-10.9929
0.5,-20.0,0.6240,-3.4093,11.0532
0.5,-16.0,0.5540,-3.3399,10.8737
0.5,-12.0,0.4690,-2.3814,6.9502
0.5,-8.0,0.4170,-1.4391,3.6137
0.5,-4.0,0.3960,-0.6500,1.5424
0.5,-2.0,0.3910,-0.3124,0.7417
0.5,0.0,0.0,0.0000,0.0000
0.5,2.0,0.3910,0.3124,-0.7417
0.5,4.0,0.3960,0.6500,-1.5424
0.5,8.0,0.4170,1.4391,-3.6137
0.5,12.0,0.4690,2.3814,-6.9502
0.5,16.0,0.5540,3.3399,-10.8737
0.5,20.0,0.6240,3.4093,-11.0532
0.8,-20.0,0.6500,-3.5835,12.1454
0.8,-16.0,0.5670,-3.5125,11.8722
0.8,-12.0,0.4730,-2.5019,7.5588
0.8,-8.0,0.4150,-1.4933,3.8717
0.8,-4.0,0.3900,-0.6555,1.5589
0.8,-2.0,0.3840,-0.3079,0.6923
0.8,0.0,0.0,0.0000,0.0000
0.8,2.0,0.3840,0.3079,-0.6923
0.8,4.0,0.3900,0.6555,-1.5589
0.8,8.0,0.4150,1.4933,-3.8717
0.8,12.0,0.4730,2.5019,-7.5588
0.8,16.0,0.5670,3.5125,-11.8722
0.8,20.0,0.6500,3.5835,-12.1454
1.2,-20.0,1.0890,-3.8382,11.9073
1.2,-16.0,0.9740,-3.7230,11.3946
1.2,-12.0,0.8730,-2.6320,7.5696
1.2,-8.0,0.7960,-1.5797,3.8067
1.2,-4.0,0.7490,-0.7055,1.4401
1.2,-2.0,0.7380,-0.3298,0.5833
1.2,0.0,0.0,0.0000,0.0000
1.2,2.0,0.7380,0.3298,-0.5833
1.2,4.0,0.7490,0.7055,-1.4401
1.2,8.0,0.7960,1.5797,-3.8067
1.2,12.0,0.8730,2.6320,-7.5696
1.2,16.0,0.9740,3.7230,-11.3946
1.2,20.0,1.0890,3.8382,-11.9073
2.0,-20.0,0.8130,-3.7034,5.8873
2.0,-16.0,0.7400,-3.5723,5.5651
2.0,-12.0,0.6810,-2.1221,4.1427
2.0,-8.0,0.6370,-1.2684,2.5456
2.0,-4.0,0.6120,-0.5732,1.0016
2.0,-2.0,0.6060,-0.2743,0.4231
2.0,0.0,0.0,0.0000,0.0000
2.0,2.0,0.6060,0.2743,-0.4231
2.0,4.0,0.6120,0.5732,-1.0016
2.0,8.0,0.6370,1.2684,-2.5456
2.0,12.0,0.6810,2.1221,-4.1427
2.0,16.0,0.7400,3.5723,-5.5651
2.0,20.0,0.8130,3.7034,-5.8873
3.0,-20.0,0.6330,-4.0903,6.1280
3.0,-16.0,0.5830,-3.9364,5.8600
3.0,-12.0,0.5440,-2.3247,2.7968
3.0,-8.0,0.5170,-1.1089,1.2596
3.0,-4.0,0.5020,-0.4690,0.5374
3.0,-2.0,0.4980,-0.2244,0.2551
3.0,0.0,0.0,0.0000,0.0000
3.0,2.0,0.4980,0.2244,-0.2551
3.0,4.0,0.5020,0.4690,-0.5374
3.0,8.0,0.5170,1.1089,-1.2596
3.0,12.0,0.5440,2.3247,-2.7968
3.0,16.0,0.5830,3.9364,-5.8600
3.0,20.0,0.6330,4.0903,-6.1280
4.0,-20.0,0.5470,-3.9133,6.5504
4.0,-16.0,0.5030,-3.7583,6.2450
4.0,-12.0,0.4730,-2.3358,3.2216
4.0,-8.0,0.4520,-1.1384,1.2022
4.0,-4.0,0.4410,-0.4138,0.3258
4.0,-2.0,0.4380,-0.1930,0.1610
4.0,0.0,0.0,0.0000,0.0000
4.0,2.0,0.4380,0.1930,-0.1610
4.0,4.0,0.4410,0.4138,-0.3258
4.0,8.0,0.4520,1.1384,-1.2022
4.0,12.0,0.4730,2.3358,-3.2216
4.0,16.0,0.5030,3.7583,-6.2450
4.0,20.0,0.5470,3.9133,-6.5504
5.0,-20.0,0.4870,-3.6451,6.1904
5.0,-16.0,0.4480,-3.4968,5.8891
5.0,-12.0,0.4210,-2.2101,3.3265
5.0,-8.0,0.4040,-1.1321,1.3981
5.0,-4.0,0.3950,-0.3842,0.3041
5.0,-2.0,0.3920,-0.1687,0.1091
5.0,0.0,0.0,0.0000,0.0000
5.0,2.0,0.3920,0.1687,-0.1091
5.0,4.0,0.3950,0.3842,-0.3041
5.0,8.0,0.4040,1.1321,-1.3981
5.0,12.0,0.4210,2.2101,-3.3265
5.0,16.0,0.4480,3.4968,-5.8891
5.0,20.0,0.4870,3.6451,-6.1904
6.0,-20.0,0.4520,-3.4371,5.8441
6.0,-16.0,0.4150,-3.2966,5.5575
6.0,-12.0,0.3900,-2.0663,3.1218
6.0,-8.0,0.3750,-1.0741,1.4421
6.0,-4.0,0.3670,-0.3610,0.3405
6.0,-2.0,0.3650,-0.1520,0.1089
6.0,0.0,0.0,0.0000,0.0000
6.0,2.0,0.3650,0.1520,-0.1089
6.0,4.0,0.3670,0.3610,-0.3405
6.0,8.0,0.3750,1.0741,-1.4421
6.0,12.0,0.3900,2.0663,-3.1218
6.0,16.0,0.4150,3.2966,-5.5575
6.0,20.0,0.4520,3.4371,-5.8441
