Mach,alpha_deg,Cmq,Cnq,Clp,Clnr,Cyr
0.3,-20.0,-21.027,2.029,-0.095,-21.851,2.240
0.3,-16.0,-22.535,2.175,-0.089,-22.507,2.277
0.3,-12.0,-23.839,2.332,-0.085,-23.199,2.334
0.3,-8.0,-25.027,2.498,-0.082,-23.783,2.399
0.3,-4.0,-26.130,2.638,-0.080,-24.320,2.463
0.3,-2.0,-25.721,2.590,-0.085,-25.744,2.613
0.3,0.0,-27.000,2.703,-0.076,-27.000,2.744
0.3,2.0,-25.721,2.590,-0.085,-25.744,2.613
0.3,4.0,-26.130,2.638,-0.080,-24.320,2.463
0.3,8.0,-25.027,2.498,-0.082,-23.783,2.399
0.3,12.0,-23.839,2.332,-0.085,-23.199,2.334
0.3,16.0,-22.535,2.175,-0.089,-22.507,2.277
0.3,20.0,-21.027,2.029,-0.095,-21.851,2.240
0.5,-20.0,-20.740,1.987,-0.096,-21.843,2.235
0.5,-16.0,-22.299,2.130,-0.090,-22.536,2.268
0.5,-12.0,-23.650,2.287,-0.086,-23.260,2.323
0.5,-8.0,-24.860,2.453,-0.083,-23.860,2.384
0.5,-4.0,-26.076,2.604,-0.081,-24.461,2.451
0.5,-2.0,-25.768,2.567,-0.086,-25.856,2.597
0.5,0.0,-27.097,2.685,-0.076,-27.097,2.726
0.5,2.0,-25.768,2.567,-0.086,-25.856,2.597
0.5,4.0,-26.076,2.604,-0.081,-24.461,2.451
0.5,8.0,-24.860,2.453,-0.083,-23.860,2.384
0.5,12.0,-23.650,2.287,-0.086,-23.260,2.323
0.5,16.0,-22.299,2.130,-0.090,-22.536,2.268
0.5,20.0,-20.740,1.987,-0.096,-21.843,2.235
0.8,-20.0,-21.708,1.994,-0.094,-22.672,2.219
0.8,-16.0,-23.063,2.117,-0.089,-23.282,2.248
0.8,-12.0,-24.189,2.250,-0.085,-23.876,2.293
0.8,-8.0,-25.279,2.405,-0.083,-24.357,2.342
0.8,-4.0,-26.529,2.560,-0.081,-24.869,2.400
0.8,-2.0,-26.181,2.518,-0.088,-26.358,2.556
0.8,0.0,-27.708,2.655,-0.078,-27.708,2.697
0.8,2.0,-26.181,2.518,-0.088,-26.358,2.556
0.8,4.0,-26.529,2.560,-0.081,-24.869,2.400
0.8,8.0,-25.279,2.405,-0.083,-24.357,2.342
0.8,12.0,-24.189,2.250,-0.085,-23.876,2.293
0.8,16.0,-23.063,2.117,-0.089,-23.282,2.248
0.8,20.0,-21.708,1.994,-0.094,-22.672,2.219
1.2,-20.0,-28.900,2.521,-0.092,-28.594,2.601
1.2,-16.0,-29.597,2.588,-0.088,-28.873,2.613
1.2,-12.0,-30.218,2.663,-0.086,-29.188,2.637
1.2,-8.0,-31.044,2.774,-0.084,-29.451,2.665
1.2,-4.0,-32.435,2.936,-0.083,-29.737,2.698
1.2,-2.0,-31.653,2.851,-0.093,-31.832,2.914
1.2,0.0,-33.723,3.052,-0.081,-33.723,3.109
1.2,2.0,-31.653,2.851,-0.093,-31.832,2.914
1.2,4.0,-32.435,2.936,-0.083,-29.737,2.698
1.2,8.0,-31.044,2.774,-0.084,-29.451,2.665
1.2,12.0,-30.218,2.663,-0.086,-29.188,2.637
1.2,16.0,-29.597,2.588,-0.088,-28.873,2.613
1.2,20.0,-28.900,2.521,-0.092,-28.594,2.601
2.0,-20.0,-21.102,2.035,-0.080,-21.772,2.128
2.0,-16.0,-21.645,2.085,-0.077,-22.044,2.146
2.0,-12.0,-22.196,2.138,-0.076,-22.407,2.175
2.0,-8.0,-22.808,2.204,-0.075,-22.787,2.210
2.0,-4.0,-23.681,2.296,-0.076,-23.248,2.253
2.0,-2.0,-23.529,2.278,-0.082,-24.196,2.348
2.0,0.0,-24.465,2.369,-0.076,-25.006,2.430
2.0,2.0,-23.529,2.278,-0.082,-24.196,2.348
2.0,4.0,-23.681,2.296,-0.076,-23.248,2.253
2.0,8.0,-22.808,2.204,-0.075,-22.787,2.210
2.0,12.0,-22.196,2.138,-0.076,-22.407,2.175
2.0,16.0,-21.645,2.085,-0.077,-22.044,2.146
2.0,20.0,-21.102,2.035,-0.080,-21.772,2.128
3.0,-20.0,-14.803,1.454,-0.067,-14.363,1.425
3.0,-16.0,-15.020,1.471,-0.065,-14.535,1.437
3.0,-12.0,-15.198,1.485,-0.063,-14.759,1.454
3.0,-8.0,-15.434,1.510,-0.062,-15.014,1.477
3.0,-4.0,-15.722,1.543,-0.062,-15.303,1.502
3.0,-2.0,-15.457,1.512,-0.065,-15.866,1.557
3.0,0.0,-15.769,1.539,-0.061,-16.360,1.606
3.0,2.0,-15.457,1.512,-0.065,-15.866,1.557
3.0,4.0,-15.722,1.543,-0.062,-15.303,1.502
3.0,8.0,-15.434,1.510,-0.062,-15.014,1.477
3.0,12.0,-15.198,1.485,-0.063,-14.759,1.454
3.0,16.0,-15.020,1.471,-0.065,-14.535,1.437
3.0,20.0,-14.803,1.454,-0.067,-14.363,1.425
4.0,-20.0,-13.199,1.315,-0.059,-12.494,1.248
4.0,-16.0,-13.062,1.302,-0.057,-12.446,1.245
4.0,-12.0,-13.011,1.300,-0.054,-12.520,1.253
4.0,-8.0,-13.152,1.316,-0.052,-12.734,1.275
4.0,-4.0,-13.312,1.333,-0.051,-12.981,1.301
4.0,-2.0,-12.990,1.298,-0.053,-13.383,1.343
4.0,0.0,-13.042,1.301,-0.050,-13.744,1.380
4.0,2.0,-12.990,1.298,-0.053,-13.383,1.343
4.0,4.0,-13.312,1.333,-0.051,-12.981,1.301
4.0,8.0,-13.152,1.316,-0.052,-12.734,1.275
4.0,12.0,-13.011,1.300,-0.054,-12.520,1.253
4.0,16.0,-13.062,1.302,-0.057,-12.446,1.245
4.0,20.0,-13.199,1.315,-0.059,-12.494,1.248
5.0,-20.0,-12.321,1.237,-0.055,-11.440,1.149
5.0,-16.0,-12.165,1.224,-0.053,-11.364,1.145
5.0,-12.0,-12.075,1.220,-0.049,-11.408,1.153
5.0,-8.0,-12.102,1.227,-0.047,-11.581,1.173
5.0,-4.0,-12.096,1.228,-0.044,-11.782,1.196
5.0,-2.0,-11.702,1.186,-0.045,-12.125,1.232
5.0,0.0,-11.606,1.171,-0.043,-12.418,1.264
5.0,2.0,-11.702,1.186,-0.045,-12.125,1.232
5.0,4.0,-12.096,1.228,-0.044,-11.782,1.196
5.0,8.0,-12.102,1.227,-0.047,-11.581,1.173
5.0,12.0,-12.075,1.220,-0.049,-11.408,1.153
5.0,16.0,-12.165,1.224,-0.053,-11.364,1.145
5.0,20.0,-12.321,1.237,-0.055,-11.440,1.149
6.0,-20.0,-11.975,1.204,-0.054,-10.862,1.092
6.0,-16.0,-11.783,1.189,-0.050,-10.748,1.085
6.0,-12.0,-11.618,1.180,-0.047,-10.761,1.091
6.0,-8.0,-11.553,1.180,-0.043,-10.894,1.108
6.0,-4.0,-11.397,1.167,-0.040,-11.068,1.131
6.0,-2.0,-10.912,1.115,-0.040,-11.370,1.165
6.0,0.0,-10.696,1.087,-0.038,-11.631,1.193
6.0,2.0,-10.912,1.115,-0.040,-11.370,1.165
6.0,4.0,-11.397,1.167,-0.040,-11.068,1.131
6.0,8.0,-11.553,1.180,-0.043,-10.894,1.108
6.0,12.0,-11.618,1.180,-0.047,-10.761,1.091
6.0,16.0,-11.783,1.189,-0.050,-10.748,1.085
6.0,20.0,-11.975,1.204,-0.054,-10.862,1.092
