Mach,delta_deg,CNd,CMd
0.3,-20.0,0.0255,0.1045
0.3,-16.0,0.0290,0.1245
0.3,-12.0,0.0295,0.1460
0.3,-8.0,0.0250,0.1855
0.3,-4.0,0.0125,0.2490
0.3,-2.0,0.0180,0.1645
0.3,0.0,0.000,0.0
0.3,2.0,0.0180,0.1645
0.3,4.0,0.0125,0.2490
0.3,8.0,0.0250,0.1855
0.3,12.0,0.0295,0.1460
0.3,16.0,0.0290,0.1245
0.3,20.0,0.0255,0.1045
0.5,-20.0,0.0245,0.0980
0.5,-16.0,0.0280,0.1215
0.5,-12.0,0.0295,0.1455
0.5,-8.0,0.0250,0.1885
0.5,-4.0,0.0125,0.2540
0.5,-2.0,0.0180,0.1680
0.5,0.0,0.0,0.0
0.5,2.0,0.0180,0.1680
0.5,4.0,0.0125,0.2540
0.5,8.0,0.0250,0.1885
0.5,12.0,0.0295,0.1455
0.5,16.0,0.0280,0.1215
0.5,20.0,0.0245,0.0980
0.8,-20.0,0.0285,0.1160
0.8,-16.0,0.0320,0.1375
0.8,-12.0,0.0330,0.1610
0.8,-8.0,0.0280,0.2080
0.8,-4.0,0.0135,0.2800
0.8,-2.0,0.0200,0.1855
0.8,0.0,0.0,0.0
0.8,2.0,0.0200,0.1855
0.8,4.0,0.0135,0.2800
0.8,8.0,0.0280,0.2080
0.8,12.0,0.0330,0.1610
0.8,16.0,0.0320,0.1375
0.8,20.0,0.0285,0.1160
1.2,-20.0,0.0370,0.1435
1.2,-16.0,0.0370,0.1550
1.2,-12.0,0.0360,0.1715
1.2,-8.0,0.0295,0.2215
1.2,-4.0,0.0125,0.3390
1.2,-2.0,0.0220,0.2265
1.2,0.0,0.0,0.0
1.2,2.0,0.0220,0.2265
1.2,4.0,0.0125,0.3390
1.2,8.0,0.0295,0.2215
1.2,12.0,0.0360,0.1715
1.2,16.0,0.0370,0.1550
1.2,20.0,0.0370,0.1435
2.0,-20.0,0.0195,0.0705
2.0,-16.0,0.0195,0.0750
2.0,-12.0,0.0195,0.0815
2.0,-8.0,0.0165,0.1030
2.0,-4.0,0.0100,0.1575
2.0,-2.0,0.0140,0.1100
2.0,0.0,0.0,0.0
2.0,2.0,0.0140,0.1100
2.0,4.0,0.0100,0.1575
2.0,8.0,0.0165,0.1030
2.0,12.0,0.0195,0.0815
2.0,16.0,0.0195,0.0750
2.0,20.0,0.0195,0.0705
3.0,-20.0,0.0135,0.0460
3.0,-16.0,0.0135,0.0475
3.0,-12.0,0.0135,0.0510
3.0,-8.0,0.0130,0.0615
3.0,-4.0,0.0105,0.0910
3.0,-2.0,0.0110,0.0625
3.0,0.0,0.0,0.0
3.0,2.0,0.0110,0.0625
3.0,4.0,0.0105,0.0910
3.0,8.0,0.0130,0.0615
3.0,12.0,0.0135,0.0510
3.0,16.0,0.0135,0.0475
3.0,20.0,0.0135,0.0460
4.0,-20.0,0.0120,0.0390
4.0,-16.0,0.0110,0.0375
4.0,-12.0,0.0105,0.0395
4.0,-8.0,0.0100,0.0430
4.0,-4.0,0.0070,0.0545
4.0,-2.0,0.0080,0.0420
4.0,0.0,0.0,0.0
4.0,2.0,0.0080,0.0420
4.0,4.0,0.0070,0.0545
4.0,8.0,0.0100,0.0430
4.0,12.0,0.0105,0.0395
4.0,16.0,0.0110,0.0375
4.0,20.0,0.0120,0.0390
5.0,-20.0,0.0115,0.0355
5.0,-16.0,0.0105,0.0335
5.0,-12.0,0.0090,0.0320
5.0,-8.0,0.0090,0.0355
5.0,-4.0,0.0060,0.0410
5.0,-2.0,0.0065,0.0310
5.0,0.0,0.0,0.0
5.0,2.0,0.0065,0.0310
5.0,4.0,0.0060,0.0410
5.0,8.0,0.0090,0.0355
5.0,12.0,0.0090,0.0320
5.0,16.0,0.0105,0.0335
5.0,20.0,0.0115,0.0355
6.0,-20.0,0.0110,0.0330
6.0,-16.0,0.0100,0.0310
6.0,-12.0,0.0095,0.0305
6.0,-8.0,0.0080,0.0310
6.0,-4.0,0.0055,0.0330
6.0,-2.0,0.0055,0.0250
6.0,0.0,0.0,0.0
6.0,2.0,0.0055,0.0250
6.0,4.0,0.0055,0.0330
6.0,8.0,0.0080,0.0310
6.0,12.0,0.0095,0.0305
6.0,16.0,0.0100,0.0310
6.0,20.0,0.0110,0.0330
