Mach,alpha_deg,def_roll,Cll
0.3,0.0,0,0.0
0.5,0.0,0,0.0
0.8,0.0,0,0.0
1.2,0.0,0,0.0
2.0,0.0,0,0.0
3.0,0.0,0,0.0
5.0,0.0,0,0.0
6.0,0.0,0,0.0
0.3,2.0,0,0.0
0.5,2.0,0,0.0
0.8,2.0,0,0.0
1.2,2.0,0,0.0
2.0,2.0,0,0.0
3.0,2.0,0,0.0
5.0,2.0,0,0.0
6.0,2.0,0,0.0
0.3,4.0,0,0.0
0.5,4.0,0,0.0
0.8,4.0,0,0.0
1.2,4.0,0,0.0
2.0,4.0,0,0.0
3.0,4.0,0,0.0
5.0,4.0,0,0.0
6.0,4.0,0,0.0
0.3,6.0,0,0.0
0.5,6.0,0,0.0
0.8,6.0,0,0.0
1.2,6.0,0,0.0
2.0,6.0,0,0.0
3.0,6.0,0,0.0
5.0,6.0,0,0.0
6.0,6.0,0,0.0
0.3,8.0,0,0.0
0.5,8.0,0,0.0
0.8,8.0,0,0.0
1.2,8.0,0,0.0
2.0,8.0,0,0.0
3.0,8.0,0,0.0
5.0,8.0,0,0.0
6.0,8.0,0,0.0
0.3,10.0,0,0.0
0.5,10.0,0,0.0
0.8,10.0,0,0.0
1.2,10.0,0,0.0
2.0,10.0,0,0.0
3.0,10.0,0,0.0
5.0,10.0,0,0.0
6.0,10.0,0,0.0
0.3,12.0,0,0.0
0.5,12.0,0,0.0
0.8,12.0,0,0.0
1.2,12.0,0,0.0
2.0,12.0,0,0.0
3.0,12.0,0,0.0
5.0,12.0,0,0.0
6.0,12.0,0,0.0
0.3,14.0,0,0.0
0.5,14.0,0,0.0
0.8,14.0,0,0.0
1.2,14.0,0,0.0
2.0,14.0,0,0.0
3.0,14.0,0,0.0
5.0,14.0,0,0.0
6.0,14.0,0,0.0
0.3,16.0,0,0.0
0.5,16.0,0,0.0
0.8,16.0,0,0.0
1.2,16.0,0,0.0
2.0,16.0,0,0.0
3.0,16.0,0,0.0
5.0,16.0,0,0.0
6.0,16.0,0,0.0
0.3,0.0,5,-0.048276
0.5,0.0,5,-0.04973
0.8,0.0,5,-0.052243
1.2,0.0,5,-0.068874
2.0,0.0,5,-0.025961
3.0,0.0,5,-0.020601
5.0,0.0,5,-0.020095
6.0,0.0,5,-0.017825
0.3,2.0,5,-0.049475
0.5,2.0,5,-0.050335
0.8,2.0,5,-0.053008
1.2,2.0,5,-0.067149
2.0,2.0,5,-0.033907
3.0,2.0,5,-0.029048
5.0,2.0,5,-0.023892
6.0,2.0,5,-0.020945
0.3,4.0,5,-0.049668
0.5,4.0,5,-0.050162
0.8,4.0,5,-0.054094
1.2,4.0,5,-0.06778
2.0,4.0,5,-0.040378
3.0,4.0,5,-0.039723
5.0,4.0,5,-0.032486
6.0,4.0,5,-0.02979
0.3,6.0,5,-0.039208
0.5,6.0,5,-0.038597
0.8,6.0,5,-0.044143
1.2,6.0,5,-0.057429
2.0,6.0,5,-0.039121
3.0,6.0,5,-0.04698
5.0,6.0,5,-0.050654
6.0,6.0,5,-0.046117
0.3,8.0,5,-0.025308
0.5,8.0,5,-0.021994
0.8,8.0,5,-0.02612
1.2,8.0,5,-0.036422
2.0,8.0,5,-0.058237
3.0,8.0,5,-0.071775
5.0,8.0,5,-0.059526
6.0,8.0,5,-0.048381
0.3,10.0,5,-0.037728
0.5,10.0,5,-0.031379
0.8,10.0,5,-0.031146
1.2,10.0,5,-0.045109
2.0,10.0,5,-0.088173
3.0,10.0,5,-0.11162
5.0,10.0,5,-0.537738
6.0,10.0,5,-0.047687
0.3,12.0,5,-0.062798
0.5,12.0,5,-0.054202
0.8,12.0,5,-0.05148
1.2,12.0,5,-0.078729
2.0,12.0,5,-0.12456
3.0,12.0,5,-0.074628
5.0,12.0,5,-0.053036
6.0,12.0,5,-0.053039
0.3,14.0,5,-0.089713
0.5,14.0,5,-0.081369
0.8,14.0,5,-0.080877
1.2,14.0,5,-0.1294
2.0,14.0,5,-0.15582
3.0,14.0,5,-0.058435
5.0,14.0,5,-0.060347
6.0,14.0,5,-0.060029
0.3,16.0,5,-0.10338
0.5,16.0,5,-0.10656
0.8,16.0,5,-0.1045
1.2,16.0,5,-0.16821
2.0,16.0,5,-0.075721
3.0,16.0,5,-0.055054
5.0,16.0,5,-0.068107
6.0,16.0,5,-0.066241
0.3,0.0,10,-0.117067
0.5,0.0,10,-0.119809
0.8,0.0,10,-0.129175
1.2,0.0,10,-0.147605
2.0,0.0,10,-0.060861
3.0,0.0,10,-0.047664
5.0,0.0,10,-0.041962
6.0,0.0,10,-0.038006
0.3,2.0,10,-0.10722
0.5,2.0,10,-0.10881
0.8,2.0,10,-0.11675
1.2,2.0,10,-0.13717
2.0,2.0,10,-0.069029
3.0,2.0,10,-0.06274
5.0,2.0,10,-0.051242
6.0,2.0,10,-0.045128
0.3,4.0,10,-0.098436
0.5,4.0,10,-0.098762
0.8,4.0,10,-0.10487
1.2,4.0,10,-0.13449
2.0,4.0,10,-0.078572
3.0,4.0,10,-0.079965
5.0,4.0,10,-0.06735
6.0,4.0,10,-0.062613
0.3,6.0,10,-0.089367
0.5,6.0,10,-0.087229
0.8,6.0,10,-0.08907
1.2,6.0,10,-0.13417
2.0,6.0,10,-0.090976
3.0,6.0,10,-0.094745
5.0,6.0,10,-0.10085
6.0,6.0,10,-0.090752
0.3,8.0,10,-0.069813
0.5,8.0,10,-0.064737
0.8,8.0,10,-0.062262
1.2,8.0,10,-0.10863
2.0,8.0,10,-0.1123
3.0,8.0,10,-0.14298
5.0,8.0,10,-0.11664
6.0,8.0,10,-0.09813
0.3,10.0,10,-0.084072
0.5,10.0,10,-0.072249
0.8,10.0,10,-0.069068
1.2,10.0,10,-0.10083
2.0,10.0,10,-0.16875
3.0,10.0,10,-0.2034
5.0,10.0,10,-0.10774
6.0,10.0,10,-0.097437
0.3,12.0,10,-0.13559
0.5,12.0,10,-0.12187
0.8,12.0,10,-0.12722
1.2,12.0,10,-0.16176
2.0,12.0,10,-0.24448
3.0,12.0,10,-0.1435
5.0,12.0,10,-0.10671
6.0,12.0,10,-0.10804
0.3,14.0,10,-0.19827
0.5,14.0,10,-0.18562
0.8,14.0,10,-0.19286
1.2,14.0,10,-0.25175
2.0,14.0,10,-0.25697
