time_s,thrust_N,mass_flow_kg_s
0.02,2018.78,0.8297902074907105
0.03,9957.03,4.092692611226201
0.05,63657.3,26.165408898096082
0.07,91374.9,37.55832593469468
0.09,89560.9,36.81270757291769
0.1,87613.4,36.01221597448291
0.12,87948.4,36.14991286047811
0.14,86888.9,35.71442076880076
0.16,86852.2,35.699335766663374
0.17,85956.3,35.33108907960935
0.19,86950.1,35.73957614021242
0.21,86063.1,35.37498766893558
0.23,86647.4,35.61515570024004
0.24,85898.4,35.30729012528361
0.26,86480.5,35.546553878530794
0.28,85766.0,35.25286902765446
0.3,86104.3,35.39192233073559
0.31,85819.4,35.27481832231758
0.33,85807.2,35.26980368945447
0.35,85567.9,35.171442898951035
0.37,85040.4,34.95462168294367
0.38,85155.0,35.00172634901845
0.4,84369.3,34.678775771924634
0.42,83450.1,34.30095195817303
0.44,82219.2,33.7950083851238
0.45,81670.5,33.56947321692808
0.47,80796.9,33.210392621091046
0.49,80731.3,33.18342869356483
0.51,80269.4,32.993571405083685
0.52,80301.7,33.00684785110651
0.54,79985.6,32.87691953569432
0.56,80295.0,33.004093913386605
0.58,79670.7,32.74748446285883
0.59,80102.5,32.924969583374434
0.61,79622.8,32.727795863338926
0.63,79991.2,32.87922133438558
0.65,79537.1,32.69257012265299
0.66,80117.0,32.93092959784288
0.68,79922.2,32.85085988622538
0.7,79931.1,32.854518102002565
0.72,79640.6,32.7351122948933
0.73,79899.9,32.84169379500838
0.75,80007.9,32.88608562691131
0.77,79937.8,32.85727203972247
0.79,80071.3,32.91214527638026
0.8,80113.6,32.929532077208904
0.82,80081.3,32.91625563118608
0.84,80000.1,32.88287955016277
0.86,80499.8,33.088273979809934
0.87,80322.8,33.0155206997468
0.89,80289.4,33.001792114695334
0.91,80249.4,32.98535069547203
0.93,80368.5,33.03430502120943
0.94,80458.6,33.07133931800993
0.96,80241.6,32.98214461872349
0.98,80547.6,33.107921475781794
1.0,80617.8,33.13677616651869
1.01,80689.0,33.16604189273618
1.03,80753.5,33.19255368123376
1.05,80823.6,33.22136726842261
1.07,81065.1,33.32063233698333
1.08,80956.1,33.27582946959982
1.1,81393.4,33.45557528525862
1.12,81078.5,33.326140212423134
1.14,81188.7,33.371436322383346
1.15,81352.3,33.438681727006674
1.17,81266.6,33.40345598632074
1.19,81279.9,33.40892275821248
1.21,81373.4,33.44735457564697
1.22,81484.7,33.49310282463582
1.24,81192.0,33.37279273946927
1.26,81143.0,33.35265200092072
1.28,81407.9,33.46153529972707
1.29,81607.1,33.54341356745915
1.31,81532.5,33.51275032060767
1.33,81772.9,33.611563250139746
1.35,81796.3,33.62118148038539
1.36,81799.6,33.62253789747131
1.38,82182.5,33.77992338298642
1.4,82053.4,33.72685870244319
1.42,81973.3,33.69393476044852
1.43,81762.9,33.60745289533392
1.45,81669.4,33.56902107789944
1.47,81887.6,33.65870901976259
1.49,82084.5,33.739641905889314
1.5,82102.3,33.74695833744369
1.52,82278.2,33.81925947847818
1.54,81938.8,33.67975403636842
1.56,82034.5,33.71909013186018
1.57,81961.0,33.688879024037355
1.59,81685.0,33.57543323139653
1.61,81952.1,33.68522080826017
1.63,81695.0,33.57954358620236
1.64,81959.9,33.68842688500871
1.66,81780.7,33.61476932688829
1.68,81853.1,33.644528295682484
1.7,81588.2,33.53564499687613
1.71,81986.6,33.699401532340275
1.73,81922.1,33.67288974384269
1.75,82159.1,33.77030515274078
1.77,81967.7,33.69163296175726
1.78,81598.2,33.539755351681954
1.8,81387.9,33.45331459011541
1.82,81800.8,33.623031140048006
1.84,81672.8,33.57041859853342
1.85,82133.5,33.75978264443787
1.87,81715.1,33.587805399362075
1.89,81931.0,33.676547959619874
1.91,81571.5,33.528780704350396
1.92,81407.9,33.46153529972707
1.94,81325.5,33.42766597612706
1.96,81404.6,33.46017888264115
1.98,81784.1,33.61616684752228
1.99,81533.7,33.513243563184375
2.01,81541.5,33.516449639932915
2.03,81545.9,33.518258196047476
2.05,81352.3,33.438681727006674
2.06,81138.6,33.35084344480616
2.08,81401.2,33.458781362007166
2.1,81554.8,33.52191641182467
2.12,81998.8,33.704416165203384
2.13,81808.5,33.6261961132485
2.15,81561.5,33.52467034954457
2.17,81409.0,33.46198743875571
2.19,81480.2,33.491253164973195
2.2,81565.9,33.52647890565913
2.22,81616.0,33.547071783236326
2.24,81742.9,33.599232185722265
2.26,81906.5,33.6664775903456
2.27,81797.4,33.62163361941403
2.29,81603.8,33.54205715037322
2.31,81745.1,33.600136463779556
2.33,81947.7,33.6834122521456
2.34,81760.7,33.606548617276644
2.36,81823.0,33.63215612771695
2.38,81510.3,33.50362533293874
2.4,81558.1,33.52327282891059
2.41,81755.1,33.60424681858538
2.43,82061.2,33.730064779191736
2.45,82160.2,33.77075729176942
2.47,82065.6,33.731873335306304
2.48,81969.9,33.692537239814534
2.5,82073.4,33.735079412054844
2.52,82002.2,33.705813685837356
2.54,81943.2,33.68156259248298
2.55,82222.5,33.79636480220972
2.57,81890.9,33.660065436848505
2.59,82189.2,33.78267732070632
2.61,82235.9,33.801872677649534
2.62,81833.0,33.63626648252277
2.64,82269.3,33.815601262700994
2.66,82328.3,33.839852356055374
2.68,82519.7,33.9185245470389
2.69,82799.0,34.03332675676564
2.71,82365.0,33.85493735819276
2.73,82557.5,33.93406168820493
2.75,82624.3,33.96151885830785
2.76,82616.5,33.9583127815593
2.78,82637.6,33.9669856301996
2.8,82786.8,34.02831212390254
2.82,82634.3,33.96562921311367
2.83,82883.6,34.06810035842294
2.85,82642.1,33.96883528986222
2.87,82885.8,34.06900463648022
2.89,83022.7,34.125275393771986
2.9,82911.4,34.079527144783135
2.92,83229.7,34.210359738252606
2.94,82963.7,34.101024300417606
2.96,83421.1,34.28903192923613
2.97,83500.1,34.32150373220217
2.99,83728.3,34.41530202887113
3.01,83875.2,34.47568314096873
3.03,83789.5,34.44045740028279
3.04,83856.3,34.467914570385716
3.06,83948.6,34.5058531452435
3.08,84021.0,34.53561211403768
3.1,84508.4,34.73595080727368
3.11,84812.2,34.8608233862747
3.13,85027.0,34.94911380750386
3.15,85038.2,34.95371740488639
3.17,85118.3,34.986641346881065
3.18,85210.6,35.02457992173885
3.2,84711.0,34.81922659563973
3.22,85827.2,35.278024399066126
3.24,85306.4,35.06395712077866
3.25,85606.8,35.1874321791457
3.27,85222.9,35.029635658150006
3.29,85335.3,35.0758360461675
3.31,85633.5,35.19840682647726
3.32,86013.0,35.35439479135839
3.34,86299.1,35.471992042353094
3.36,86474.9,35.54425207983953
3.38,86543.9,35.572613527999735
3.39,86338.0,35.48798132254776
3.41,86192.2,35.428052349478804
3.43,86213.4,35.436766301667156
3.45,86279.0,35.46373022919338
3.46,86192.2,35.428052349478804
3.48,86645.2,35.61425142218276
3.5,86964.6,35.74553615468087
3.52,86760.9,35.66180822728617
3.53,87338.5,35.899222320870734
3.55,86929.0,35.730903291572126
3.57,86967.9,35.74689257176679
3.59,86908.9,35.72264147841241
3.6,86607.3,35.598673177468676
3.62,86907.8,35.722189339383775
3.64,86667.4,35.623376409851694
3.66,86289.0,35.46784058399921
3.67,86804.3,35.679647167143465
3.69,86449.3,35.53372957153662
3.71,86723.1,35.64627108612015
3.73,86952.3,35.740480418269705
3.74,87040.2,35.77661043701292
3.76,87462.0,35.9499852027227
3.78,87541.0,35.98245700568873
3.8,87208.3,35.84570550129887
3.81,87239.4,35.85848870474499
3.83,87407.5,35.92758376903094
3.85,87315.1,35.889604090625106
3.87,87505.4,35.967824142579985
3.88,87546.6,35.98475880437999
3.9,87486.5,35.960055571996975
3.92,87695.7,36.04604419453487
3.94,87459.8,35.94908092466542
3.95,87763.6,36.07395350366644
3.97,87820.4,36.097300318963526
3.99,87680.2,36.03967314458584
4.01,87958.4,36.15402321528394
4.02,87886.0,36.12426424648976
4.04,87651.2,36.02775311564894
4.06,87977.3,36.16179178586695
4.08,87515.4,35.97193449738581
4.09,87771.4,36.07715958041498
4.11,87653.4,36.02865739370622
4.13,87600.0,36.00670809904311
4.15,87950.6,36.1508171385354
4.16,88089.7,36.20799217388445
4.18,87919.4,36.13799283154121
4.2,88029.6,36.18328894150143
4.22,88142.0,36.22948932951892
4.23,88144.2,36.230393607576204
4.25,88015.1,36.17732892703298
4.27,88081.9,36.2047860971359
4.29,88031.8,36.184193219558715
4.3,88147.6,36.23179112821019
4.32,88142.0,36.22948932951892
4.34,87900.5,36.1302242609582
4.36,88532.6,36.390039788234525
4.37,88065.2,36.19792180461017
4.39,88084.1,36.205690375193186
4.41,88260.0,36.27799151622768
4.43,88155.4,36.23499720495873
4.44,88324.5,36.30450330472526
4.46,88183.2,36.24642399131893
4.48,88636.1,36.43258196047483
4.5,88438.0,36.35115583177139
4.51,88196.5,36.25189076321068
4.53,88750.8,36.479727730097665
4.55,88089.7,36.20799217388445
4.57,87992.9,36.16820393936404
4.58,88953.3,36.56296241491565
4.6,88029.6,36.18328894150143
4.62,88294.5,36.292172240307785
4.64,89026.7,36.59313241919042
4.65,88481.4,36.368994771628685
4.67,88439.1,36.35160797080004
4.69,89185.9,36.658569267699185
4.71,88817.5,36.50714379665253
4.72,88741.8,36.476028410772415
4.74,89128.0,36.63477031337345
4.76,88911.0,36.54557561408701
4.78,88521.5,36.385477294400054
4.79,89102.4,36.62424780507053
4.81,89146.9,36.64253888395646
4.83,88583.8,36.41108480484036
4.85,88676.2,36.44906448324619
4.86,89378.4,36.73769359771135
4.88,88968.9,36.56937456841274
4.9,88751.9,36.480179869126296
4.92,89115.8,36.62975568051034
4.93,88889.9,36.53690276544671
4.95,88805.3,36.50212916378942
