Mach,alpha_deg,Reynolds,CA
0.29,0.0,100000.0,0.67
0.29,0.0,500000.0,0.521
0.29,0.0,1000000.0,0.475
0.29,0.0,3000000.0,0.431
0.29,0.0,5000000.0,0.431
0.29,0.0,7000000.0,0.431
0.29,0.0,10000000.0,0.431
0.29,0.0,30000000.0,0.431
0.29,0.0,40000000.0,0.431
0.29,0.0,50000000.0,0.431
0.29,0.0,70000000.0,0.431
0.29,2.0,100000.0,0.669
0.29,2.0,500000.0,0.52
0.29,2.0,1000000.0,0.474
0.29,2.0,3000000.0,0.429
0.29,2.0,5000000.0,0.429
0.29,2.0,7000000.0,0.428
0.29,2.0,10000000.0,0.427
0.29,2.0,30000000.0,0.426
0.29,2.0,40000000.0,0.426
0.29,2.0,50000000.0,0.426
0.29,2.0,70000000.0,0.426
0.29,4.0,100000.0,0.667
0.29,4.0,500000.0,0.518
0.29,4.0,1000000.0,0.472
0.29,4.0,3000000.0,0.426
0.29,4.0,5000000.0,0.423
0.29,4.0,7000000.0,0.42
0.29,4.0,10000000.0,0.417
0.29,4.0,30000000.0,0.413
0.29,4.0,40000000.0,0.412
0.29,4.0,50000000.0,0.412
0.29,4.0,70000000.0,0.412
0.29,6.0,100000.0,0.664
0.29,6.0,500000.0,0.516
0.29,6.0,1000000.0,0.47
0.29,6.0,3000000.0,0.421
0.29,6.0,5000000.0,0.415
0.29,6.0,7000000.0,0.409
0.29,6.0,10000000.0,0.402
0.29,6.0,30000000.0,0.393
0.29,6.0,40000000.0,0.391
0.29,6.0,50000000.0,0.39
0.29,6.0,70000000.0,0.389
0.29,8.0,100000.0,0.662
0.29,8.0,500000.0,0.515
0.29,8.0,1000000.0,0.469
0.29,8.0,3000000.0,0.414
0.29,8.0,5000000.0,0.404
0.29,8.0,7000000.0,0.393
0.29,8.0,10000000.0,0.379
0.29,8.0,30000000.0,0.362
0.29,8.0,40000000.0,0.359
0.29,8.0,50000000.0,0.357
0.29,8.0,70000000.0,0.356
0.29,10.0,100000.0,0.662
0.29,10.0,500000.0,0.515
0.29,10.0,1000000.0,0.469
0.29,10.0,3000000.0,0.41
0.29,10.0,5000000.0,0.394
0.29,10.0,7000000.0,0.378
0.29,10.0,10000000.0,0.358
0.29,10.0,30000000.0,0.332
0.29,10.0,40000000.0,0.328
0.29,10.0,50000000.0,0.326
0.29,10.0,70000000.0,0.323
0.29,12.0,100000.0,0.663
0.29,12.0,500000.0,0.516
0.29,12.0,1000000.0,0.47
0.29,12.0,3000000.0,0.41
0.29,12.0,5000000.0,0.393
0.29,12.0,7000000.0,0.376
0.29,12.0,10000000.0,0.356
0.29,12.0,30000000.0,0.33
0.29,12.0,40000000.0,0.326
0.29,12.0,50000000.0,0.323
0.29,12.0,70000000.0,0.321
0.29,14.0,100000.0,0.663
0.29,14.0,500000.0,0.517
0.29,14.0,1000000.0,0.471
0.29,14.0,3000000.0,0.412
0.29,14.0,5000000.0,0.396
0.29,14.0,7000000.0,0.379
0.29,14.0,10000000.0,0.361
0.29,14.0,30000000.0,0.339
0.29,14.0,40000000.0,0.336
0.29,14.0,50000000.0,0.333
0.29,14.0,70000000.0,0.331
0.29,16.0,100000.0,0.656
0.29,16.0,500000.0,0.511
0.29,16.0,1000000.0,0.466
0.29,16.0,3000000.0,0.408
0.29,16.0,5000000.0,0.393
0.29,16.0,7000000.0,0.377
0.29,16.0,10000000.0,0.362
0.29,16.0,30000000.0,0.342
0.29,16.0,40000000.0,0.339
0.29,16.0,50000000.0,0.337
0.29,16.0,70000000.0,0.335
0.29,18.0,100000.0,0.638
0.29,18.0,500000.0,0.494
0.29,18.0,1000000.0,0.449
0.29,18.0,3000000.0,0.393
0.29,18.0,5000000.0,0.379
0.29,18.0,7000000.0,0.366
0.29,18.0,10000000.0,0.352
0.29,18.0,30000000.0,0.334
0.29,18.0,40000000.0,0.331
0.29,18.0,50000000.0,0.329
0.29,18.0,70000000.0,0.327
0.29,20.0,100000.0,0.61
0.29,20.0,500000.0,0.467
0.29,20.0,1000000.0,0.422
0.29,20.0,3000000.0,0.369
0.29,20.0,5000000.0,0.359
0.29,20.0,7000000.0,0.348
0.29,20.0,10000000.0,0.337
0.29,20.0,30000000.0,0.322
0.29,20.0,40000000.0,0.32
0.29,20.0,50000000.0,0.318
0.29,20.0,70000000.0,0.317
0.3,0.0,100000.0,0.67
0.3,0.0,500000.0,0.521
0.3,0.0,1000000.0,0.475
0.3,0.0,3000000.0,0.43
0.3,0.0,5000000.0,0.43
0.3,0.0,7000000.0,0.43
0.3,0.0,10000000.0,0.43
0.3,0.0,30000000.0,0.43
0.3,0.0,40000000.0,0.43
0.3,0.0,50000000.0,0.43
0.3,0.0,70000000.0,0.43
0.3,2.0,100000.0,0.669
0.3,2.0,500000.0,0.52
0.3,2.0,1000000.0,0.474
0.3,2.0,3000000.0,0.429
0.3,2.0,5000000.0,0.428
0.3,2.0,7000000.0,0.428
0.3,2.0,10000000.0,0.427
0.3,2.0,30000000.0,0.426
0.3,2.0,40000000.0,0.426
0.3,2.0,50000000.0,0.426
0.3,2.0,70000000.0,0.426
0.3,4.0,100000.0,0.667
0.3,4.0,500000.0,0.518
0.3,4.0,1000000.0,0.472
0.3,4.0,3000000.0,0.425
0.3,4.0,5000000.0,0.423
0.3,4.0,7000000.0,0.42
0.3,4.0,10000000.0,0.417
0.3,4.0,30000000.0,0.413
0.3,4.0,40000000.0,0.412
0.3,4.0,50000000.0,0.412
0.3,4.0,70000000.0,0.411
0.3,6.0,100000.0,0.664
0.3,6.0,500000.0,0.516
0.3,6.0,1000000.0,0.47
0.3,6.0,3000000.0,0.42
0.3,6.0,5000000.0,0.415
0.3,6.0,7000000.0,0.409
0.3,6.0,10000000.0,0.402
0.3,6.0,30000000.0,0.393
0.3,6.0,40000000.0,0.391
0.3,6.0,50000000.0,0.39
0.3,6.0,70000000.0,0.389
0.3,8.0,100000.0,0.662
0.3,8.0,500000.0,0.515
0.3,8.0,1000000.0,0.468
0.3,8.0,3000000.0,0.414
0.3,8.0,5000000.0,0.404
0.3,8.0,7000000.0,0.393
0.3,8.0,10000000.0,0.379
0.3,8.0,30000000.0,0.362
0.3,8.0,40000000.0,0.359
0.3,8.0,50000000.0,0.357
0.3,8.0,70000000.0,0.356
0.3,10.0,100000.0,0.662
0.3,10.0,500000.0,0.515
0.3,10.0,1000000.0,0.469
0.3,10.0,3000000.0,0.409
0.3,10.0,5000000.0,0.394
0.3,10.0,7000000.0,0.378
0.3,10.0,10000000.0,0.358
0.3,10.0,30000000.0,0.332
0.3,10.0,40000000.0,0.328
0.3,10.0,50000000.0,0.326
0.3,10.0,70000000.0,0.323
0.3,12.0,100000.0,0.663
0.3,12.0,500000.0,0.516
0.3,12.0,1000000.0,0.47
0.3,12.0,3000000.0,0.41
0.3,12.0,5000000.0,0.393
0.3,12.0,7000000.0,0.376
0.3,12.0,10000000.0,0.355
0.3,12.0,30000000.0,0.33
0.3,12.0,40000000.0,0.326
0.3,12.0,50000000.0,0.323
