Mach,alpha_deg,Reynolds,CA
0.29,0.0,100000.0,0.54
0.29,0.0,500000.0,0.391
0.29,0.0,1000000.0,0.345
0.29,0.0,3000000.0,0.301
0.29,0.0,5000000.0,0.301
0.29,0.0,7000000.0,0.301
0.29,0.0,10000000.0,0.301
0.29,0.0,30000000.0,0.301
0.29,0.0,40000000.0,0.301
0.29,0.0,50000000.0,0.301
0.29,0.0,70000000.0,0.301
0.29,2.0,100000.0,0.539
0.29,2.0,500000.0,0.39
0.29,2.0,1000000.0,0.344
0.29,2.0,3000000.0,0.299
0.29,2.0,5000000.0,0.299
0.29,2.0,7000000.0,0.298
0.29,2.0,10000000.0,0.297
0.29,2.0,30000000.0,0.296
0.29,2.0,40000000.0,0.296
0.29,2.0,50000000.0,0.296
0.29,2.0,70000000.0,0.296
0.29,4.0,100000.0,0.537
0.29,4.0,500000.0,0.389
0.29,4.0,1000000.0,0.343
0.29,4.0,3000000.0,0.296
0.29,4.0,5000000.0,0.293
0.29,4.0,7000000.0,0.291
0.29,4.0,10000000.0,0.287
0.29,4.0,30000000.0,0.283
0.29,4.0,40000000.0,0.283
0.29,4.0,50000000.0,0.282
0.29,4.0,70000000.0,0.282
0.29,6.0,100000.0,0.535
0.29,6.0,500000.0,0.387
0.29,6.0,1000000.0,0.341
0.29,6.0,3000000.0,0.291
0.29,6.0,5000000.0,0.286
0.29,6.0,7000000.0,0.28
0.29,6.0,10000000.0,0.273
0.29,6.0,30000000.0,0.263
0.29,6.0,40000000.0,0.262
0.29,6.0,50000000.0,0.261
0.29,6.0,70000000.0,0.26
0.29,8.0,100000.0,0.533
0.29,8.0,500000.0,0.386
0.29,8.0,1000000.0,0.34
0.29,8.0,3000000.0,0.285
0.29,8.0,5000000.0,0.275
0.29,8.0,7000000.0,0.264
0.29,8.0,10000000.0,0.251
0.29,8.0,30000000.0,0.233
0.29,8.0,40000000.0,0.23
0.29,8.0,50000000.0,0.229
0.29,8.0,70000000.0,0.227
0.29,10.0,100000.0,0.534
0.29,10.0,500000.0,0.387
0.29,10.0,1000000.0,0.341
0.29,10.0,3000000.0,0.281
0.29,10.0,5000000.0,0.266
0.29,10.0,7000000.0,0.25
0.29,10.0,10000000.0,0.23
0.29,10.0,30000000.0,0.204
0.29,10.0,40000000.0,0.2
0.29,10.0,50000000.0,0.198
0.29,10.0,70000000.0,0.195
0.29,12.0,100000.0,0.536
0.29,12.0,500000.0,0.389
0.29,12.0,1000000.0,0.343
0.29,12.0,3000000.0,0.283
0.29,12.0,5000000.0,0.266
0.29,12.0,7000000.0,0.249
0.29,12.0,10000000.0,0.228
0.29,12.0,30000000.0,0.203
0.29,12.0,40000000.0,0.199
0.29,12.0,50000000.0,0.196
0.29,12.0,70000000.0,0.194
0.29,14.0,100000.0,0.537
0.29,14.0,500000.0,0.391
0.29,14.0,1000000.0,0.345
0.29,14.0,3000000.0,0.286
0.29,14.0,5000000.0,0.269
0.29,14.0,7000000.0,0.253
0.29,14.0,10000000.0,0.235
0.29,14.0,30000000.0,0.213
0.29,14.0,40000000.0,0.209
0.29,14.0,50000000.0,0.207
0.29,14.0,70000000.0,0.205
0.29,16.0,100000.0,0.531
0.29,16.0,500000.0,0.386
0.29,16.0,1000000.0,0.34
0.29,16.0,3000000.0,0.283
0.29,16.0,5000000.0,0.267
0.29,16.0,7000000.0,0.252
0.29,16.0,10000000.0,0.237
0.29,16.0,30000000.0,0.217
0.29,16.0,40000000.0,0.214
0.29,16.0,50000000.0,0.212
0.29,16.0,70000000.0,0.21
0.29,18.0,100000.0,0.514
0.29,18.0,500000.0,0.37
0.29,18.0,1000000.0,0.325
0.29,18.0,3000000.0,0.269
0.29,18.0,5000000.0,0.256
0.29,18.0,7000000.0,0.242
0.29,18.0,10000000.0,0.228
0.29,18.0,30000000.0,0.21
0.29,18.0,40000000.0,0.207
0.29,18.0,50000000.0,0.205
0.29,18.0,70000000.0,0.203
0.29,20.0,100000.0,0.488
0.29,20.0,500000.0,0.345
0.29,20.0,1000000.0,0.3
0.29,20.0,3000000.0,0.247
0.29,20.0,5000000.0,0.236
0.29,20.0,7000000.0,0.226
0.29,20.0,10000000.0,0.214
0.29,20.0,30000000.0,0.2
0.29,20.0,40000000.0,0.198
0.29,20.0,50000000.0,0.196
0.29,20.0,70000000.0,0.194
0.3,0.0,100000.0,0.54
0.3,0.0,500000.0,0.391
0.3,0.0,1000000.0,0.345
0.3,0.0,3000000.0,0.3
0.3,0.0,5000000.0,0.3
0.3,0.0,7000000.0,0.3
0.3,0.0,10000000.0,0.3
0.3,0.0,30000000.0,0.3
0.3,0.0,40000000.0,0.3
0.3,0.0,50000000.0,0.3
0.3,0.0,70000000.0,0.3
0.3,2.0,100000.0,0.539
0.3,2.0,500000.0,0.39
0.3,2.0,1000000.0,0.344
0.3,2.0,3000000.0,0.299
0.3,2.0,5000000.0,0.298
0.3,2.0,7000000.0,0.298
0.3,2.0,10000000.0,0.297
0.3,2.0,30000000.0,0.296
0.3,2.0,40000000.0,0.296
0.3,2.0,50000000.0,0.296
0.3,2.0,70000000.0,0.296
0.3,4.0,100000.0,0.537
0.3,4.0,500000.0,0.389
0.3,4.0,1000000.0,0.342
0.3,4.0,3000000.0,0.296
0.3,4.0,5000000.0,0.293
0.3,4.0,7000000.0,0.291
0.3,4.0,10000000.0,0.287
0.3,4.0,30000000.0,0.283
0.3,4.0,40000000.0,0.283
0.3,4.0,50000000.0,0.282
0.3,4.0,70000000.0,0.282
0.3,6.0,100000.0,0.535
0.3,6.0,500000.0,0.387
0.3,6.0,1000000.0,0.341
0.3,6.0,3000000.0,0.291
0.3,6.0,5000000.0,0.285
0.3,6.0,7000000.0,0.28
0.3,6.0,10000000.0,0.272
0.3,6.0,30000000.0,0.263
0.3,6.0,40000000.0,0.262
0.3,6.0,50000000.0,0.261
0.3,6.0,70000000.0,0.26
0.3,8.0,100000.0,0.533
0.3,8.0,500000.0,0.386
0.3,8.0,1000000.0,0.34
0.3,8.0,3000000.0,0.285
0.3,8.0,5000000.0,0.275
0.3,8.0,7000000.0,0.264
0.3,8.0,10000000.0,0.25
0.3,8.0,30000000.0,0.233
0.3,8.0,40000000.0,0.23
