Mach,alpha_deg,Cd,Cn,Cm
0.3,2.0,0.3604,0.2235,-0.2475
0.3,4.0,0.3872,0.4652,-0.5865
0.3,8.0,0.4953,0.9431,-1.156
0.3,12.0,0.6571,1.519,-2.206
0.3,16.0,0.891,2.166,-3.678
0.3,20.0,1.214,2.846,-5.386
0.5,2.0,0.355,0.2204,-0.2055
0.5,4.0,0.3786,0.4615,-0.5129
0.5,8.0,0.4842,0.9486,-1.086
0.5,16.0,0.9129,2.219,-3.758
0.5,20.0,1.266,2.899,-5.584
0.8,2.0,0.3874,0.2313,-0.1644
0.8,4.0,0.4124,0.4905,-0.4631
0.8,8.0,0.5227,1.013,-0.9748
0.8,16.0,1.018,2.381,-3.927
0.8,20.0,1.404,3.105,-5.912
1.2,2.0,0.6183,0.2429,-0.2244
1.2,4.0,0.6521,0.5149,-0.5763
1.2,8.0,0.7847,1.042,-0.9965
1.2,16.0,1.312,2.485,-3.954
1.2,20.0,1.72,3.28,-5.524
2.0,2.0,0.4336,0.2064,-0.1877
2.0,4.0,0.4627,0.4324,-0.4468
2.0,8.0,0.5771,0.9304,-0.9415
2.0,16.0,1.151,2.575,-3.021
2.0,20.0,1.756,3.876,-4.813
3.0,2.0,0.2991,0.1868,-0.1313
3.0,4.0,0.3252,0.3899,-0.2843
3.0,8.0,0.4393,0.92,-0.8187
3.0,16.0,1.064,2.706,-3.229
3.0,20.0,1.635,3.826,-5.237
5.0,2.0,0.1934,0.1688,-0.09181
5.0,4.0,0.2216,0.3623,-0.2142
5.0,8.0,0.3358,0.8784,-0.6989
5.0,16.0,0.8982,2.35,-2.831
5.0,20.0,1.401,3.292,-4.635
7.0,2.0,0.1572,0.1483,-0.04559
7.0,4.0,0.1836,0.3263,-0.1232
7.0,8.0,0.2894,0.7802,-0.4555
7.0,16.0,0.8141,2.119,-2.505
7.0,20.0,1.299,3.039,-4.35
9.0,2.0,0.1392,0.1314,-0.01852
9.0,4.0,0.164,0.2927,-0.05393
9.0,8.0,0.2637,0.7087,-0.3
9.0,16.0,0.775,2.008,-2.39
9.0,20.0,1.253,2.922,-4.242
11.0,2.0,0.129,0.1166,0.01449
11.0,4.0,0.152,0.2667,0.002615
11.0,8.0,0.2467,0.6628,-0.2284
11.0,16.0,0.7545,1.949,-2.354
11.0,20.0,1.227,2.857,-4.174
