Mach,alpha_deg,Reynolds,CA
0.3,2.0,4096000.0,0.3528
0.3,4.0,4096000.0,0.3556
0.3,8.0,4096000.0,0.3676
0.3,12.0,4096000.0,0.3489
0.3,12.0,6827000.0,0.3387
0.3,12.0,10920000.0,0.3808
0.3,12.0,16390000.0,0.6594
0.3,12.0,27310000.0,0.4584
0.3,12.0,40960000.0,0.3215
0.3,12.0,68270000.0,0.2344
0.3,12.0,95570000.0,0.2075
0.3,12.0,122900000.0,0.1958
0.3,12.0,150200000.0,0.1886
0.3,16.0,4096000.0,0.3058
0.3,20.0,4096000.0,0.2565
0.5,2.0,6827000.0,0.3476
0.5,4.0,6827000.0,0.3473
0.5,8.0,6827000.0,0.3557
0.5,16.0,6827000.0,0.3133
0.5,20.0,6827000.0,0.2918
0.8,2.0,10920000.0,0.3796
0.8,4.0,10920000.0,0.3791
0.8,8.0,10920000.0,0.3854
0.8,16.0,10920000.0,0.3764
0.8,20.0,10930000.0,0.3645
1.2,2.0,16400000.0,0.6102
1.2,4.0,16400000.0,0.6177
1.2,8.0,16390000.0,0.6459
1.2,16.0,16390000.0,0.6522
1.2,20.0,16390000.0,0.6366
2.0,2.0,27310000.0,0.4266
2.0,4.0,27310000.0,0.4336
2.0,8.0,27310000.0,0.452
2.0,16.0,27310000.0,0.4593
2.0,20.0,27310000.0,0.4581
3.0,2.0,40960000.0,0.2928
3.0,4.0,40960000.0,0.2987
3.0,8.0,40960000.0,0.3143
3.0,16.0,40960000.0,0.3303
3.0,20.0,40960000.0,0.3468
5.0,2.0,68270000.0,0.1876
5.0,4.0,68270000.0,0.1968
5.0,8.0,68270000.0,0.2156
5.0,16.0,68270000.0,0.2604
5.0,20.0,68270000.0,0.2929
7.0,2.0,95570000.0,0.1522
7.0,4.0,95570000.0,0.1613
7.0,8.0,95570000.0,0.1826
7.0,16.0,95580000.0,0.2393
7.0,20.0,95590000.0,0.2763
9.0,2.0,122900000.0,0.1347
9.0,4.0,122900000.0,0.1439
9.0,8.0,122900000.0,0.1667
9.0,16.0,122900000.0,0.2304
9.0,20.0,122900000.0,0.2695
11.0,2.0,150200000.0,0.125
11.0,4.0,150200000.0,0.1337
11.0,8.0,150200000.0,0.1559
11.0,16.0,150200000.0,0.226
11.0,20.0,150200000.0,0.2657
