Mach,alpha_deg,Reynolds,CA
0.3,2.0,4096000.0,0.2308
0.3,4.0,4096000.0,0.2277
0.3,8.0,4096000.0,0.2157
0.3,12.0,4096000.0,0.1826
0.3,12.0,6827000.0,0.1721
0.3,12.0,10920000.0,0.2016
0.3,12.0,16390000.0,0.3811
0.3,12.0,27310000.0,0.2764
0.3,12.0,40960000.0,0.2229
0.3,12.0,68270000.0,0.1945
0.3,12.0,95570000.0,0.1867
0.3,12.0,122900000.0,0.1832
0.3,12.0,150200000.0,0.1802
0.3,16.0,4096000.0,0.1284
0.3,20.0,4096000.0,0.06302
0.5,2.0,6827000.0,0.2203
0.5,4.0,6827000.0,0.2163
0.5,8.0,6827000.0,0.2026
0.5,16.0,6827000.0,0.1339
0.5,20.0,6827000.0,0.09428
0.8,2.0,10920000.0,0.2343
0.8,4.0,10920000.0,0.2317
0.8,8.0,10920000.0,0.2213
0.8,16.0,10920000.0,0.1821
0.8,20.0,10930000.0,0.15
1.2,2.0,16400000.0,0.3767
1.2,4.0,16400000.0,0.3799
1.2,8.0,16390000.0,0.3857
1.2,16.0,16390000.0,0.3627
1.2,20.0,16390000.0,0.3328
2.0,2.0,27310000.0,0.2681
2.0,4.0,27310000.0,0.2715
2.0,8.0,27310000.0,0.276
2.0,16.0,27310000.0,0.271
2.0,20.0,27310000.0,0.2664
3.0,2.0,40960000.0,0.2042
3.0,4.0,40960000.0,0.2081
3.0,8.0,40960000.0,0.2159
3.0,16.0,40960000.0,0.2316
3.0,20.0,40960000.0,0.2486
5.0,2.0,68270000.0,0.151
5.0,4.0,68270000.0,0.1578
5.0,8.0,68270000.0,0.175
5.0,16.0,68270000.0,0.2213
5.0,20.0,68270000.0,0.2538
7.0,2.0,95570000.0,0.1324
7.0,4.0,95570000.0,0.1405
7.0,8.0,95570000.0,0.1615
7.0,16.0,95580000.0,0.2189
7.0,20.0,95590000.0,0.2562
9.0,2.0,122900000.0,0.1226
9.0,4.0,122900000.0,0.1313
9.0,8.0,122900000.0,0.1539
9.0,16.0,122900000.0,0.2182
9.0,20.0,122900000.0,0.2575
11.0,2.0,150200000.0,0.117
11.0,4.0,150200000.0,0.1253
11.0,8.0,150200000.0,0.1474
11.0,16.0,150200000.0,0.2178
11.0,20.0,150200000.0,0.2577
