Mach,alpha_deg,Cmq,Cnq,Clp
0.3,0.0,-8.664,1.405,-0.05
0.3,2.0,-9.03,1.467,-0.057
0.3,4.0,-9.374,1.521,-0.071
0.3,8.0,-10.594,1.709,-0.076
0.3,12.0,-10.548,1.715,-0.086
0.3,16.0,-10.164,1.692,-0.103
0.3,20.0,-9.261,1.594,-0.11
0.5,0.0,-8.86,1.421,-0.05
0.5,2.0,-9.236,1.485,-0.058
0.5,4.0,-9.589,1.54,-0.071
0.5,8.0,-10.831,1.734,-0.077
0.5,12.0,-10.76,1.74,-0.088
0.5,16.0,-10.34,1.717,-0.107
0.5,20.0,-9.427,1.614,-0.112
0.8,0.0,-8.37,1.292,-0.051
0.8,2.0,-8.601,1.334,-0.057
0.8,4.0,-8.815,1.367,-0.069
0.8,8.0,-9.756,1.507,-0.07
0.8,12.0,-9.592,1.496,-0.078
0.8,16.0,-9.104,1.459,-0.09
0.8,20.0,-8.255,1.36,-0.092
1.2,0.0,-8.319,1.161,-0.051
1.2,2.0,-8.297,1.162,-0.056
1.2,4.0,-8.24,1.151,-0.066
1.2,8.0,-8.561,1.194,-0.059
1.2,12.0,-8.197,1.143,-0.062
1.2,16.0,-7.558,1.064,-0.064
1.2,20.0,-6.782,0.967,-0.063
2.0,0.0,-7.635,1.196,-0.053
2.0,2.0,-7.55,1.185,-0.055
2.0,4.0,-7.435,1.166,-0.059
2.0,8.0,-7.226,1.13,-0.058
2.0,12.0,-6.732,1.055,-0.057
2.0,16.0,-6.116,0.969,-0.054
2.0,20.0,-5.566,0.897,-0.05
3.0,0.0,-5.474,0.87,-0.044
3.0,2.0,-5.554,0.885,-0.046
3.0,4.0,-5.651,0.899,-0.048
3.0,8.0,-6.218,0.982,-0.049
3.0,12.0,-6.153,0.976,-0.054
3.0,16.0,-5.844,0.936,-0.062
3.0,20.0,-5.446,0.881,-0.059
5.0,0.0,-3.956,0.649,-0.031
5.0,2.0,-4.113,0.673,-0.033
5.0,4.0,-4.287,0.7,-0.034
5.0,8.0,-5.113,0.822,-0.042
5.0,12.0,-5.236,0.838,-0.046
5.0,16.0,-5.595,0.892,-0.053
5.0,20.0,-5.501,0.873,-0.059
7.0,0.0,-3.409,0.568,-0.024
7.0,2.0,-3.642,0.604,-0.026
7.0,4.0,-3.893,0.642,-0.028
7.0,8.0,-4.97,0.8,-0.039
7.0,12.0,-5.223,0.836,-0.044
7.0,16.0,-5.662,0.898,-0.053
7.0,20.0,-5.551,0.873,-0.059
9.0,0.0,-3.19,0.538,-0.02
9.0,2.0,-3.478,0.583,-0.022
9.0,4.0,-3.799,0.631,-0.024
9.0,8.0,-4.881,0.789,-0.037
9.0,12.0,-5.133,0.825,-0.044
9.0,16.0,-5.34,0.847,-0.052
9.0,20.0,-4.731,0.747,-0.054
11.0,0.0,-3.173,0.54,-0.017
11.0,2.0,-3.488,0.59,-0.019
11.0,4.0,-3.816,0.639,-0.023
11.0,8.0,-4.653,0.761,-0.036
11.0,12.0,-4.544,0.736,-0.042
11.0,16.0,-4.214,0.677,-0.05
11.0,20.0,-4.053,0.642,-0.037
13.0,0.0,-2.993,0.519,-0.015
13.0,2.0,-3.266,0.561,-0.017
13.0,4.0,-3.686,0.625,-0.021
13.0,8.0,-4.365,0.723,-0.036
13.0,12.0,-4.471,0.729,-0.032
13.0,16.0,-4.463,0.716,-0.031
13.0,20.0,-4.426,0.707,-0.046
