Mach,alpha_deg,delta_deg,CND,CMD
0.3,0.0,0.0,0.0,0.0
0.3,2.0,2.0,0.02081,0.2922
0.3,4.0,4.0,0.03866,0.6105
0.3,5.0,5.0,0.002461,-0.01447
0.3,8.0,8.0,0.08717,1.176
0.3,10.0,10.0,0.00188,-0.0122
0.3,10.0,10.0,0.0006602,-0.004404
0.3,10.0,10.0,0.0001365,-0.001084
0.3,10.0,10.0,0.0002788,0.0003269
0.3,10.0,10.0,-0.0002531,0.001539
0.3,10.0,10.0,-0.0003105,0.003048
0.3,10.0,10.0,-0.0001384,-5.277e-05
0.3,10.0,10.0,-0.000209,-4.601e-05
0.3,10.0,10.0,-5.322e-05,-0.0004665
0.3,10.0,10.0,-7.244e-05,-0.0007219
0.3,12.0,12.0,0.1512,1.635
0.3,15.0,15.0,0.006901,-0.04368
0.3,16.0,16.0,0.2156,2.061
0.3,20.0,20.0,0.278,2.393
0.5,0.0,0.0,0.0,0.0
0.5,2.0,2.0,0.02206,0.3046
0.5,4.0,4.0,0.04358,0.6227
0.5,5.0,5.0,0.001703,-0.009667
0.5,8.0,8.0,0.09937,1.19
0.5,12.0,12.0,0.1705,1.653
0.5,15.0,15.0,0.003182,-0.02044
0.5,16.0,16.0,0.23,2.009
0.5,20.0,20.0,0.2741,2.272
0.8,0.0,0.0,0.0,0.0
0.8,2.0,2.0,0.0236,0.3865
0.8,4.0,4.0,0.05103,0.7689
0.8,5.0,5.0,0.0007955,-0.004718
0.8,8.0,8.0,0.1295,1.428
0.8,12.0,12.0,0.2158,1.906
0.8,15.0,15.0,0.001277,-0.01271
0.8,16.0,16.0,0.277,2.199
0.8,20.0,20.0,0.3204,2.403
1.2,0.0,0.0,0.0,0.0
1.2,2.0,2.0,0.008421,0.4169
1.2,4.0,4.0,0.02816,0.7784
1.2,5.0,5.0,1.701e-06,-0.0002428
1.2,8.0,8.0,0.09006,1.357
1.2,12.0,12.0,0.157,1.822
1.2,15.0,15.0,-4.112e-06,0.0002347
1.2,16.0,16.0,0.2234,2.145
1.2,20.0,20.0,0.2845,2.311
2.0,0.0,0.0,0.0,0.0
2.0,2.0,2.0,0.01675,0.1693
2.0,4.0,4.0,0.033,0.347
2.0,5.0,5.0,-0.0001342,0.001788
2.0,8.0,8.0,0.06719,0.6882
2.0,12.0,12.0,0.1028,0.9953
2.0,15.0,15.0,-1.868e-05,-0.0001145
2.0,16.0,16.0,0.1425,1.247
2.0,20.0,20.0,0.1802,1.467
3.0,0.0,0.0,0.0,0.0
3.0,2.0,2.0,0.01569,0.08599
3.0,4.0,4.0,0.03247,0.1699
3.0,5.0,5.0,0.0002925,-0.002323
3.0,8.0,8.0,0.06431,0.3633
3.0,12.0,12.0,0.09684,0.5503
3.0,15.0,15.0,0.0002248,0.0001905
3.0,16.0,16.0,0.1301,0.7242
3.0,20.0,20.0,0.1633,0.8777
5.0,0.0,0.0,0.0,0.0
5.0,2.0,2.0,0.01527,0.02775
5.0,4.0,4.0,0.03086,0.06364
5.0,5.0,5.0,0.0002792,-0.001046
5.0,8.0,8.0,0.06448,0.1424
5.0,12.0,12.0,0.1013,0.2319
5.0,15.0,15.0,-0.0001155,-5.655e-05
5.0,16.0,16.0,0.1416,0.3221
5.0,20.0,20.0,0.1821,0.4142
7.0,0.0,0.0,0.0,0.0
7.0,2.0,2.0,0.0143,0.01917
7.0,4.0,4.0,0.02892,0.04486
7.0,5.0,5.0,-0.0002204,0.001661
7.0,8.0,8.0,0.06215,0.1018
7.0,12.0,12.0,0.1019,0.1608
7.0,15.0,15.0,0.0002172,-0.0005074
7.0,16.0,16.0,0.1466,0.2273
7.0,20.0,20.0,0.1933,0.2959
9.0,0.0,0.0,0.0,0.0
9.0,2.0,2.0,0.01395,0.01712
9.0,4.0,4.0,0.02868,0.03579
9.0,5.0,5.0,-0.0001214,0.001403
9.0,8.0,8.0,0.06258,0.08307
9.0,12.0,12.0,0.1028,0.1366
9.0,15.0,15.0,0.0003034,-0.0007246
9.0,16.0,16.0,0.1498,0.1938
9.0,20.0,20.0,0.1998,0.2576
11.0,0.0,0.0,0.0,0.0
11.0,2.0,2.0,0.01303,0.01893
11.0,4.0,4.0,0.02737,0.03719
11.0,5.0,5.0,0.0002394,0.0008749
11.0,8.0,8.0,0.06137,0.07957
11.0,12.0,12.0,0.1029,0.1235
11.0,15.0,15.0,0.0004646,-0.0006842
11.0,16.0,16.0,0.1512,0.1731
11.0,20.0,20.0,0.2026,0.2341
