Mach,delta_deg,Cd_delta
0.3,2.0,0.3514
0.3,4.0,0.3568
0.3,5.0,0.3592
0.3,8.0,0.3756
0.3,10.0,0.3756
0.3,10.0,0.3754
0.3,10.0,0.426
0.3,10.0,0.6731
0.3,10.0,0.4599
0.3,10.0,0.3117
0.3,10.0,0.1974
0.3,10.0,0.1602
0.3,10.0,0.144
0.3,10.0,0.1359
0.3,12.0,0.4008
0.3,15.0,0.4078
0.3,16.0,0.4381
0.3,20.0,0.49
0.5,2.0,0.348
0.5,4.0,0.3533
0.5,5.0,0.3561
0.5,8.0,0.3718
0.5,12.0,0.3988
0.5,15.0,0.4131
0.5,16.0,0.4458
0.5,20.0,0.5124
0.8,2.0,0.3811
0.8,4.0,0.3886
0.8,5.0,0.3925
0.8,8.0,0.4157
0.8,12.0,0.4602
0.8,15.0,0.4875
0.8,16.0,0.523
0.8,20.0,0.5895
1.2,2.0,0.6074
1.2,4.0,0.6212
1.2,5.0,0.6296
1.2,8.0,0.6558
1.2,12.0,0.6993
1.2,15.0,0.7317
1.2,16.0,0.7599
1.2,20.0,0.8306
2.0,2.0,0.4258
2.0,4.0,0.4292
2.0,5.0,0.4336
2.0,8.0,0.4471
2.0,12.0,0.4736
2.0,15.0,0.4991
2.0,16.0,0.511
2.0,20.0,0.558
3.0,2.0,0.2896
3.0,4.0,0.2916
3.0,5.0,0.2952
3.0,8.0,0.3023
3.0,12.0,0.3244
3.0,15.0,0.3425
3.0,16.0,0.3535
3.0,20.0,0.3856
5.0,2.0,0.18
5.0,4.0,0.182
5.0,5.0,0.1838
5.0,8.0,0.1908
5.0,12.0,0.2063
5.0,15.0,0.2246
5.0,16.0,0.2305
5.0,20.0,0.2618
7.0,2.0,0.1438
7.0,4.0,0.1458
7.0,5.0,0.1469
7.0,8.0,0.1542
7.0,12.0,0.1695
7.0,15.0,0.1868
7.0,16.0,0.194
7.0,20.0,0.2272
9.0,2.0,0.1282
9.0,4.0,0.1301
9.0,5.0,0.131
9.0,8.0,0.1384
9.0,12.0,0.1542
9.0,15.0,0.172
9.0,16.0,0.1798
9.0,20.0,0.2151
11.0,2.0,0.1191
11.0,4.0,0.121
11.0,5.0,0.1224
11.0,8.0,0.1299
11.0,12.0,0.1462
11.0,15.0,0.1643
11.0,16.0,0.1723
11.0,20.0,0.2086
