Mach,alpha_deg,def_roll,Cll
0.3,0.0,2.0,4.668e-05
0.3,0.0,4.0,-0.0003035
0.3,0.0,5.0,-0.02737
0.3,0.0,8.0,-0.0002544
0.3,0.0,10.0,-0.06509
0.3,0.0,12.0,-0.0001771
0.3,0.0,15.0,-0.1094
0.3,0.0,16.0,-0.0002115
0.3,0.0,20.0,-0.0001987
0.3,2.0,0.0,-0.0001774
0.3,2.0,5.0,-0.02908
0.3,2.0,10.0,-0.06312
0.3,2.0,15.0,-0.1003
0.3,4.0,0.0,-5.877e-05
0.3,4.0,5.0,-0.03301
0.3,4.0,10.0,-0.06312
0.3,4.0,15.0,-0.09649
0.3,8.0,0.0,4.33e-05
0.3,8.0,5.0,-0.03267
0.3,8.0,10.0,-0.06842
0.3,8.0,15.0,-0.1084
0.3,12.0,0.0,0.0002704
0.3,12.0,5.0,-0.0223
0.3,12.0,10.0,-0.05376
0.3,12.0,15.0,-0.06245
0.3,16.0,0.0,0.0007986
0.3,16.0,5.0,-0.0252
0.3,16.0,15.0,-0.05877
0.3,20.0,0.0,0.002117
0.3,20.0,5.0,-0.02747
0.3,20.0,10.0,-0.0553
0.3,20.0,15.0,-0.08851
0.5,0.0,2.0,3.821e-05
0.5,0.0,4.0,-0.0003003
0.5,0.0,5.0,-0.0284
0.5,0.0,8.0,-0.0002378
0.5,0.0,12.0,-0.0001378
0.5,0.0,15.0,-0.1146
0.5,0.0,16.0,-3.824e-05
0.5,0.0,20.0,-0.0001454
0.5,2.0,0.0,-0.0001919
0.5,2.0,5.0,-0.03001
0.5,2.0,10.0,-0.06585
0.5,2.0,15.0,-0.1007
0.5,4.0,0.0,-7.565e-05
0.5,4.0,5.0,-0.03441
0.5,4.0,10.0,-0.06585
0.5,4.0,15.0,-0.09724
0.5,8.0,0.0,-5.072e-05
0.5,8.0,5.0,-0.03359
0.5,8.0,10.0,-0.07082
0.5,8.0,15.0,-0.08957
0.5,12.0,5.0,-0.01791
0.5,12.0,10.0,-0.02686
0.5,12.0,15.0,-0.04608
0.5,16.0,0.0,0.0005812
0.5,16.0,5.0,-0.006914
0.5,16.0,10.0,-0.02465
0.5,16.0,15.0,-0.03986
0.5,20.0,0.0,0.001065
0.5,20.0,5.0,-0.01109
0.5,20.0,10.0,-0.0409
0.5,20.0,15.0,-0.06644
0.8,0.0,2.0,3.043e-05
0.8,0.0,4.0,-0.0002098
0.8,0.0,5.0,-0.0349
0.8,0.0,8.0,-0.0002867
0.8,0.0,12.0,-3.668e-05
0.8,0.0,15.0,-0.1371
0.8,0.0,16.0,-6.064e-05
0.8,0.0,20.0,-0.0007775
0.8,2.0,0.0,-0.000204
0.8,2.0,5.0,-0.03582
0.8,2.0,10.0,-0.08134
0.8,2.0,15.0,-0.1192
0.8,4.0,0.0,-0.000139
0.8,4.0,5.0,-0.04079
0.8,4.0,10.0,-0.08134
0.8,4.0,15.0,-0.108
0.8,8.0,0.0,-0.0002803
0.8,8.0,5.0,-0.03783
0.8,8.0,10.0,-0.06799
0.8,8.0,15.0,-0.08624
0.8,12.0,5.0,-0.01328
0.8,12.0,10.0,-0.01943
0.8,12.0,15.0,-0.03037
0.8,16.0,0.0,0.0005686
0.8,16.0,5.0,0.01201
0.8,16.0,10.0,0.006113
0.8,16.0,15.0,-0.02505
0.8,20.0,0.0,0.001816
0.8,20.0,5.0,0.009601
0.8,20.0,10.0,-0.01036
0.8,20.0,15.0,-0.05861
1.2,0.0,2.0,4.995e-06
1.2,0.0,4.0,-2.191e-05
1.2,0.0,5.0,-0.03148
1.2,0.0,8.0,-0.0001237
1.2,0.0,12.0,-0.0002149
1.2,0.0,15.0,-0.1338
1.2,0.0,16.0,-0.0001079
1.2,0.0,20.0,6.863e-05
1.2,2.0,0.0,-0.0001204
1.2,2.0,5.0,-0.03002
1.2,2.0,10.0,-0.07119
1.2,2.0,15.0,-0.1119
1.2,4.0,0.0,-2.576e-05
1.2,4.0,5.0,-0.03441
1.2,4.0,10.0,-0.07119
1.2,4.0,15.0,-0.09816
1.2,8.0,0.0,-0.0001551
1.2,8.0,5.0,-0.02904
1.2,8.0,10.0,-0.05919
1.2,8.0,15.0,-0.0911
1.2,12.0,5.0,-0.002465
1.2,12.0,10.0,-0.01967
1.2,12.0,15.0,-0.04347
1.2,16.0,0.0,0.0005528
1.2,16.0,5.0,-0.01266
1.2,16.0,10.0,-0.04032
1.2,16.0,15.0,-0.06942
1.2,20.0,0.0,0.001557
1.2,20.0,5.0,-0.04992
1.2,20.0,10.0,-0.1073
1.2,20.0,15.0,-0.1567
2.0,0.0,2.0,-2.606e-05
2.0,0.0,4.0,-2.99e-05
2.0,0.0,5.0,-0.01607
2.0,0.0,8.0,6.501e-05
2.0,0.0,12.0,-4.083e-05
2.0,0.0,15.0,-0.05385
2.0,0.0,16.0,1.129e-06
2.0,0.0,20.0,0.0001247
2.0,2.0,0.0,-3.79e-05
2.0,2.0,5.0,-0.01735
2.0,2.0,10.0,-0.03468
2.0,2.0,15.0,-0.05467
2.0,4.0,0.0,-5.182e-05
2.0,4.0,5.0,-0.02133
2.0,4.0,10.0,-0.03468
2.0,4.0,15.0,-0.05255
2.0,8.0,0.0,-2.368e-05
2.0,8.0,5.0,-0.01478
2.0,8.0,10.0,-0.03591
2.0,8.0,15.0,-0.06121
2.0,12.0,5.0,-0.04244
2.0,12.0,10.0,-0.07931
2.0,12.0,15.0,-0.1174
2.0,16.0,0.0,0.0004232
2.0,16.0,5.0,-0.06433
2.0,16.0,10.0,-0.1332
2.0,16.0,15.0,-0.1826
2.0,20.0,0.0,3.43e-05
2.0,20.0,5.0,-0.05187
2.0,20.0,10.0,-0.1033
2.0,20.0,15.0,-0.1422
3.0,0.0,2.0,-9.42e-05
3.0,0.0,4.0,-7.4e-05
3.0,0.0,5.0,-0.01201
3.0,0.0,8.0,6.43e-05
3.0,0.0,12.0,-0.0001063
3.0,0.0,15.0,-0.04341
3.0,0.0,16.0,0.0001227
3.0,0.0,20.0,0.0001383
3.0,2.0,0.0,-7.497e-05
3.0,2.0,5.0,-0.0171
3.0,2.0,10.0,-0.03432
3.0,2.0,15.0,-0.05245
3.0,4.0,0.0,-5.147e-05
3.0,4.0,5.0,-0.02479
3.0,4.0,10.0,-0.03432
3.0,4.0,15.0,-0.06597
3.0,8.0,0.0,-2.791e-05
3.0,8.0,5.0,-0.03239
3.0,8.0,10.0,-0.06477
3.0,8.0,15.0,-0.09666
3.0,12.0,5.0,-0.05105
3.0,12.0,10.0,-0.09697
3.0,12.0,15.0,-0.1388
3.0,16.0,0.0,0.0004593
3.0,16.0,5.0,-0.0495
3.0,16.0,10.0,-0.09851
3.0,16.0,15.0,-0.1391
3.0,20.0,0.0,-0.0003654
3.0,20.0,5.0,-0.0402
3.0,20.0,10.0,-0.07828
3.0,20.0,15.0,-0.1124
5.0,0.0,2.0,-5.064e-05
5.0,0.0,4.0,-0.0001013
5.0,0.0,5.0,-0.01846
5.0,0.0,8.0,-0.0001271
