Mach,delta_deg,Cd_delta
0.3,2.0,0.2233
0.3,4.0,0.2323
0.3,5.0,0.2344
0.3,8.0,0.2622
0.3,10.0,0.2802
0.3,12.0,0.3097
0.3,15.0,0.3515
0.3,16.0,0.3782
0.3,20.0,0.4728
0.5,2.0,0.2167
0.5,4.0,0.2265
0.5,5.0,0.2295
0.5,8.0,0.2602
0.5,10.0,0.2812
0.5,12.0,0.3168
0.5,15.0,0.3684
0.5,16.0,0.4149
0.5,20.0,0.5604
0.8,2.0,0.2571
0.8,4.0,0.5558
0.8,5.0,0.2767
0.8,8.0,0.3263
0.8,10.0,0.3605
0.8,12.0,0.4319
0.8,15.0,0.5135
0.8,16.0,0.5813
0.8,20.0,0.7461
1.2,2.0,0.5384
1.2,4.0,0.5558
1.2,5.0,0.5642
1.2,8.0,0.6209
1.2,10.0,0.6614
1.2,12.0,0.7252
1.2,15.0,0.8055
1.2,16.0,0.859
1.2,20.0,1.016
2.0,2.0,0.4059
2.0,4.0,0.4169
2.0,5.0,0.4238
2.0,8.0,0.4577
2.0,10.0,0.4874
2.0,12.0,0.5229
2.0,15.0,0.5872
2.0,16.0,0.6129
2.0,20.0,0.7277
3.0,2.0,0.3485
3.0,4.0,0.3563
3.0,5.0,0.3612
3.0,8.0,0.3866
3.0,10.0,0.4094
3.0,12.0,0.4383
3.0,15.0,0.4905
3.0,16.0,0.511
3.0,20.0,0.6037
5.0,2.0,0.305
5.0,4.0,0.3107
5.0,5.0,0.3156
5.0,8.0,0.3365
5.0,10.0,0.3553
5.0,12.0,0.382
5.0,15.0,0.4308
5.0,16.0,0.4502
5.0,20.0,0.54
7.0,2.0,0.2954
7.0,4.0,0.3011
7.0,5.0,0.3056
7.0,8.0,0.3258
7.0,10.0,0.3445
7.0,12.0,0.3708
7.0,15.0,0.4204
7.0,16.0,0.4404
7.0,20.0,0.5345
9.0,2.0,0.2933
9.0,4.0,0.2991
9.0,5.0,0.3032
9.0,8.0,0.3234
9.0,10.0,0.342
9.0,12.0,0.3686
9.0,15.0,0.4194
9.0,16.0,0.4404
9.0,20.0,0.5391
11.0,2.0,0.2919
11.0,4.0,0.2973
11.0,5.0,0.3017
11.0,8.0,0.3218
11.0,10.0,0.34
11.0,12.0,0.3673
11.0,15.0,0.4182
11.0,16.0,0.4396
11.0,20.0,0.5406
