Mach,alpha_deg,Cd,Cn,Cm
0.3,-20.0,1.306,-3.075,-3.17
0.3,-16.0,0.927,-2.355,-1.963
0.3,-12.0,0.646,-1.724,-1.13
0.3,-8.0,0.46,-1.203,-0.998
0.3,-4.0,0.349,-0.52,-0.254
0.3,-2.0,0.324,-0.24,-0.07
0.3,0.0,0.316,0.0,0.0
0.3,2.0,0.324,0.24,-0.07
0.3,4.0,0.349,0.52,-0.254
0.3,8.0,0.46,1.203,-0.998
0.3,12.0,0.646,1.724,-1.13
0.3,16.0,0.927,2.355,-1.963
0.3,20.0,1.306,3.075,-3.17
0.5,-20.0,1.327,-3.115,-3.241
0.5,-16.0,0.942,-2.381,-1.992
0.5,-12.0,0.657,-1.738,-1.125
0.5,-8.0,0.469,-1.211,-1.006
0.5,-4.0,0.357,-0.523,-0.255
0.5,-2.0,0.332,-0.241,-0.07
0.5,0.0,0.324,0.0,0.0
0.5,2.0,0.332,0.241,-0.07
0.5,4.0,0.357,0.523,-0.255
0.5,8.0,0.469,1.211,-1.006
0.5,12.0,0.657,1.738,-1.125
0.5,16.0,0.942,2.381,-1.992
0.5,20.0,1.327,3.115,-3.241
0.8,-20.0,1.456,-3.227,-3.067
0.8,-16.0,1.052,-2.435,-1.837
0.8,-12.0,0.761,-1.775,-1.019
0.8,-8.0,0.571,-1.243,-0.965
0.8,-4.0,0.456,-0.537,-0.231
0.8,-2.0,0.43,-0.248,-0.057
0.8,0.0,0.422,0.0,0.0
0.8,2.0,0.43,0.248,-0.057
0.8,4.0,0.456,0.537,-0.231
0.8,8.0,0.571,1.243,-0.965
0.8,12.0,0.761,1.775,-1.019
0.8,16.0,1.052,2.435,-1.837
0.8,20.0,1.456,3.227,-3.067
1.2,-20.0,1.842,-3.735,-3.167
1.2,-16.0,1.355,-2.714,-1.853
1.2,-12.0,1.032,-1.927,-1.026
1.2,-8.0,0.834,-1.354,-1.095
1.2,-4.0,0.693,-0.576,-0.249
1.2,-2.0,0.664,-0.261,-0.045
1.2,0.0,0.655,0.0,0.0
1.2,2.0,0.664,0.261,-0.045
1.2,4.0,0.693,0.576,-0.249
1.2,8.0,0.834,1.354,-1.095
1.2,12.0,1.032,1.927,-1.026
1.2,16.0,1.355,2.714,-1.853
1.2,20.0,1.842,3.735,-3.167
2.0,-20.0,1.782,-3.567,-2.727
2.0,-16.0,1.306,-2.602,-1.838
2.0,-12.0,0.984,-1.8,-1.325
2.0,-8.0,0.791,-1.189,-1.182
2.0,-4.0,0.672,-0.531,-0.487
2.0,-2.0,0.646,-0.249,-0.21
2.0,0.0,0.638,0.0,0.0
2.0,2.0,0.646,0.249,-0.21
2.0,4.0,0.672,0.531,-0.487
2.0,8.0,0.791,1.189,-1.182
2.0,12.0,0.984,1.8,-1.325
2.0,16.0,1.306,2.602,-1.838
2.0,20.0,1.782,3.567,-2.727
3.0,-20.0,1.479,-3.094,-2.388
3.0,-16.0,1.082,-2.378,-1.762
3.0,-12.0,0.776,-1.668,-1.198
3.0,-8.0,0.577,-1.04,-1.021
3.0,-4.0,0.465,-0.452,-0.434
3.0,-2.0,0.441,-0.211,-0.19
3.0,0.0,0.434,0.0,0.0
3.0,2.0,0.441,0.211,-0.19
3.0,4.0,0.465,0.452,-0.434
3.0,8.0,0.577,1.04,-1.021
3.0,12.0,0.776,1.668,-1.198
3.0,16.0,1.082,2.378,-1.762
3.0,20.0,1.479,3.094,-2.388
5.0,-20.0,1.138,-2.466,-1.23
5.0,-16.0,0.786,-1.819,-0.79
5.0,-12.0,0.544,-1.288,-0.523
5.0,-8.0,0.383,-0.817,-0.426
5.0,-4.0,0.287,-0.322,-0.133
5.0,-2.0,0.268,-0.145,-0.046
5.0,0.0,0.263,0.0,0.0
5.0,2.0,0.268,0.145,-0.046
5.0,4.0,0.287,0.322,-0.133
5.0,8.0,0.383,0.817,-0.426
5.0,12.0,0.544,1.288,-0.523
5.0,16.0,0.786,1.819,-0.79
5.0,20.0,1.138,2.466,-1.23
7.0,-20.0,1.049,-2.34,-1.045
7.0,-16.0,0.696,-1.682,-0.595
