Mach,alpha_deg,Reynolds,CA
0.3,0.0,100000.0,0.431
0.3,0.0,500000.0,0.366
0.3,0.0,1000000.0,0.346
0.3,0.0,3000000.0,0.32
0.3,0.0,7000000.0,0.316
0.3,0.0,10000000.0,0.316
0.3,2.0,100000.0,0.431
0.3,2.0,500000.0,0.366
0.3,2.0,1000000.0,0.346
0.3,2.0,3000000.0,0.32
0.3,2.0,7000000.0,0.316
0.3,2.0,10000000.0,0.316
0.3,4.0,100000.0,0.43
0.3,4.0,500000.0,0.365
0.3,4.0,1000000.0,0.345
0.3,4.0,3000000.0,0.318
0.3,4.0,7000000.0,0.313
0.3,4.0,10000000.0,0.313
0.3,8.0,100000.0,0.433
0.3,8.0,500000.0,0.368
0.3,8.0,1000000.0,0.344
0.3,8.0,3000000.0,0.305
0.3,8.0,7000000.0,0.296
0.3,8.0,10000000.0,0.295
0.3,12.0,100000.0,0.433
0.3,12.0,500000.0,0.368
0.3,12.0,1000000.0,0.344
0.3,12.0,3000000.0,0.304
0.3,12.0,7000000.0,0.295
0.3,12.0,10000000.0,0.293
0.3,16.0,100000.0,0.418
0.3,16.0,500000.0,0.354
0.3,16.0,1000000.0,0.331
0.3,16.0,3000000.0,0.297
0.3,16.0,7000000.0,0.29
0.3,16.0,10000000.0,0.289
0.3,20.0,100000.0,0.397
0.3,20.0,500000.0,0.333
0.3,20.0,1000000.0,0.312
0.3,20.0,3000000.0,0.278
0.3,20.0,7000000.0,0.272
0.3,20.0,10000000.0,0.271
0.5,0.0,100000.0,0.44
0.5,0.0,500000.0,0.375
0.5,0.0,1000000.0,0.355
0.5,0.0,3000000.0,0.33
0.5,0.0,7000000.0,0.324
0.5,0.0,10000000.0,0.324
0.5,2.0,100000.0,0.44
0.5,2.0,500000.0,0.375
0.5,2.0,1000000.0,0.355
0.5,2.0,3000000.0,0.329
0.5,2.0,7000000.0,0.324
0.5,2.0,10000000.0,0.324
0.5,4.0,100000.0,0.44
0.5,4.0,500000.0,0.375
0.5,4.0,1000000.0,0.354
0.5,4.0,3000000.0,0.327
0.5,4.0,7000000.0,0.321
0.5,4.0,10000000.0,0.321
0.5,8.0,100000.0,0.443
0.5,8.0,500000.0,0.377
0.5,8.0,1000000.0,0.353
0.5,8.0,3000000.0,0.314
0.5,8.0,7000000.0,0.305
0.5,8.0,10000000.0,0.303
0.5,12.0,100000.0,0.442
0.5,12.0,500000.0,0.377
0.5,12.0,1000000.0,0.353
0.5,12.0,3000000.0,0.313
0.5,12.0,7000000.0,0.303
0.5,12.0,10000000.0,0.302
0.5,16.0,100000.0,0.427
0.5,16.0,500000.0,0.363
0.5,16.0,1000000.0,0.341
0.5,16.0,3000000.0,0.306
0.5,16.0,7000000.0,0.298
0.5,16.0,10000000.0,0.297
0.5,20.0,100000.0,0.405
0.5,20.0,500000.0,0.342
0.5,20.0,1000000.0,0.32
0.5,20.0,3000000.0,0.287
0.5,20.0,7000000.0,0.279
0.5,20.0,10000000.0,0.278
0.8,0.0,100000.0,0.543
0.8,0.0,500000.0,0.476
0.8,0.0,1000000.0,0.456
0.8,0.0,3000000.0,0.43
0.8,0.0,7000000.0,0.422
0.8,0.0,10000000.0,0.422
0.8,2.0,100000.0,0.543
0.8,2.0,500000.0,0.476
0.8,2.0,1000000.0,0.456
0.8,2.0,3000000.0,0.429
0.8,2.0,7000000.0,0.422
0.8,2.0,10000000.0,0.422
0.8,4.0,100000.0,0.542
0.8,4.0,500000.0,0.476
0.8,4.0,1000000.0,0.455
0.8,4.0,3000000.0,0.427
0.8,4.0,7000000.0,0.419
0.8,4.0,10000000.0,0.419
0.8,8.0,100000.0,0.544
0.8,8.0,500000.0,0.477
0.8,8.0,1000000.0,0.454
0.8,8.0,3000000.0,0.417
0.8,8.0,7000000.0,0.403
0.8,8.0,10000000.0,0.402
0.8,12.0,100000.0,0.542
0.8,12.0,500000.0,0.476
0.8,12.0,1000000.0,0.453
0.8,12.0,3000000.0,0.415
0.8,12.0,7000000.0,0.402
0.8,12.0,10000000.0,0.401
0.8,16.0,100000.0,0.527
0.8,16.0,500000.0,0.462
0.8,16.0,1000000.0,0.44
0.8,16.0,3000000.0,0.408
0.8,16.0,7000000.0,0.397
0.8,16.0,10000000.0,0.397
0.8,20.0,100000.0,0.504
0.8,20.0,500000.0,0.44
0.8,20.0,1000000.0,0.418
0.8,20.0,3000000.0,0.386
0.8,20.0,7000000.0,0.375
0.8,20.0,10000000.0,0.375
1.2,0.0,100000.0,0.757
1.2,0.0,500000.0,0.702
1.2,0.0,1000000.0,0.685
1.2,0.0,3000000.0,0.664
1.2,0.0,7000000.0,0.655
1.2,0.0,10000000.0,0.655
1.2,2.0,100000.0,0.757
1.2,2.0,500000.0,0.702
1.2,2.0,1000000.0,0.685
1.2,2.0,3000000.0,0.664
1.2,2.0,7000000.0,0.655
1.2,2.0,10000000.0,0.655
1.2,4.0,100000.0,0.756
1.2,4.0,500000.0,0.701
1.2,4.0,1000000.0,0.685
1.2,4.0,3000000.0,0.663
1.2,4.0,7000000.0,0.655
1.2,4.0,10000000.0,0.655
1.2,8.0,100000.0,0.753
1.2,8.0,500000.0,0.699
1.2,8.0,1000000.0,0.682
1.2,8.0,3000000.0,0.661
1.2,8.0,7000000.0,0.652
1.2,8.0,10000000.0,0.652
1.2,12.0,100000.0,0.745
1.2,12.0,500000.0,0.692
1.2,12.0,1000000.0,0.675
1.2,12.0,3000000.0,0.654
1.2,12.0,7000000.0,0.646
1.2,12.0,10000000.0,0.646
1.2,16.0,100000.0,0.73
1.2,16.0,500000.0,0.676
1.2,16.0,1000000.0,0.66
1.2,16.0,3000000.0,0.639
1.2,16.0,7000000.0,0.631
1.2,16.0,10000000.0,0.631
1.2,20.0,100000.0,0.698
1.2,20.0,500000.0,0.645
1.2,20.0,1000000.0,0.629
1.2,20.0,3000000.0,0.609
1.2,20.0,7000000.0,0.6
1.2,20.0,10000000.0,0.6
2.0,0.0,100000.0,0.741
2.0,0.0,500000.0,0.688
2.0,0.0,1000000.0,0.672
2.0,0.0,3000000.0,0.652
2.0,0.0,7000000.0,0.64
2.0,0.0,10000000.0,0.638
2.0,2.0,100000.0,0.74
