Mach,alpha_deg,Reynolds,CA
0.3,0.0,100000.0,0.339
0.3,0.0,500000.0,0.275
0.3,0.0,1000000.0,0.255
0.3,0.0,3000000.0,0.229
0.3,0.0,7000000.0,0.225
0.3,0.0,10000000.0,0.225
0.3,2.0,100000.0,0.339
0.3,2.0,500000.0,0.275
0.3,2.0,1000000.0,0.255
0.3,2.0,3000000.0,0.229
0.3,2.0,7000000.0,0.225
0.3,2.0,10000000.0,0.225
0.3,4.0,100000.0,0.339
0.3,4.0,500000.0,0.274
0.3,4.0,1000000.0,0.254
0.3,4.0,3000000.0,0.227
0.3,4.0,7000000.0,0.222
0.3,4.0,10000000.0,0.222
0.3,8.0,100000.0,0.343
0.3,8.0,500000.0,0.277
0.3,8.0,1000000.0,0.253
0.3,8.0,3000000.0,0.214
0.3,8.0,7000000.0,0.206
0.3,8.0,10000000.0,0.205
0.3,12.0,100000.0,0.344
0.3,12.0,500000.0,0.278
0.3,12.0,1000000.0,0.254
0.3,12.0,3000000.0,0.214
0.3,12.0,7000000.0,0.206
0.3,12.0,10000000.0,0.204
0.3,16.0,100000.0,0.33
0.3,16.0,500000.0,0.266
0.3,16.0,1000000.0,0.244
0.3,16.0,3000000.0,0.209
0.3,16.0,7000000.0,0.203
0.3,16.0,10000000.0,0.202
0.3,20.0,100000.0,0.311
0.3,20.0,500000.0,0.248
0.3,20.0,1000000.0,0.226
0.3,20.0,3000000.0,0.192
0.3,20.0,7000000.0,0.186
0.3,20.0,10000000.0,0.185
0.5,0.0,100000.0,0.349
0.5,0.0,500000.0,0.284
0.5,0.0,1000000.0,0.264
0.5,0.0,3000000.0,0.238
0.5,0.0,7000000.0,0.233
0.5,0.0,10000000.0,0.233
0.5,2.0,100000.0,0.349
0.5,2.0,500000.0,0.284
0.5,2.0,1000000.0,0.264
0.5,2.0,3000000.0,0.238
0.5,2.0,7000000.0,0.233
0.5,2.0,10000000.0,0.233
0.5,4.0,100000.0,0.348
0.5,4.0,500000.0,0.284
0.5,4.0,1000000.0,0.263
0.5,4.0,3000000.0,0.236
0.5,4.0,7000000.0,0.23
0.5,4.0,10000000.0,0.23
0.5,8.0,100000.0,0.352
0.5,8.0,500000.0,0.286
0.5,8.0,1000000.0,0.263
0.5,8.0,3000000.0,0.224
0.5,8.0,7000000.0,0.214
0.5,8.0,10000000.0,0.213
0.5,12.0,100000.0,0.353
0.5,12.0,500000.0,0.287
0.5,12.0,1000000.0,0.264
0.5,12.0,3000000.0,0.224
0.5,12.0,7000000.0,0.214
0.5,12.0,10000000.0,0.213
0.5,16.0,100000.0,0.339
0.5,16.0,500000.0,0.275
0.5,16.0,1000000.0,0.253
0.5,16.0,3000000.0,0.219
0.5,16.0,7000000.0,0.21
0.5,16.0,10000000.0,0.21
0.5,20.0,100000.0,0.32
0.5,20.0,500000.0,0.256
0.5,20.0,1000000.0,0.234
0.5,20.0,3000000.0,0.201
0.5,20.0,7000000.0,0.193
0.5,20.0,10000000.0,0.192
0.8,0.0,100000.0,0.453
0.8,0.0,500000.0,0.387
0.8,0.0,1000000.0,0.366
0.8,0.0,3000000.0,0.34
0.8,0.0,7000000.0,0.333
0.8,0.0,10000000.0,0.333
0.8,2.0,100000.0,0.453
0.8,2.0,500000.0,0.387
0.8,2.0,1000000.0,0.366
0.8,2.0,3000000.0,0.34
0.8,2.0,7000000.0,0.333
0.8,2.0,10000000.0,0.333
0.8,4.0,100000.0,0.453
0.8,4.0,500000.0,0.387
0.8,4.0,1000000.0,0.366
0.8,4.0,3000000.0,0.338
0.8,4.0,7000000.0,0.33
0.8,4.0,10000000.0,0.33
0.8,8.0,100000.0,0.455
0.8,8.0,500000.0,0.388
0.8,8.0,1000000.0,0.365
0.8,8.0,3000000.0,0.328
0.8,8.0,7000000.0,0.315
0.8,8.0,10000000.0,0.314
0.8,12.0,100000.0,0.455
0.8,12.0,500000.0,0.389
0.8,12.0,1000000.0,0.365
0.8,12.0,3000000.0,0.328
0.8,12.0,7000000.0,0.314
0.8,12.0,10000000.0,0.313
0.8,16.0,100000.0,0.441
0.8,16.0,500000.0,0.376
0.8,16.0,1000000.0,0.354
0.8,16.0,3000000.0,0.322
0.8,16.0,7000000.0,0.311
0.8,16.0,10000000.0,0.311
0.8,20.0,100000.0,0.42
0.8,20.0,500000.0,0.356
0.8,20.0,1000000.0,0.334
0.8,20.0,3000000.0,0.302
0.8,20.0,7000000.0,0.292
0.8,20.0,10000000.0,0.291
1.2,0.0,100000.0,0.628
1.2,0.0,500000.0,0.573
1.2,0.0,1000000.0,0.556
1.2,0.0,3000000.0,0.535
1.2,0.0,7000000.0,0.526
1.2,0.0,10000000.0,0.526
1.2,2.0,100000.0,0.628
1.2,2.0,500000.0,0.573
1.2,2.0,1000000.0,0.556
1.2,2.0,3000000.0,0.535
1.2,2.0,7000000.0,0.527
1.2,2.0,10000000.0,0.527
1.2,4.0,100000.0,0.628
1.2,4.0,500000.0,0.573
1.2,4.0,1000000.0,0.556
1.2,4.0,3000000.0,0.535
1.2,4.0,7000000.0,0.526
1.2,4.0,10000000.0,0.526
1.2,8.0,100000.0,0.625
1.2,8.0,500000.0,0.571
1.2,8.0,1000000.0,0.554
1.2,8.0,3000000.0,0.533
1.2,8.0,7000000.0,0.525
1.2,8.0,10000000.0,0.525
1.2,12.0,100000.0,0.62
1.2,12.0,500000.0,0.566
1.2,12.0,1000000.0,0.549
1.2,12.0,3000000.0,0.528
1.2,12.0,7000000.0,0.52
1.2,12.0,10000000.0,0.52
1.2,16.0,100000.0,0.606
1.2,16.0,500000.0,0.553
1.2,16.0,1000000.0,0.536
1.2,16.0,3000000.0,0.516
1.2,16.0,7000000.0,0.507
1.2,16.0,10000000.0,0.507
1.2,20.0,100000.0,0.577
1.2,20.0,500000.0,0.524
1.2,20.0,1000000.0,0.508
1.2,20.0,3000000.0,0.488
1.2,20.0,7000000.0,0.479
1.2,20.0,10000000.0,0.479
2.0,0.0,100000.0,0.643
2.0,0.0,500000.0,0.59
2.0,0.0,1000000.0,0.574
2.0,0.0,3000000.0,0.554
2.0,0.0,7000000.0,0.542
2.0,0.0,10000000.0,0.54
2.0,2.0,100000.0,0.642
2.0,2.0,500000.0,0.59
2.0,2.0,1000000.0,0.574
2.0,2.0,3000000.0,0.554
2.0,2.0,7000000.0,0.542
2.0,2.0,10000000.0,0.54
2.0,4.0,100000.0,0.641
2.0,4.0,500000.0,0.588
2.0,4.0,1000000.0,0.572
2.0,4.0,3000000.0,0.553
2.0,4.0,7000000.0,0.541
2.0,4.0,10000000.0,0.539
2.0,8.0,100000.0,0.635
2.0,8.0,500000.0,0.584
2.0,8.0,1000000.0,0.568
2.0,8.0,3000000.0,0.548
2.0,8.0,7000000.0,0.536
2.0,8.0,10000000.0,0.534
2.0,12.0,100000.0,0.627
2.0,12.0,500000.0,0.576
2.0,12.0,1000000.0,0.56
2.0,12.0,3000000.0,0.541
2.0,12.0,7000000.0,0.529
2.0,12.0,10000000.0,0.527
2.0,16.0,100000.0,0.615
2.0,16.0,500000.0,0.565
2.0,16.0,1000000.0,0.55
2.0,16.0,3000000.0,0.531
2.0,16.0,7000000.0,0.52
2.0,16.0,10000000.0,0.518
2.0,20.0,100000.0,0.6
2.0,20.0,500000.0,0.552
2.0,20.0,1000000.0,0.537
2.0,20.0,3000000.0,0.519
2.0,20.0,7000000.0,0.508
2.0,20.0,10000000.0,0.506
3.0,0.0,100000.0,0.469
3.0,0.0,500000.0,0.418
3.0,0.0,1000000.0,0.403
3.0,0.0,3000000.0,0.385
3.0,0.0,7000000.0,0.374
3.0,0.0,10000000.0,0.37
3.0,2.0,100000.0,0.469
3.0,2.0,500000.0,0.418
3.0,2.0,1000000.0,0.404
3.0,2.0,3000000.0,0.385
3.0,2.0,7000000.0,0.374
3.0,2.0,10000000.0,0.371
3.0,4.0,100000.0,0.469
3.0,4.0,500000.0,0.419
3.0,4.0,1000000.0,0.404
3.0,4.0,3000000.0,0.386
3.0,4.0,7000000.0,0.375
3.0,4.0,10000000.0,0.371
3.0,8.0,100000.0,0.47
3.0,8.0,500000.0,0.421
3.0,8.0,1000000.0,0.406
3.0,8.0,3000000.0,0.388
3.0,8.0,7000000.0,0.377
3.0,8.0,10000000.0,0.373
3.0,12.0,100000.0,0.472
3.0,12.0,500000.0,0.424
3.0,12.0,1000000.0,0.409
3.0,12.0,3000000.0,0.391
3.0,12.0,7000000.0,0.381
3.0,12.0,10000000.0,0.377
3.0,16.0,100000.0,0.475
3.0,16.0,500000.0,0.428
3.0,16.0,1000000.0,0.413
3.0,16.0,3000000.0,0.396
3.0,16.0,7000000.0,0.386
3.0,16.0,10000000.0,0.382
3.0,20.0,100000.0,0.478
3.0,20.0,500000.0,0.432
3.0,20.0,1000000.0,0.418
3.0,20.0,3000000.0,0.402
3.0,20.0,7000000.0,0.392
3.0,20.0,10000000.0,0.388
5.0,0.0,100000.0,0.326
5.0,0.0,500000.0,0.278
5.0,0.0,1000000.0,0.265
5.0,0.0,3000000.0,0.249
5.0,0.0,7000000.0,0.24
5.0,0.0,10000000.0,0.236
5.0,2.0,100000.0,0.327
5.0,2.0,500000.0,0.279
5.0,2.0,1000000.0,0.265
5.0,2.0,3000000.0,0.249
5.0,2.0,7000000.0,0.24
5.0,2.0,10000000.0,0.237
5.0,4.0,100000.0,0.328
5.0,4.0,500000.0,0.28
5.0,4.0,1000000.0,0.267
5.0,4.0,3000000.0,0.251
5.0,4.0,7000000.0,0.242
5.0,4.0,10000000.0,0.239
5.0,8.0,100000.0,0.334
5.0,8.0,500000.0,0.287
5.0,8.0,1000000.0,0.273
5.0,8.0,3000000.0,0.257
5.0,8.0,7000000.0,0.248
5.0,8.0,10000000.0,0.245
5.0,12.0,100000.0,0.344
5.0,12.0,500000.0,0.297
5.0,12.0,1000000.0,0.284
5.0,12.0,3000000.0,0.268
5.0,12.0,7000000.0,0.259
5.0,12.0,10000000.0,0.256
5.0,16.0,100000.0,0.356
5.0,16.0,500000.0,0.311
5.0,16.0,1000000.0,0.298
5.0,16.0,3000000.0,0.283
5.0,16.0,7000000.0,0.274
5.0,16.0,10000000.0,0.271
5.0,20.0,100000.0,0.372
5.0,20.0,500000.0,0.327
5.0,20.0,1000000.0,0.315
5.0,20.0,3000000.0,0.3
5.0,20.0,7000000.0,0.292
5.0,20.0,10000000.0,0.289
7.0,0.0,100000.0,0.272
7.0,0.0,500000.0,0.223
7.0,0.0,1000000.0,0.211
7.0,0.0,3000000.0,0.196
7.0,0.0,7000000.0,0.188
7.0,0.0,10000000.0,0.185
7.0,2.0,100000.0,0.273
7.0,2.0,500000.0,0.224
7.0,2.0,1000000.0,0.211
7.0,2.0,3000000.0,0.196
7.0,2.0,7000000.0,0.188
7.0,2.0,10000000.0,0.185
7.0,4.0,100000.0,0.275
7.0,4.0,500000.0,0.226
7.0,4.0,1000000.0,0.213
7.0,4.0,3000000.0,0.199
7.0,4.0,7000000.0,0.19
7.0,4.0,10000000.0,0.188
7.0,8.0,100000.0,0.282
7.0,8.0,500000.0,0.234
7.0,8.0,1000000.0,0.222
7.0,8.0,3000000.0,0.207
7.0,8.0,7000000.0,0.199
7.0,8.0,10000000.0,0.196
7.0,12.0,100000.0,0.295
7.0,12.0,500000.0,0.247
7.0,12.0,1000000.0,0.235
7.0,12.0,3000000.0,0.221
7.0,12.0,7000000.0,0.213
7.0,12.0,10000000.0,0.21
7.0,16.0,100000.0,0.312
7.0,16.0,500000.0,0.265
7.0,16.0,1000000.0,0.253
7.0,16.0,3000000.0,0.239
7.0,16.0,7000000.0,0.231
7.0,16.0,10000000.0,0.228
7.0,20.0,100000.0,0.332
7.0,20.0,500000.0,0.287
7.0,20.0,1000000.0,0.275
7.0,20.0,3000000.0,0.261
7.0,20.0,7000000.0,0.254
7.0,20.0,10000000.0,0.251
9.0,0.0,100000.0,0.246
9.0,0.0,500000.0,0.195
9.0,0.0,1000000.0,0.182
9.0,0.0,3000000.0,0.168
9.0,0.0,7000000.0,0.16
9.0,0.0,10000000.0,0.158
9.0,2.0,100000.0,0.247
9.0,2.0,500000.0,0.196
9.0,2.0,1000000.0,0.183
9.0,2.0,3000000.0,0.169
9.0,2.0,7000000.0,0.161
9.0,2.0,10000000.0,0.158
9.0,4.0,100000.0,0.249
9.0,4.0,500000.0,0.198
9.0,4.0,1000000.0,0.185
9.0,4.0,3000000.0,0.171
9.0,4.0,7000000.0,0.163
9.0,4.0,10000000.0,0.161
9.0,8.0,100000.0,0.257
9.0,8.0,500000.0,0.207
9.0,8.0,1000000.0,0.195
9.0,8.0,3000000.0,0.18
9.0,8.0,7000000.0,0.173
9.0,8.0,10000000.0,0.17
9.0,12.0,100000.0,0.272
9.0,12.0,500000.0,0.222
9.0,12.0,1000000.0,0.21
9.0,12.0,3000000.0,0.196
9.0,12.0,7000000.0,0.188
9.0,12.0,10000000.0,0.186
9.0,16.0,100000.0,0.291
9.0,16.0,500000.0,0.242
9.0,16.0,1000000.0,0.23
9.0,16.0,3000000.0,0.216
9.0,16.0,7000000.0,0.209
9.0,16.0,10000000.0,0.206
9.0,20.0,100000.0,0.314
9.0,20.0,500000.0,0.266
9.0,20.0,1000000.0,0.255
9.0,20.0,3000000.0,0.241
9.0,20.0,7000000.0,0.234
9.0,20.0,10000000.0,0.232
11.0,0.0,100000.0,0.233
11.0,0.0,500000.0,0.178
11.0,0.0,1000000.0,0.165
11.0,0.0,3000000.0,0.151
11.0,0.0,7000000.0,0.144
11.0,0.0,10000000.0,0.141
11.0,2.0,100000.0,0.234
11.0,2.0,500000.0,0.179
11.0,2.0,1000000.0,0.166
11.0,2.0,3000000.0,0.152
11.0,2.0,7000000.0,0.144
11.0,2.0,10000000.0,0.142
11.0,4.0,100000.0,0.236
11.0,4.0,500000.0,0.182
11.0,4.0,1000000.0,0.168
11.0,4.0,3000000.0,0.154
11.0,4.0,7000000.0,0.147
11.0,4.0,10000000.0,0.145
11.0,8.0,100000.0,0.245
11.0,8.0,500000.0,0.191
11.0,8.0,1000000.0,0.178
11.0,8.0,3000000.0,0.164
11.0,8.0,7000000.0,0.157
11.0,8.0,10000000.0,0.155
11.0,12.0,100000.0,0.26
11.0,12.0,500000.0,0.207
11.0,12.0,1000000.0,0.194
11.0,12.0,3000000.0,0.181
11.0,12.0,7000000.0,0.173
11.0,12.0,10000000.0,0.171
11.0,16.0,100000.0,0.281
11.0,16.0,500000.0,0.228
11.0,16.0,1000000.0,0.216
11.0,16.0,3000000.0,0.203
11.0,16.0,7000000.0,0.196
11.0,16.0,10000000.0,0.193
11.0,20.0,100000.0,0.306
11.0,20.0,500000.0,0.255
11.0,20.0,1000000.0,0.242
11.0,20.0,3000000.0,0.229
11.0,20.0,7000000.0,0.223
11.0,20.0,10000000.0,0.22
13.0,0.0,100000.0,0.227
13.0,0.0,500000.0,0.168
13.0,0.0,1000000.0,0.154
13.0,0.0,3000000.0,0.14
13.0,0.0,7000000.0,0.133
13.0,0.0,10000000.0,0.13
13.0,2.0,100000.0,0.228
13.0,2.0,500000.0,0.168
13.0,2.0,1000000.0,0.155
13.0,2.0,3000000.0,0.141
13.0,2.0,7000000.0,0.133
13.0,2.0,10000000.0,0.131
13.0,4.0,100000.0,0.231
13.0,4.0,500000.0,0.171
13.0,4.0,1000000.0,0.158
13.0,4.0,3000000.0,0.143
13.0,4.0,7000000.0,0.136
13.0,4.0,10000000.0,0.134
13.0,8.0,100000.0,0.24
13.0,8.0,500000.0,0.181
13.0,8.0,1000000.0,0.168
13.0,8.0,3000000.0,0.154
13.0,8.0,7000000.0,0.147
13.0,8.0,10000000.0,0.144
13.0,12.0,100000.0,0.256
13.0,12.0,500000.0,0.198
13.0,12.0,1000000.0,0.185
13.0,12.0,3000000.0,0.171
13.0,12.0,7000000.0,0.164
13.0,12.0,10000000.0,0.161
13.0,16.0,100000.0,0.277
13.0,16.0,500000.0,0.22
13.0,16.0,1000000.0,0.207
13.0,16.0,3000000.0,0.194
13.0,16.0,7000000.0,0.187
13.0,16.0,10000000.0,0.184
13.0,20.0,100000.0,0.303
13.0,20.0,500000.0,0.247
13.0,20.0,1000000.0,0.235
13.0,20.0,3000000.0,0.221
13.0,20.0,7000000.0,0.215
13.0,20.0,10000000.0,0.213
