Mach,alpha_deg,Cmq,Cnq,Clp
0.3,-20.0,-3.227,0.922,-0.072
0.3,-16.0,-3.227,0.896,-0.068
0.3,-12.0,-3.192,0.866,-0.069
0.3,-8.0,-3.177,0.855,-0.077
0.3,-4.0,-2.979,0.803,-0.064
0.3,-2.0,-2.864,0.774,-0.057
0.3,0.0,-2.737,0.741,-0.055
0.3,2.0,-2.864,0.774,-0.057
0.3,4.0,-2.979,0.803,-0.064
0.3,8.0,-3.177,0.855,-0.077
0.3,12.0,-3.192,0.866,-0.069
0.3,16.0,-3.227,0.896,-0.068
0.3,20.0,-3.227,0.922,-0.072
0.5,-20.0,-3.268,0.926,-0.074
0.5,-16.0,-3.274,0.899,-0.069
0.5,-12.0,-3.242,0.868,-0.069
0.5,-8.0,-3.231,0.859,-0.078
0.5,-4.0,-3.034,0.807,-0.064
0.5,-2.0,-2.919,0.779,-0.057
0.5,0.0,-2.792,0.745,-0.055
0.5,2.0,-2.919,0.779,-0.057
0.5,4.0,-3.034,0.807,-0.064
0.5,8.0,-3.231,0.859,-0.078
0.5,12.0,-3.242,0.868,-0.069
0.5,16.0,-3.274,0.899,-0.069
0.5,20.0,-3.268,0.926,-0.074
0.8,-20.0,-3.183,0.864,-0.069
0.8,-16.0,-3.216,0.848,-0.066
0.8,-12.0,-3.212,0.827,-0.068
0.8,-8.0,-3.221,0.824,-0.078
0.8,-4.0,-3.083,0.788,-0.064
0.8,-2.0,-2.998,0.767,-0.057
0.8,0.0,-2.9,0.741,-0.056
0.8,2.0,-2.998,0.767,-0.057
0.8,4.0,-3.083,0.788,-0.064
0.8,8.0,-3.221,0.824,-0.078
0.8,12.0,-3.212,0.827,-0.068
0.8,16.0,-3.216,0.848,-0.066
0.8,20.0,-3.183,0.864,-0.069
1.2,-20.0,-3.337,0.796,-0.06
1.2,-16.0,-3.4,0.802,-0.06
1.2,-12.0,-3.452,0.806,-0.066
1.2,-8.0,-3.526,0.819,-0.079
1.2,-4.0,-3.517,0.814,-0.066
1.2,-2.0,-3.498,0.809,-0.059
1.2,0.0,-3.455,0.798,-0.057
1.2,2.0,-3.498,0.809,-0.059
1.2,4.0,-3.517,0.814,-0.066
1.2,8.0,-3.526,0.819,-0.079
1.2,12.0,-3.452,0.806,-0.066
1.2,16.0,-3.4,0.802,-0.06
1.2,20.0,-3.337,0.796,-0.06
2.0,-20.0,-2.642,0.679,-0.051
2.0,-16.0,-2.695,0.69,-0.051
2.0,-12.0,-2.724,0.695,-0.054
2.0,-8.0,-2.74,0.698,-0.061
2.0,-4.0,-2.775,0.707,-0.056
2.0,-2.0,-2.784,0.71,-0.053
2.0,0.0,-2.779,0.709,-0.052
2.0,2.0,-2.784,0.71,-0.053
2.0,4.0,-2.775,0.707,-0.056
2.0,8.0,-2.74,0.698,-0.061
2.0,12.0,-2.724,0.695,-0.054
2.0,16.0,-2.695,0.69,-0.051
2.0,20.0,-2.642,0.679,-0.051
3.0,-20.0,-2.36,0.617,-0.048
3.0,-16.0,-2.418,0.631,-0.047
3.0,-12.0,-2.428,0.633,-0.047
3.0,-8.0,-2.443,0.636,-0.05
3.0,-4.0,-2.375,0.619,-0.046
3.0,-2.0,-2.35,0.612,-0.044
3.0,0.0,-2.323,0.605,-0.044
3.0,2.0,-2.35,0.612,-0.044
3.0,4.0,-2.375,0.619,-0.046
3.0,8.0,-2.443,0.636,-0.05
3.0,12.0,-2.428,0.633,-0.047
3.0,16.0,-2.418,0.631,-0.047
3.0,20.0,-2.36,0.617,-0.048
5.0,-20.0,-1.594,0.418,-0.04
5.0,-16.0,-1.565,0.411,-0.038
5.0,-12.0,-1.558,0.41,-0.037
5.0,-8.0,-1.555,0.411,-0.036
5.0,-4.0,-1.468,0.391,-0.032
5.0,-2.0,-1.418,0.379,-0.03
5.0,0.0,-1.373,0.368,-0.03
5.0,2.0,-1.418,0.379,-0.03
5.0,4.0,-1.468,0.391,-0.032
5.0,8.0,-1.555,0.411,-0.036
5.0,12.0,-1.558,0.41,-0.037
5.0,16.0,-1.565,0.411,-0.038
5.0,20.0,-1.594,0.418,-0.04
7.0,-20.0,-1.46,0.384,-0.037
7.0,-16.0,-1.414,0.374,-0.034
7.0,-12.0,-1.397,0.371,-0.032
7.0,-8.0,-1.385,0.37,-0.031
7.0,-4.0,-1.242,0.337,-0.024
7.0,-2.0,-1.167,0.319,-0.022
7.0,0.0,-1.1,0.302,-0.021
7.0,2.0,-1.167,0.319,-0.022
7.0,4.0,-1.242,0.337,-0.024
7.0,8.0,-1.385,0.37,-0.031
7.0,12.0,-1.397,0.371,-0.032
7.0,16.0,-1.414,0.374,-0.034
7.0,20.0,-1.46,0.384,-0.037
9.0,-20.0,-1.424,0.375,-0.036
9.0,-16.0,-1.381,0.367,-0.032
9.0,-12.0,-1.359,0.363,-0.029
9.0,-8.0,-1.333,0.359,-0.027
9.0,-4.0,-1.167,0.321,-0.02
9.0,-2.0,-1.072,0.298,-0.017
9.0,0.0,-0.986,0.277,-0.016
9.0,2.0,-1.072,0.298,-0.017
9.0,4.0,-1.167,0.321,-0.02
9.0,8.0,-1.333,0.359,-0.027
9.0,12.0,-1.359,0.363,-0.029
9.0,16.0,-1.381,0.367,-0.032
9.0,20.0,-1.424,0.375,-0.036
11.0,-20.0,-1.275,0.341,-0.034
11.0,-16.0,-1.33,0.357,-0.03
11.0,-12.0,-1.362,0.364,-0.026
11.0,-8.0,-1.337,0.361,-0.024
11.0,-4.0,-1.155,0.319,-0.017
11.0,-2.0,-1.047,0.293,-0.014
11.0,0.0,-0.949,0.269,-0.013
11.0,2.0,-1.047,0.293,-0.014
11.0,4.0,-1.155,0.319,-0.017
11.0,8.0,-1.337,0.361,-0.024
11.0,12.0,-1.362,0.364,-0.026
11.0,16.0,-1.33,0.357,-0.03
11.0,20.0,-1.275,0.341,-0.034
13.0,-20.0,-1.348,0.36,-0.03
13.0,-16.0,-1.354,0.364,-0.022
13.0,-12.0,-1.257,0.341,-0.024
13.0,-8.0,-1.219,0.335,-0.022
13.0,-4.0,-1.112,0.31,-0.014
13.0,-2.0,-1.079,0.303,-0.011
13.0,0.0,-0.958,0.273,-0.01
13.0,2.0,-1.079,0.303,-0.011
13.0,4.0,-1.112,0.31,-0.014
13.0,8.0,-1.219,0.335,-0.022
13.0,12.0,-1.257,0.341,-0.024
13.0,16.0,-1.354,0.364,-0.022
13.0,20.0,-1.348,0.36,-0.03
