Mach,alpha_deg,delta_deg,CNd,CMd
0.3,0.0,0.0,0.0,0.0
0.3,2.0,0.0,0.0,0.0
0.3,4.0,0.0,0.0,0.0
0.3,8.0,0.0,0.0,0.0
0.3,12.0,0.0,0.0,0.0
0.3,16.0,0.0,0.0,0.0
0.3,20.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.5,2.0,0.0,0.0,0.0
0.5,4.0,0.0,0.0,0.0
0.5,8.0,0.0,0.0,0.0
0.5,12.0,0.0,0.0,0.0
0.5,16.0,0.0,0.0,0.0
0.5,20.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.8,2.0,0.0,0.0,0.0
0.8,4.0,0.0,0.0,0.0
0.8,8.0,0.0,0.0,0.0
0.8,12.0,0.0,0.0,0.0
0.8,16.0,0.0,0.0,0.0
0.8,20.0,0.0,0.0,0.0
1.2,0.0,0.0,0.0,0.0
1.2,2.0,0.0,0.0,0.0
1.2,4.0,0.0,0.0,0.0
1.2,8.0,0.0,0.0,0.0
1.2,12.0,0.0,0.0,0.0
1.2,16.0,0.0,0.0,0.0
1.2,20.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.0,2.0,0.0,0.0,0.0
2.0,4.0,0.0,0.0,0.0
2.0,8.0,0.0,0.0,0.0
2.0,12.0,0.0,0.0,0.0
2.0,16.0,0.0,0.0,0.0
2.0,20.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
3.0,2.0,0.0,0.0,0.0
3.0,4.0,0.0,0.0,0.0
3.0,8.0,0.0,0.0,0.0
3.0,12.0,0.0,0.0,0.0
3.0,16.0,0.0,0.0,0.0
3.0,20.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
5.0,2.0,0.0,0.0,0.0
5.0,4.0,0.0,0.0,0.0
5.0,8.0,0.0,0.0,0.0
5.0,12.0,0.0,0.0,0.0
5.0,16.0,0.0,0.0,0.0
5.0,20.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
7.0,2.0,0.0,0.0,0.0
7.0,4.0,0.0,0.0,0.0
7.0,8.0,0.0,0.0,0.0
7.0,12.0,0.0,0.0,0.0
7.0,16.0,0.0,0.0,0.0
7.0,20.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.0,2.0,0.0,0.0,0.0
9.0,4.0,0.0,0.0,0.0
9.0,8.0,0.0,0.0,0.0
9.0,12.0,0.0,0.0,0.0
9.0,16.0,0.0,0.0,0.0
9.0,20.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0
11.0,2.0,0.0,0.0,0.0
11.0,4.0,0.0,0.0,0.0
11.0,8.0,0.0,0.0,0.0
11.0,12.0,0.0,0.0,0.0
11.0,16.0,0.0,0.0,0.0
11.0,20.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0
13.0,2.0,0.0,0.0,0.0
13.0,4.0,0.0,0.0,0.0
13.0,8.0,0.0,0.0,0.0
13.0,12.0,0.0,0.0,0.0
13.0,16.0,0.0,0.0,0.0
13.0,20.0,0.0,0.0,0.0
0.3,0.0,2.0,1.0026761414789407,6.388479415708679
0.3,2.0,2.0,1.059971920992024,6.445775195221762
0.3,4.0,2.0,1.2032113697747298,6.130648407899808
0.3,8.0,2.0,1.776169164905547,4.239887683968092
0.3,12.0,2.0,1.1745634800181854,3.724225668350348
0.3,16.0,2.0,0.7448451336700644,2.750197416627954
0.3,20.0,2.0,0.544309905374273,1.7188733853924711
0.5,0.0,2.0,1.0026761414789407,6.445775195221762
0.5,2.0,2.0,1.0886198107485652,6.503070974734844
0.5,4.0,2.0,1.2032113697747266,6.216592077169432
0.5,8.0,2.0,1.8048170546620916,4.354479242994257
0.5,12.0,2.0,1.1459155902616474,3.6382819990807276
0.5,16.0,2.0,0.7161972439135392,2.5210142985756243
0.5,20.0,2.0,0.544309905374273,1.6042818263663063
0.8,0.0,2.0,1.0599719209920229,7.190620328891831
