Mach,alpha_deg,def_roll,Cll
0.3,0.0,0.0,0.0
0.3,2.0,0.0,0.0
0.3,4.0,0.0,0.0
0.3,8.0,0.0,0.0
0.3,12.0,0.0,0.0
0.3,16.0,0.0,0.0
0.3,20.0,0.0,0.0
0.5,0.0,0.0,0.0
0.5,2.0,0.0,0.0
0.5,4.0,0.0,0.0
0.5,8.0,0.0,0.0
0.5,12.0,0.0,0.0
0.5,16.0,0.0,0.0
0.5,20.0,0.0,0.0
0.8,0.0,0.0,0.0
0.8,2.0,0.0,0.0
0.8,4.0,0.0,0.0
0.8,8.0,0.0,0.0
0.8,12.0,0.0,0.0
0.8,16.0,0.0,0.0
0.8,20.0,0.0,0.0
1.2,0.0,0.0,0.0
1.2,2.0,0.0,0.0
1.2,4.0,0.0,0.0
1.2,8.0,0.0,0.0
1.2,12.0,0.0,0.0
1.2,16.0,0.0,0.0
1.2,20.0,0.0,0.0
2.0,0.0,0.0,0.0
2.0,2.0,0.0,0.0
2.0,4.0,0.0,0.0
2.0,8.0,0.0,0.0
2.0,12.0,0.0,0.0
2.0,16.0,0.0,0.0
2.0,20.0,0.0,0.0
3.0,0.0,0.0,0.0
3.0,2.0,0.0,0.0
3.0,4.0,0.0,0.0
3.0,8.0,0.0,0.0
3.0,12.0,0.0,0.0
3.0,16.0,0.0,0.0
3.0,20.0,0.0,0.0
5.0,0.0,0.0,0.0
5.0,2.0,0.0,0.0
5.0,4.0,0.0,0.0
5.0,8.0,0.0,0.0
5.0,12.0,0.0,0.0
5.0,16.0,0.0,0.0
5.0,20.0,0.0,0.0
7.0,0.0,0.0,0.0
7.0,2.0,0.0,0.0
7.0,4.0,0.0,0.0
7.0,8.0,0.0,0.0
7.0,12.0,0.0,0.0
7.0,16.0,0.0,0.0
7.0,20.0,0.0,0.0
9.0,0.0,0.0,0.0
9.0,2.0,0.0,0.0
9.0,4.0,0.0,0.0
9.0,8.0,0.0,0.0
9.0,12.0,0.0,0.0
9.0,16.0,0.0,0.0
9.0,20.0,0.0,0.0
11.0,0.0,0.0,0.0
11.0,2.0,0.0,0.0
11.0,4.0,0.0,0.0
11.0,8.0,0.0,0.0
11.0,12.0,0.0,0.0
11.0,16.0,0.0,0.0
11.0,20.0,0.0,0.0
13.0,0.0,0.0,0.0
13.0,2.0,0.0,0.0
13.0,4.0,0.0,0.0
13.0,8.0,0.0,0.0
13.0,12.0,0.0,0.0
13.0,16.0,0.0,0.0
13.0,20.0,0.0,0.0
0.3,0.0,5.0,-0.002
0.3,2.0,5.0,-0.003
0.3,4.0,5.0,-0.009
0.3,8.0,5.0,-0.026
0.3,12.0,5.0,-0.003
0.3,16.0,5.0,0.016
0.3,20.0,5.0,0.015
0.5,0.0,5.0,-0.003
0.5,2.0,5.0,-0.004
0.5,4.0,5.0,-0.009
0.5,8.0,5.0,-0.027
0.5,12.0,5.0,-0.003
0.5,16.0,5.0,0.016
0.5,20.0,5.0,0.016
0.8,0.0,5.0,-0.003
0.8,2.0,5.0,-0.004
0.8,4.0,5.0,-0.011
0.8,8.0,5.0,-0.03
0.8,12.0,5.0,-0.007
0.8,16.0,5.0,0.018
0.8,20.0,5.0,0.023
1.2,0.0,5.0,0.019
1.2,2.0,5.0,0.014
1.2,4.0,5.0,-0.006
1.2,8.0,5.0,-0.04
1.2,12.0,5.0,0.0
1.2,16.0,5.0,0.034
1.2,20.0,5.0,0.042
2.0,0.0,5.0,-0.009
2.0,2.0,5.0,-0.012
2.0,4.0,5.0,-0.021
2.0,8.0,5.0,-0.038
2.0,12.0,5.0,-0.019
2.0,16.0,5.0,-0.005
2.0,20.0,5.0,-0.002
3.0,0.0,5.0,-0.012
3.0,2.0,5.0,-0.014
3.0,4.0,5.0,-0.019
3.0,8.0,5.0,-0.029
3.0,12.0,5.0,-0.017
3.0,16.0,5.0,-0.009
3.0,20.0,5.0,-0.006
5.0,0.0,5.0,-0.014
5.0,2.0,5.0,-0.015
5.0,4.0,5.0,-0.018
5.0,8.0,5.0,-0.024
5.0,12.0,5.0,-0.018
5.0,16.0,5.0,-0.014
5.0,20.0,5.0,-0.013
7.0,0.0,5.0,-0.013
7.0,2.0,5.0,-0.014
7.0,4.0,5.0,-0.016
7.0,8.0,5.0,-0.021
7.0,12.0,5.0,-0.019
7.0,16.0,5.0,-0.016
7.0,20.0,5.0,-0.014
9.0,0.0,5.0,-0.012
9.0,2.0,5.0,-0.012
9.0,4.0,5.0,-0.015
9.0,8.0,5.0,-0.02
9.0,12.0,5.0,-0.018
9.0,16.0,5.0,-0.017
9.0,20.0,5.0,-0.012
11.0,0.0,5.0,-0.01
11.0,2.0,5.0,-0.011
11.0,4.0,5.0,-0.014
11.0,8.0,5.0,-0.018
11.0,12.0,5.0,-0.014
11.0,16.0,5.0,-0.013
11.0,20.0,5.0,-0.011
13.0,0.0,5.0,-0.01
13.0,2.0,5.0,-0.01
13.0,4.0,5.0,-0.012
13.0,8.0,5.0,-0.015
13.0,12.0,5.0,-0.014
13.0,16.0,5.0,-0.018
13.0,20.0,5.0,-0.011
0.3,0.0,10.0,0.012
0.3,2.0,10.0,0.006
0.3,4.0,10.0,-0.013
0.3,8.0,10.0,-0.046
0.3,12.0,10.0,-0.004
0.3,16.0,10.0,0.034
0.3,20.0,10.0,0.03
0.5,0.0,10.0,0.01
0.5,2.0,10.0,0.005
