Mach,alpha_deg,Cd,Cn,Cm
3.0000,-20.0000,0.3910,-1.2940,-0.3380
3.0000,-16.0000,0.3370,-1.0210,-0.2430
3.0000,-12.0000,0.2990,-0.7290,-0.1650
3.0000,-8.0000,0.2720,-0.4420,-0.1020
3.0000,-4.0000,0.2570,-0.2030,-0.0450
3.0000,0.0000,0.2520,0.0000,0.0000
3.0000,4.0000,0.2570,0.2030,-0.0450
3.0000,8.0000,0.2720,0.4420,-0.1020
3.0000,12.0000,0.2990,0.7290,-0.1650
3.0000,16.0000,0.3370,1.0210,-0.2430
3.0000,20.0000,0.3910,1.2940,-0.3380
4.0000,-20.0000,0.2930,-1.2370,-0.2920
4.0000,-16.0000,0.2510,-0.9670,-0.2140
4.0000,-12.0000,0.2220,-0.6800,-0.1430
4.0000,-8.0000,0.2030,-0.4450,-0.0860
4.0000,-4.0000,0.1920,-0.1880,-0.0360
4.0000,0.0000,0.1880,0.0000,0.0000
4.0000,4.0000,0.1920,0.1880,-0.0360
4.0000,8.0000,0.2030,0.4450,-0.0860
4.0000,12.0000,0.2220,0.6800,-0.1430
4.0000,16.0000,0.2510,0.9670,-0.2140
4.0000,20.0000,0.2930,1.2370,-0.2920
5.0000,-20.0000,0.2470,-1.1000,-0.2510
5.0000,-16.0000,0.2090,-0.8740,-0.1890
5.0000,-12.0000,0.1820,-0.6370,-0.1300
5.0000,-8.0000,0.1650,-0.4000,-0.0790
5.0000,-4.0000,0.1550,-0.1770,-0.0340
5.0000,0.0000,0.1530,0.0000,0.0000
5.0000,4.0000,0.1550,0.1770,-0.0340
5.0000,8.0000,0.1650,0.4000,-0.0790
5.0000,12.0000,0.1820,0.6370,-0.1300
5.0000,16.0000,0.2090,0.8740,-0.1890
5.0000,20.0000,0.2470,1.1000,-0.2510
6.0000,-20.0000,0.2210,-1.0340,-0.2420
6.0000,-16.0000,0.1850,-0.8240,-0.1750
6.0000,-12.0000,0.1590,-0.6040,-0.1200
6.0000,-8.0000,0.1450,-0.3860,-0.0730
6.0000,-4.0000,0.1360,-0.1680,-0.0350
6.0000,0.0000,0.1340,0.0000,0.0000
6.0000,4.0000,0.1360,0.1680,-0.0350
6.0000,8.0000,0.1450,0.3860,-0.0730
6.0000,12.0000,0.1590,0.6040,-0.1200
6.0000,16.0000,0.1850,0.8240,-0.1750
6.0000,20.0000,0.2210,1.0340,-0.2420
7.0000,-20.0000,0.2070,-1.0010,-0.2180
7.0000,-16.0000,0.1700,-0.7990,-0.1620
7.0000,-12.0000,0.1460,-0.5820,-0.1110
7.0000,-8.0000,0.1320,-0.3640,-0.0710
7.0000,-4.0000,0.1240,-0.1610,-0.0350
7.0000,0.0000,0.1220,0.0000,0.0000
7.0000,4.0000,0.1240,0.1610,-0.0350
7.0000,8.0000,0.1320,0.3640,-0.0710
7.0000,12.0000,0.1460,0.5820,-0.1110
7.0000,16.0000,0.1700,0.7990,-0.1620
7.0000,20.0000,0.2070,1.0010,-0.2180
8.0000,-20.0000,0.1970,-0.9360,-0.2260
8.0000,-16.0000,0.1600,-0.7560,-0.1640
8.0000,-12.0000,0.1370,-0.5610,-0.1070
8.0000,-8.0000,0.1230,-0.3490,-0.0660
8.0000,-4.0000,0.1170,-0.1500,-0.0300
8.0000,0.0000,0.1140,0.0000,0.0000
8.0000,4.0000,0.1170,0.1500,-0.0300
8.0000,8.0000,0.1230,0.3490,-0.0660
8.0000,12.0000,0.1370,0.5610,-0.1070
8.0000,16.0000,0.1600,0.7560,-0.1640
8.0000,20.0000,0.1970,0.9360,-0.2260
