Mach,alpha_deg,Reynolds,CA
0.3,0.0,100000.0,0.333
0.3,0.0,500000.0,0.291
0.3,0.0,1000000.0,0.278
0.3,0.0,3000000.0,0.262
0.3,0.0,7000000.0,0.259
0.3,0.0,10000000.0,0.259
0.3,2.0,100000.0,0.333
0.3,2.0,500000.0,0.291
0.3,2.0,1000000.0,0.278
0.3,2.0,3000000.0,0.262
0.3,2.0,7000000.0,0.26
0.3,2.0,10000000.0,0.26
0.3,4.0,100000.0,0.333
0.3,4.0,500000.0,0.291
0.3,4.0,1000000.0,0.278
0.3,4.0,3000000.0,0.262
0.3,4.0,7000000.0,0.26
0.3,4.0,10000000.0,0.26
0.3,8.0,100000.0,0.331
0.3,8.0,500000.0,0.29
0.3,8.0,1000000.0,0.277
0.3,8.0,3000000.0,0.261
0.3,8.0,7000000.0,0.259
0.3,8.0,10000000.0,0.259
0.3,12.0,100000.0,0.328
0.3,12.0,500000.0,0.286
0.3,12.0,1000000.0,0.274
0.3,12.0,3000000.0,0.258
0.3,12.0,7000000.0,0.255
0.3,12.0,10000000.0,0.255
0.3,16.0,100000.0,0.32
0.3,16.0,500000.0,0.279
0.3,16.0,1000000.0,0.267
0.3,16.0,3000000.0,0.251
0.3,16.0,7000000.0,0.249
0.3,16.0,10000000.0,0.249
0.3,20.0,100000.0,0.307
0.3,20.0,500000.0,0.267
0.3,20.0,1000000.0,0.254
0.3,20.0,3000000.0,0.239
0.3,20.0,7000000.0,0.237
0.3,20.0,10000000.0,0.237
0.5,0.0,100000.0,0.348
0.5,0.0,500000.0,0.304
0.5,0.0,1000000.0,0.291
0.5,0.0,3000000.0,0.274
0.5,0.0,7000000.0,0.271
0.5,0.0,10000000.0,0.271
0.5,2.0,100000.0,0.348
0.5,2.0,500000.0,0.304
0.5,2.0,1000000.0,0.291
0.5,2.0,3000000.0,0.274
0.5,2.0,7000000.0,0.271
0.5,2.0,10000000.0,0.271
0.5,4.0,100000.0,0.348
0.5,4.0,500000.0,0.304
0.5,4.0,1000000.0,0.291
0.5,4.0,3000000.0,0.274
0.5,4.0,7000000.0,0.271
0.5,4.0,10000000.0,0.271
0.5,8.0,100000.0,0.346
0.5,8.0,500000.0,0.303
0.5,8.0,1000000.0,0.29
0.5,8.0,3000000.0,0.273
0.5,8.0,7000000.0,0.27
0.5,8.0,10000000.0,0.27
0.5,12.0,100000.0,0.342
0.5,12.0,500000.0,0.299
0.5,12.0,1000000.0,0.286
0.5,12.0,3000000.0,0.27
0.5,12.0,7000000.0,0.267
0.5,12.0,10000000.0,0.267
0.5,16.0,100000.0,0.335
0.5,16.0,500000.0,0.292
0.5,16.0,1000000.0,0.279
0.5,16.0,3000000.0,0.263
0.5,16.0,7000000.0,0.26
0.5,16.0,10000000.0,0.26
0.5,20.0,100000.0,0.321
0.5,20.0,500000.0,0.279
0.5,20.0,1000000.0,0.266
0.5,20.0,3000000.0,0.25
0.5,20.0,7000000.0,0.247
0.5,20.0,10000000.0,0.247
0.8,0.0,100000.0,0.475
0.8,0.0,500000.0,0.423
0.8,0.0,1000000.0,0.407
0.8,0.0,3000000.0,0.387
0.8,0.0,7000000.0,0.382
0.8,0.0,10000000.0,0.382
0.8,2.0,100000.0,0.475
0.8,2.0,500000.0,0.423
0.8,2.0,1000000.0,0.407
0.8,2.0,3000000.0,0.387
0.8,2.0,7000000.0,0.382
0.8,2.0,10000000.0,0.382
0.8,4.0,100000.0,0.475
0.8,4.0,500000.0,0.423
0.8,4.0,1000000.0,0.407
0.8,4.0,3000000.0,0.387
0.8,4.0,7000000.0,0.382
0.8,4.0,10000000.0,0.382
0.8,8.0,100000.0,0.473
0.8,8.0,500000.0,0.422
0.8,8.0,1000000.0,0.406
0.8,8.0,3000000.0,0.386
0.8,8.0,7000000.0,0.381
0.8,8.0,10000000.0,0.381
0.8,12.0,100000.0,0.469
0.8,12.0,500000.0,0.418
0.8,12.0,1000000.0,0.402
0.8,12.0,3000000.0,0.382
0.8,12.0,7000000.0,0.377
0.8,12.0,10000000.0,0.377
0.8,16.0,100000.0,0.461
0.8,16.0,500000.0,0.41
0.8,16.0,1000000.0,0.395
0.8,16.0,3000000.0,0.375
0.8,16.0,7000000.0,0.37
0.8,16.0,10000000.0,0.37
0.8,20.0,100000.0,0.446
0.8,20.0,500000.0,0.397
0.8,20.0,1000000.0,0.381
0.8,20.0,3000000.0,0.362
0.8,20.0,7000000.0,0.357
0.8,20.0,10000000.0,0.357
1.2,0.0,100000.0,0.55
1.2,0.0,500000.0,0.53
1.2,0.0,1000000.0,0.524
1.2,0.0,3000000.0,0.516
1.2,0.0,7000000.0,0.513
1.2,0.0,10000000.0,0.513
1.2,2.0,100000.0,0.55
1.2,2.0,500000.0,0.53
1.2,2.0,1000000.0,0.524
1.2,2.0,3000000.0,0.516
1.2,2.0,7000000.0,0.513
1.2,2.0,10000000.0,0.513
1.2,4.0,100000.0,0.549
1.2,4.0,500000.0,0.529
1.2,4.0,1000000.0,0.523
1.2,4.0,3000000.0,0.516
1.2,4.0,7000000.0,0.513
1.2,4.0,10000000.0,0.513
1.2,8.0,100000.0,0.547
1.2,8.0,500000.0,0.527
1.2,8.0,1000000.0,0.521
1.2,8.0,3000000.0,0.514
1.2,8.0,7000000.0,0.511
1.2,8.0,10000000.0,0.511
1.2,12.0,100000.0,0.542
1.2,12.0,500000.0,0.522
1.2,12.0,1000000.0,0.516
1.2,12.0,3000000.0,0.509
1.2,12.0,7000000.0,0.506
1.2,12.0,10000000.0,0.506
1.2,16.0,100000.0,0.532
1.2,16.0,500000.0,0.513
1.2,16.0,1000000.0,0.507
1.2,16.0,3000000.0,0.499
1.2,16.0,7000000.0,0.497
1.2,16.0,10000000.0,0.497
1.2,20.0,100000.0,0.514
1.2,20.0,500000.0,0.495
1.2,20.0,1000000.0,0.489
1.2,20.0,3000000.0,0.482
1.2,20.0,7000000.0,0.479
1.2,20.0,10000000.0,0.479
2.0,0.0,100000.0,0.563
2.0,0.0,500000.0,0.543
2.0,0.0,1000000.0,0.538
2.0,0.0,3000000.0,0.531
2.0,0.0,7000000.0,0.526
2.0,0.0,10000000.0,0.526
2.0,2.0,100000.0,0.563
2.0,2.0,500000.0,0.543
2.0,2.0,1000000.0,0.537
2.0,2.0,3000000.0,0.53
2.0,2.0,7000000.0,0.526
2.0,2.0,10000000.0,0.525
2.0,4.0,100000.0,0.561
2.0,4.0,500000.0,0.542
2.0,4.0,1000000.0,0.536
2.0,4.0,3000000.0,0.529
2.0,4.0,7000000.0,0.525
2.0,4.0,10000000.0,0.524
2.0,8.0,100000.0,0.557
2.0,8.0,500000.0,0.538
2.0,8.0,1000000.0,0.532
2.0,8.0,3000000.0,0.525
2.0,8.0,7000000.0,0.521
2.0,8.0,10000000.0,0.52
2.0,12.0,100000.0,0.55
2.0,12.0,500000.0,0.531
2.0,12.0,1000000.0,0.525
2.0,12.0,3000000.0,0.518
2.0,12.0,7000000.0,0.514
2.0,12.0,10000000.0,0.514
2.0,16.0,100000.0,0.54
2.0,16.0,500000.0,0.521
2.0,16.0,1000000.0,0.516
2.0,16.0,3000000.0,0.509
2.0,16.0,7000000.0,0.505
2.0,16.0,10000000.0,0.505
2.0,20.0,100000.0,0.527
2.0,20.0,500000.0,0.509
2.0,20.0,1000000.0,0.504
2.0,20.0,3000000.0,0.498
2.0,20.0,7000000.0,0.494
2.0,20.0,10000000.0,0.493
3.0,0.0,100000.0,0.378
3.0,0.0,500000.0,0.359
3.0,0.0,1000000.0,0.354
3.0,0.0,3000000.0,0.347
3.0,0.0,7000000.0,0.344
3.0,0.0,10000000.0,0.342
3.0,2.0,100000.0,0.379
3.0,2.0,500000.0,0.36
3.0,2.0,1000000.0,0.354
3.0,2.0,3000000.0,0.348
3.0,2.0,7000000.0,0.344
3.0,2.0,10000000.0,0.342
3.0,4.0,100000.0,0.379
3.0,4.0,500000.0,0.36
3.0,4.0,1000000.0,0.355
3.0,4.0,3000000.0,0.348
3.0,4.0,7000000.0,0.344
3.0,4.0,10000000.0,0.343
3.0,8.0,100000.0,0.381
3.0,8.0,500000.0,0.363
3.0,8.0,1000000.0,0.357
3.0,8.0,3000000.0,0.351
3.0,8.0,7000000.0,0.347
3.0,8.0,10000000.0,0.345
3.0,12.0,100000.0,0.385
3.0,12.0,500000.0,0.366
3.0,12.0,1000000.0,0.361
3.0,12.0,3000000.0,0.354
3.0,12.0,7000000.0,0.351
3.0,12.0,10000000.0,0.349
3.0,16.0,100000.0,0.389
3.0,16.0,500000.0,0.371
3.0,16.0,1000000.0,0.366
3.0,16.0,3000000.0,0.36
3.0,16.0,7000000.0,0.356
3.0,16.0,10000000.0,0.355
3.0,20.0,100000.0,0.394
3.0,20.0,500000.0,0.377
3.0,20.0,1000000.0,0.372
3.0,20.0,3000000.0,0.366
3.0,20.0,7000000.0,0.362
3.0,20.0,10000000.0,0.361
5.0,0.0,100000.0,0.227
5.0,0.0,500000.0,0.208
5.0,0.0,1000000.0,0.203
5.0,0.0,3000000.0,0.197
5.0,0.0,7000000.0,0.194
5.0,0.0,10000000.0,0.193
5.0,2.0,100000.0,0.228
5.0,2.0,500000.0,0.209
5.0,2.0,1000000.0,0.204
5.0,2.0,3000000.0,0.198
5.0,2.0,7000000.0,0.195
5.0,2.0,10000000.0,0.193
5.0,4.0,100000.0,0.229
5.0,4.0,500000.0,0.211
5.0,4.0,1000000.0,0.206
5.0,4.0,3000000.0,0.2
5.0,4.0,7000000.0,0.196
5.0,4.0,10000000.0,0.195
5.0,8.0,100000.0,0.236
5.0,8.0,500000.0,0.218
5.0,8.0,1000000.0,0.213
5.0,8.0,3000000.0,0.207
5.0,8.0,7000000.0,0.203
5.0,8.0,10000000.0,0.202
5.0,12.0,100000.0,0.247
5.0,12.0,500000.0,0.229
5.0,12.0,1000000.0,0.224
5.0,12.0,3000000.0,0.218
5.0,12.0,7000000.0,0.215
5.0,12.0,10000000.0,0.214
5.0,16.0,100000.0,0.261
5.0,16.0,500000.0,0.244
5.0,16.0,1000000.0,0.239
5.0,16.0,3000000.0,0.233
5.0,16.0,7000000.0,0.23
5.0,16.0,10000000.0,0.229
5.0,20.0,100000.0,0.279
5.0,20.0,500000.0,0.262
5.0,20.0,1000000.0,0.257
5.0,20.0,3000000.0,0.252
5.0,20.0,7000000.0,0.249
5.0,20.0,10000000.0,0.248
7.0,0.0,100000.0,0.173
7.0,0.0,500000.0,0.154
7.0,0.0,1000000.0,0.149
7.0,0.0,3000000.0,0.143
7.0,0.0,7000000.0,0.14
7.0,0.0,10000000.0,0.139
7.0,2.0,100000.0,0.174
7.0,2.0,500000.0,0.154
7.0,2.0,1000000.0,0.149
7.0,2.0,3000000.0,0.144
7.0,2.0,7000000.0,0.141
7.0,2.0,10000000.0,0.14
7.0,4.0,100000.0,0.176
7.0,4.0,500000.0,0.156
7.0,4.0,1000000.0,0.151
7.0,4.0,3000000.0,0.146
7.0,4.0,7000000.0,0.143
7.0,4.0,10000000.0,0.142
7.0,8.0,100000.0,0.184
7.0,8.0,500000.0,0.165
7.0,8.0,1000000.0,0.16
7.0,8.0,3000000.0,0.155
7.0,8.0,7000000.0,0.152
7.0,8.0,10000000.0,0.151
7.0,12.0,100000.0,0.198
7.0,12.0,500000.0,0.179
7.0,12.0,1000000.0,0.174
7.0,12.0,3000000.0,0.169
7.0,12.0,7000000.0,0.166
7.0,12.0,10000000.0,0.165
7.0,16.0,100000.0,0.217
7.0,16.0,500000.0,0.198
