Mach,alpha_deg,Reynolds,CA
0.3,0.0,100000.0,0.344
0.3,0.0,500000.0,0.302
0.3,0.0,1000000.0,0.289
0.3,0.0,3000000.0,0.273
0.3,0.0,7000000.0,0.27
0.3,0.0,10000000.0,0.27
0.3,2.0,100000.0,0.344
0.3,2.0,500000.0,0.302
0.3,2.0,1000000.0,0.289
0.3,2.0,3000000.0,0.273
0.3,2.0,7000000.0,0.271
0.3,2.0,10000000.0,0.271
0.3,4.0,100000.0,0.344
0.3,4.0,500000.0,0.302
0.3,4.0,1000000.0,0.289
0.3,4.0,3000000.0,0.273
0.3,4.0,7000000.0,0.271
0.3,4.0,10000000.0,0.271
0.3,8.0,100000.0,0.342
0.3,8.0,500000.0,0.301
0.3,8.0,1000000.0,0.288
0.3,8.0,3000000.0,0.272
0.3,8.0,7000000.0,0.27
0.3,8.0,10000000.0,0.27
0.3,12.0,100000.0,0.338
0.3,12.0,500000.0,0.297
0.3,12.0,1000000.0,0.284
0.3,12.0,3000000.0,0.268
0.3,12.0,7000000.0,0.266
0.3,12.0,10000000.0,0.266
0.3,16.0,100000.0,0.331
0.3,16.0,500000.0,0.29
0.3,16.0,1000000.0,0.277
0.3,16.0,3000000.0,0.261
0.3,16.0,7000000.0,0.259
0.3,16.0,10000000.0,0.259
0.3,20.0,100000.0,0.317
0.3,20.0,500000.0,0.277
0.3,20.0,1000000.0,0.265
0.3,20.0,3000000.0,0.249
0.3,20.0,7000000.0,0.247
0.3,20.0,10000000.0,0.247
0.5,0.0,100000.0,0.359
0.5,0.0,500000.0,0.315
0.5,0.0,1000000.0,0.302
0.5,0.0,3000000.0,0.285
0.5,0.0,7000000.0,0.282
0.5,0.0,10000000.0,0.282
0.5,2.0,100000.0,0.359
0.5,2.0,500000.0,0.315
0.5,2.0,1000000.0,0.302
0.5,2.0,3000000.0,0.285
0.5,2.0,7000000.0,0.282
0.5,2.0,10000000.0,0.282
0.5,4.0,100000.0,0.359
0.5,4.0,500000.0,0.315
0.5,4.0,1000000.0,0.302
0.5,4.0,3000000.0,0.285
0.5,4.0,7000000.0,0.282
0.5,4.0,10000000.0,0.282
0.5,8.0,100000.0,0.357
0.5,8.0,500000.0,0.314
0.5,8.0,1000000.0,0.3
0.5,8.0,3000000.0,0.284
0.5,8.0,7000000.0,0.281
0.5,8.0,10000000.0,0.281
0.5,12.0,100000.0,0.353
0.5,12.0,500000.0,0.31
0.5,12.0,1000000.0,0.297
0.5,12.0,3000000.0,0.28
0.5,12.0,7000000.0,0.277
0.5,12.0,10000000.0,0.277
0.5,16.0,100000.0,0.345
0.5,16.0,500000.0,0.303
0.5,16.0,1000000.0,0.29
0.5,16.0,3000000.0,0.273
0.5,16.0,7000000.0,0.27
0.5,16.0,10000000.0,0.27
0.5,20.0,100000.0,0.332
0.5,20.0,500000.0,0.29
0.5,20.0,1000000.0,0.277
0.5,20.0,3000000.0,0.261
0.5,20.0,7000000.0,0.258
0.5,20.0,10000000.0,0.258
0.8,0.0,100000.0,0.486
0.8,0.0,500000.0,0.434
0.8,0.0,1000000.0,0.418
0.8,0.0,3000000.0,0.398
0.8,0.0,7000000.0,0.392
0.8,0.0,10000000.0,0.392
0.8,2.0,100000.0,0.486
0.8,2.0,500000.0,0.434
0.8,2.0,1000000.0,0.418
0.8,2.0,3000000.0,0.398
0.8,2.0,7000000.0,0.393
0.8,2.0,10000000.0,0.393
0.8,4.0,100000.0,0.486
0.8,4.0,500000.0,0.434
0.8,4.0,1000000.0,0.418
0.8,4.0,3000000.0,0.398
0.8,4.0,7000000.0,0.393
0.8,4.0,10000000.0,0.393
0.8,8.0,100000.0,0.484
0.8,8.0,500000.0,0.432
0.8,8.0,1000000.0,0.416
0.8,8.0,3000000.0,0.397
0.8,8.0,7000000.0,0.391
0.8,8.0,10000000.0,0.391
0.8,12.0,100000.0,0.48
0.8,12.0,500000.0,0.428
0.8,12.0,1000000.0,0.413
0.8,12.0,3000000.0,0.393
0.8,12.0,7000000.0,0.388
0.8,12.0,10000000.0,0.388
0.8,16.0,100000.0,0.471
0.8,16.0,500000.0,0.421
0.8,16.0,1000000.0,0.405
