Mach,alpha_deg,Cmq,Cnq,Clp
0.3,-20.0,-0.054,0.078,-0.012
0.3,-16.0,-0.069,0.092,-0.02
0.3,-12.0,-0.097,0.117,-0.029
0.3,-8.0,-0.133,0.151,-0.035
0.3,-4.0,-0.135,0.152,-0.035
0.3,-2.0,-0.135,0.151,-0.034
0.3,0.0,-0.133,0.15,-0.034
0.3,2.0,-0.135,0.151,-0.034
0.3,4.0,-0.135,0.152,-0.035
0.3,8.0,-0.133,0.151,-0.035
0.3,12.0,-0.097,0.117,-0.029
0.3,16.0,-0.069,0.092,-0.02
0.3,20.0,-0.054,0.078,-0.012
0.5,-20.0,-0.056,0.077,-0.011
0.5,-16.0,-0.07,0.089,-0.02
0.5,-12.0,-0.1,0.116,-0.029
0.5,-8.0,-0.141,0.153,-0.036
0.5,-4.0,-0.141,0.154,-0.036
0.5,-2.0,-0.14,0.153,-0.035
0.5,0.0,-0.138,0.151,-0.035
0.5,2.0,-0.14,0.153,-0.035
0.5,4.0,-0.141,0.154,-0.036
0.5,8.0,-0.141,0.153,-0.036
0.5,12.0,-0.1,0.116,-0.029
0.5,16.0,-0.07,0.089,-0.02
0.5,20.0,-0.056,0.077,-0.011
0.8,-20.0,-0.089,0.095,-0.017
0.8,-16.0,-0.099,0.104,-0.025
0.8,-12.0,-0.128,0.13,-0.033
0.8,-8.0,-0.162,0.161,-0.039
0.8,-4.0,-0.164,0.163,-0.039
0.8,-2.0,-0.163,0.162,-0.039
0.8,0.0,-0.161,0.16,-0.038
0.8,2.0,-0.163,0.162,-0.039
0.8,4.0,-0.164,0.163,-0.039
0.8,8.0,-0.162,0.161,-0.039
0.8,12.0,-0.128,0.13,-0.033
0.8,16.0,-0.099,0.104,-0.025
0.8,20.0,-0.089,0.095,-0.017
1.2,-20.0,-0.155,0.118,-0.033
1.2,-16.0,-0.165,0.127,-0.038
1.2,-12.0,-0.178,0.138,-0.042
1.2,-8.0,-0.197,0.154,-0.046
1.2,-4.0,-0.203,0.159,-0.047
1.2,-2.0,-0.205,0.161,-0.047
1.2,0.0,-0.205,0.161,-0.047
1.2,2.0,-0.205,0.161,-0.047
1.2,4.0,-0.203,0.159,-0.047
