Mach,alpha_deg,delta_deg,CNd,CMd
0.3,0.0,-20.0,1.8048170546620932,-1.9881635491039564
0.3,2.0,-20.0,2.0053522829578814,-2.2087523002293232
0.3,4.0,-20.0,2.145726942764933,-2.360586115938992
0.3,8.0,-20.0,2.283236813596331,-2.5152847206243143
0.3,12.0,-20.0,2.323343859255488,-2.558256555259126
0.3,16.0,-20.0,2.26891286871806,-2.4980959867703896
0.3,20.0,-20.0,2.1056198971057754,-2.320479070279834
0.5,0.0,-20.0,1.799087476710785,-1.9824339711526482
0.5,2.0,-20.0,2.019676227836152,-2.225941034083248
0.5,4.0,-20.0,2.1657804655945117,-2.389234005695533
0.5,8.0,-20.0,2.311884703352872,-2.5467973993565094
0.5,12.0,-20.0,2.354856537987683,-2.595498811942629
0.5,16.0,-20.0,2.2946959694989477,-2.5267438765269303
0.5,20.0,-20.0,2.1170790530083923,-2.3290734372067967
0.8,0.0,-20.0,2.0311353837387682,-2.2402649789615188
0.8,2.0,-20.0,2.2345354010102105,-2.4637185190625397
0.8,4.0,-20.0,2.374910060817262,-2.618417123747862
0.8,8.0,-20.0,2.5066903536973517,-2.7616565725305677
0.8,12.0,-20.0,2.558256555259126,-2.8160875630679967
0.8,16.0,-20.0,2.5152847206243143,-2.7702509394575303
0.8,20.0,-20.0,2.374910060817262,-2.6155523347722083
1.2,0.0,-20.0,2.022541016811806,-2.369180482865954
1.2,2.0,-20.0,2.117079053008392,-2.4809072529164644
1.2,4.0,-20.0,2.1886987773997446,-2.563986133210434
1.2,8.0,-20.0,2.2631832907667517,-2.6527945914557116
1.2,12.0,-20.0,2.2946959694989473,-2.6900368481392154
1.2,16.0,-20.0,2.283236813596331,-2.6785776922365985
1.2,20.0,-20.0,2.2402649789615188,-2.6241467016991704
2.0,0.0,-20.0,1.0313240312354819,-1.2261296815799616
2.0,2.0,-20.0,1.0370536091867901,-1.234724048506924
2.0,4.0,-20.0,1.0456479761137525,-1.2433184154338865
2.0,8.0,-20.0,1.0628367099676772,-1.2662367272391193
2.0,12.0,-20.0,1.0771606548459478,-1.2862902500686981
2.0,16.0,-20.0,1.0857550217729104,-1.2948846169956605
2.0,20.0,-20.0,1.0972141776755264,-1.309208561873931
3.0,0.0,-20.0,0.6818197762056796,-0.813600069085769
3.0,2.0,-20.0,0.6703606203030632,-0.7992761242074985
3.0,4.0,-20.0,0.664631042351755,-0.7906817572805361
3.0,8.0,-20.0,0.664631042351755,-0.7906817572805361
3.0,12.0,-20.0,0.6760901982543714,-0.8050057021588067
3.0,16.0,-20.0,0.6875493541569876,-0.8193296470370773
3.0,20.0,-20.0,0.7047380880109125,-0.8422479588423101
5.0,0.0,-20.0,0.46696060303162096,-0.5586338502525526
5.0,2.0,-20.0,0.4411775022507339,-0.5271211715203574
5.0,4.0,-20.0,0.4182591904455009,-0.5013380707394703
5.0,8.0,-20.0,0.398205667615922,-0.4755549699585833
5.0,12.0,-20.0,0.4125296124941928,-0.4927437038125079
5.0,16.0,-20.0,0.43258313532377163,-0.5156620156177409
5.0,20.0,-20.0,0.4583662361046584,-0.5471746943499362
7.0,0.0,-20.0,0.40966482351853856,-0.4898789148368539
7.0,2.0,-20.0,0.36669298888372687,-0.43831271327507976
7.0,4.0,-20.0,0.3351803101515316,-0.3982056676159222
7.0,8.0,-20.0,0.3065324203949904,-0.369557777859381
7.0,12.0,-20.0,0.320856365273261,-0.3838817227376516
7.0,16.0,-20.0,0.3437746770784939,-0.40966482351853856
7.0,20.0,-20.0,0.3810169337619978,-0.4555014471290045
9.0,0.0,-20.0,0.3838817227376516,-0.4583662361046586
9.0,2.0,-20.0,0.3323155211758775,-0.39534087864026807
9.0,4.0,-20.0,0.29220847551671986,-0.34950425502980215
9.0,8.0,-20.0,0.2635605857601786,-0.31512678732195276
9.0,12.0,-20.0,0.2750197416627951,-0.32945073220022336
9.0,16.0,-20.0,0.30080284244368216,-0.3580986219567645
9.0,20.0,-20.0,0.346639466054148,-0.4153944014698469
11.0,0.0,-20.0,0.3179915762976069,-0.38101693376199747
11.0,2.0,-20.0,0.272154952687141,-0.32658594322456924
11.0,4.0,-20.0,0.2435070629305999,-0.29220847551671986
11.0,8.0,-20.0,0.23491269600363757,-0.2807493196141034
11.0,12.0,-20.0,0.249236640881908,-0.3008028424436822
11.0,16.0,-20.0,0.25783100780887036,-0.3093972093706445
11.0,20.0,-20.0,0.2979380534680284,-0.3552338329811104
13.0,0.0,-20.0,0.3179915762976069,-0.37815214478634335
13.0,2.0,-20.0,0.26642537473583283,-0.3179915762976069
13.0,4.0,-20.0,0.2291831180523293,-0.27501974166279514
13.0,8.0,-20.0,0.19767043932013403,-0.2349126960036375
13.0,12.0,-20.0,0.20912959522275035,-0.25210142985756223
13.0,16.0,-20.0,0.23491269600363743,-0.2807493196141034
13.0,20.0,-20.0,0.2778845306384492,-0.3323155211758775
0.3,0.0,-16.0,2.1056198971057754,-2.320479070279834
0.3,2.0,-16.0,2.22021145613194,-2.4458135879647016
0.3,4.0,-16.0,2.270345263205887,-2.4995283812582163
0.3,8.0,-16.0,2.309736111621131,-2.542500215893028
0.3,12.0,-16.0,2.349126960036375,-2.589053036747407
0.3,16.0,-16.0,2.28108822186459,-2.5102713399169194
0.3,20.0,-16.0,2.0590670762513956,-2.2667642769863194
0.5,0.0,-16.0,2.127105814423181,-2.34196498759724
0.5,2.0,-16.0,2.2524403321080486,-2.4816234501603778
0.5,4.0,-16.0,2.2954121667428606,-2.531757257234325
0.5,8.0,-16.0,2.3348030151581045,-2.571148105649569
0.5,12.0,-16.0,2.3849368222320515,-2.6284438851626515
0.5,16.0,-16.0,2.3061551254015638,-2.5389192296734606
0.5,20.0,-16.0,2.0662290486905315,-2.273926249425455
0.8,0.0,-16.0,2.34196498759724,-2.581891064308272
0.8,2.0,-16.0,2.452975560403837,-2.703644595773572
0.8,4.0,-16.0,2.492366408819081,-2.7466164304083835
0.8,8.0,-16.0,2.5353382434538925,-2.7931692512627633
0.8,12.0,-16.0,2.5890530367474076,-2.8504650307758457
0.8,16.0,-16.0,2.531757257234325,-2.789588265043195
0.8,20.0,-16.0,2.3348030151581045,-2.571148105649569
1.2,0.0,-16.0,2.1736586352775604,-2.5460812021125956
1.2,2.0,-16.0,2.230954414790643,-2.6177009265039484
1.2,4.0,-16.0,2.2631832907667517,-2.6499298024800573
1.2,8.0,-16.0,2.3025741391819956,-2.696482623334437
1.2,12.0,-16.0,2.324060056499402,-2.7215495268714105
1.2,16.0,-16.0,2.302574139181996,-2.7000636095540043
1.2,20.0,-16.0,2.23453540101021,-2.6177009265039484
2.0,0.0,-16.0,1.0599719209920229,-1.2640881355073788
2.0,2.0,-16.0,1.0599719209920229,-1.260507149287811
2.0,4.0,-16.0,1.0599719209920229,-1.260507149287811
2.0,8.0,-16.0,1.070714879650726,-1.2748310941660816
2.0,12.0,-16.0,1.0886198107485643,-1.2998979977030551
2.0,16.0,-16.0,1.1029437556268353,-1.3142219425813257
2.0,20.0,-16.0,1.11010572806597,-1.3249649012400286
3.0,0.0,-16.0,0.6803873817178526,-0.8093028856222878
3.0,2.0,-16.0,0.6696444230591496,-0.7985599269635849
3.0,4.0,-16.0,0.666063436839582,-0.7913979545244496
3.0,8.0,-16.0,0.6696444230591496,-0.7985599269635849
3.0,12.0,-16.0,0.6875493541569877,-0.8164648580614231
3.0,16.0,-16.0,0.6982923128156903,-0.8307888029396936
3.0,20.0,-16.0,0.7197782301330969,-0.8594366926962348
5.0,0.0,-16.0,0.444042291226388,-0.5335669467155791
5.0,2.0,-16.0,0.4153944014698468,-0.4977570845199027
5.0,4.0,-16.0,0.39748947037200855,-0.47627116720249685
5.0,8.0,-16.0,0.3939084841524409,-0.4726901809829292
5.0,12.0,-16.0,0.41897538768941445,-0.5013380707394702
5.0,16.0,-16.0,0.444042291226388,-0.5299859604960114
5.0,20.0,-16.0,0.47627116720249685,-0.5729577951308232
7.0,0.0,-16.0,0.3688415806154674,-0.44046130500682035
7.0,2.0,-16.0,0.32945073220022336,-0.39390848415244095
7.0,4.0,-16.0,0.30796481488281746,-0.3652605943958998
7.0,8.0,-16.0,0.2972218562241146,-0.35451763573719686
7.0,12.0,-16.0,0.32945073220022325,-0.39032749793287336
7.0,16.0,-16.0,0.3616796081763321,-0.42971834634811745
7.0,20.0,-16.0,0.4046514428111447,-0.4870141258611998
9.0,0.0,-16.0,0.333031718419791,-0.3974894703720086
9.0,2.0,-16.0,0.29005988378497927,-0.34377467707849396
9.0,4.0,-16.0,0.25783100780887047,-0.30796481488281746
9.0,8.0,-16.0,0.24708804915016752,-0.29722185622411457
9.0,12.0,-16.0,0.27931692512627615,-0.33661270463935866
9.0,16.0,-16.0,0.3187077735415203,-0.37600355305460276
9.0,20.0,-16.0,0.37600355305460265,-0.44762327744595565
11.0,0.0,-16.0,0.272154952687141,-0.3258697459806557
11.0,2.0,-16.0,0.2578310078088704,-0.30796481488281746
11.0,4.0,-16.0,0.22918311805232935,-0.27573593890670867
11.0,8.0,-16.0,0.21844015939362635,-0.2578310078088704
11.0,12.0,-16.0,0.25425002158930265,-0.3079648148828175
11.0,16.0,-16.0,0.27215495268714085,-0.32228875976108806
11.0,20.0,-16.0,0.32228875976108834,-0.383165525493738
13.0,0.0,-16.0,0.2649929802480057,-0.3187077735415204
13.0,2.0,-16.0,0.222021145613194,-0.2649929802480057
13.0,4.0,-16.0,0.19337325585665285,-0.23276410427189695
13.0,8.0,-16.0,0.18263029719794988,-0.21844015939362638
13.0,12.0,-16.0,0.2148591731740585,-0.2578310078088704
13.0,16.0,-16.0,0.250669035369735,-0.29722185622411457
13.0,20.0,-16.0,0.3043838286632497,-0.36167960817633216
0.3,0.0,-12.0,2.287056532230536,-2.521014298575622
0.3,2.0,-12.0,2.277507235645022,-2.5066903536973517
0.3,4.0,-12.0,2.2822818839377788,-2.5114650019901084
0.3,8.0,-12.0,2.330028366865348,-2.5639861332104337
0.3,12.0,-12.0,2.38732414637843,-2.6308312093090294
0.3,16.0,-12.0,2.272732587352265,-2.497141057111838
0.3,20.0,-12.0,1.943281855152042,-2.139042435155073
0.5,0.0,-12.0,2.3204790702798337,-2.559211484917677
0.5,2.0,-12.0,2.301380477108806,-2.535338243453893
0.5,4.0,-12.0,2.301380477108806,-2.535338243453893
0.5,8.0,-12.0,2.353901608329132,-2.592634022966975
0.5,12.0,-12.0,2.4255213327204843,-2.6738030439438414
0.5,16.0,-12.0,2.29660582881605,-2.530563595161136
0.5,20.0,-12.0,1.943281855152042,-2.1390424351550736
0.8,0.0,-12.0,2.5114650019901084,-2.7692960097989787
0.8,2.0,-12.0,2.497141057111838,-2.754972064920708
0.8,4.0,-12.0,2.506690353697351,-2.7645213615062216
0.8,8.0,-12.0,2.5544368366249195,-2.817042492726547
0.8,12.0,-12.0,2.63083120930903,-2.898211513703414
0.8,16.0,-12.0,2.530563595161136,-2.788394602970006
0.8,20.0,-12.0,2.2393100493029667,-2.4637185190625397
1.2,0.0,-12.0,2.2679579390595084,-2.6547044507728144
1.2,2.0,-12.0,2.277507235645022,-2.673803043943842
1.2,4.0,-12.0,2.2966058288160496,-2.6929016371148693
1.2,8.0,-12.0,2.3252537185725908,-2.7263241751641667
1.2,12.0,-12.0,2.3443523117436182,-2.745422768335194
1.2,16.0,-12.0,2.301380477108807,-2.6976762854076255
1.2,20.0,-12.0,2.201112862960912,-2.5783100780887045
2.0,0.0,-12.0,1.0742958658702935,-1.2796057424588385
2.0,2.0,-12.0,1.0647465692847797,-1.265281797580568
2.0,4.0,-12.0,1.0599719209920229,-1.260507149287811
2.0,8.0,-12.0,1.0790705141630506,-1.2843803907515954
2.0,12.0,-12.0,1.1172677005051057,-1.332126873679164
2.0,16.0,-12.0,1.1172677005051057,-1.336901521971921
2.0,20.0,-12.0,1.117267700505105,-1.3369015219719207
3.0,0.0,-12.0,0.6780000575714741,-0.8069155614759094
3.0,2.0,-12.0,0.6684507609859605,-0.7973662648903955
3.0,4.0,-12.0,0.6636761126932035,-0.7925916165976388
3.0,8.0,-12.0,0.6780000575714742,-0.8069155614759093
3.0,12.0,-12.0,0.7018732990352585,-0.8307888029396936
3.0,16.0,-12.0,0.7114225956207717,-0.8498873961107211
3.0,20.0,-12.0,0.735295837084556,-0.8785352858672622
5.0,0.0,-12.0,0.4153944014698468,-0.4965634224467134
5.0,2.0,-12.0,0.39629580829881933,-0.4726901809829291
5.0,4.0,-12.0,0.3867465117133056,-0.4631408843974154
5.0,8.0,-12.0,0.39629580829881916,-0.477464829275686
5.0,12.0,-12.0,0.4344929946408741,-0.5204366639104977
5.0,16.0,-12.0,0.46791553269017216,-0.5586338502525525
5.0,20.0,-12.0,0.5061127190322265,-0.6016056848873643
7.0,0.0,-12.0,0.32945073220022336,-0.3962958082988194
7.0,2.0,-12.0,0.30080284244368216,-0.35809862195676445
7.0,4.0,-12.0,0.2864788975654115,-0.3390000287857371
7.0,8.0,-12.0,0.2960281941509253,-0.35809862195676445
7.0,12.0,-12.0,0.34854932537125055,-0.42016904976260366
7.0,16.0,-12.0,0.3867465117133055,-0.4631408843974154
7.0,20.0,-12.0,0.4440422912263889,-0.5299859604960114
9.0,0.0,-12.0,0.28647889756541156,-0.3437746770784939
9.0,2.0,-12.0,0.2530563595161136,-0.2960281941509253
9.0,4.0,-12.0,0.22918311805232935,-0.272154952687141
9.0,8.0,-12.0,0.24828171122335665,-0.2960281941509253
9.0,12.0,-12.0,0.30557749073643875,-0.3676479185422782
9.0,16.0,-12.0,0.34854932537125055,-0.41539440146984685
9.0,20.0,-12.0,0.41539440146984663,-0.4965634224467134
11.0,0.0,-12.0,0.26738030439438415,-0.31990143561470963
11.0,2.0,-12.0,0.21963382146681554,-0.2626056561016273
11.0,4.0,-12.0,0.1957605800030313,-0.23873241463784298
11.0,8.0,-12.0,0.21485917317405862,-0.2578310078088704
11.0,12.0,-12.0,0.28170424927265447,-0.34377467707849396
11.0,16.0,-12.0,0.3008028424436819,-0.35809862195676445
11.0,20.0,-12.0,0.3533239736640079,-0.42494369805536053
13.0,0.0,-12.0,0.21963382146681554,-0.2626056561016273
13.0,2.0,-12.0,0.18621128341751753,-0.21963382146681554
13.0,4.0,-12.0,0.16711269024649011,-0.205309876588545
13.0,8.0,-12.0,0.18621128341751744,-0.21963382146681554
13.0,12.0,-12.0,0.23873241463784267,-0.2864788975654116
13.0,16.0,-12.0,0.2769296009798976,-0.32945073220022336
13.0,20.0,-12.0,0.34377467707849424,-0.41061975317709
0.3,0.0,-8.0,2.291831180523293,-2.5281762710147575
