Mach,alpha_deg,def_roll,Cll
0.3,0.0,0.0,0.0
0.3,2.0,0.0,0.0
0.3,4.0,0.0,0.0
0.3,8.0,0.0,0.0
0.3,12.0,0.0,0.0
0.3,16.0,0.0,0.0
0.3,20.0,0.0,0.0
0.5,0.0,0.0,0.0
0.5,2.0,0.0,0.0
0.5,4.0,0.0,0.0
0.5,8.0,0.0,0.0
0.5,12.0,0.0,0.0
0.5,16.0,0.0,0.0
0.5,20.0,0.0,0.0
0.8,0.0,0.0,0.0
0.8,2.0,0.0,0.0
0.8,4.0,0.0,0.0
0.8,8.0,0.0,0.0
0.8,12.0,0.0,0.0
0.8,16.0,0.0,0.0
0.8,20.0,0.0,0.0
1.2,0.0,0.0,0.0
1.2,2.0,0.0,0.0
1.2,4.0,0.0,0.0
1.2,8.0,0.0,0.0
1.2,12.0,0.0,0.0
1.2,16.0,0.0,0.0
1.2,20.0,0.0,0.0
2.0,0.0,0.0,0.0
2.0,2.0,0.0,0.0
2.0,4.0,0.0,0.0
2.0,8.0,0.0,0.0
2.0,12.0,0.0,0.0
2.0,16.0,0.0,0.0
2.0,20.0,0.0,0.0
3.0,0.0,0.0,0.0
3.0,2.0,0.0,0.0
3.0,4.0,0.0,0.0
3.0,8.0,0.0,0.0
3.0,12.0,0.0,0.0
3.0,16.0,0.0,0.0
3.0,20.0,0.0,0.0
5.0,0.0,0.0,0.0
5.0,2.0,0.0,0.0
5.0,4.0,0.0,0.0
5.0,8.0,0.0,0.0
5.0,12.0,0.0,0.0
5.0,16.0,0.0,0.0
5.0,20.0,0.0,0.0
7.0,0.0,0.0,0.0
7.0,2.0,0.0,0.0
7.0,4.0,0.0,0.0
7.0,8.0,0.0,0.0
7.0,12.0,0.0,0.0
7.0,16.0,0.0,0.0
7.0,20.0,0.0,0.0
9.0,0.0,0.0,0.0
9.0,2.0,0.0,0.0
9.0,4.0,0.0,0.0
9.0,8.0,0.0,0.0
9.0,12.0,0.0,0.0
9.0,16.0,0.0,0.0
9.0,20.0,0.0,0.0
11.0,0.0,0.0,0.0
11.0,2.0,0.0,0.0
11.0,4.0,0.0,0.0
11.0,8.0,0.0,0.0
11.0,12.0,0.0,0.0
11.0,16.0,0.0,0.0
11.0,20.0,0.0,0.0
13.0,0.0,0.0,0.0
13.0,2.0,0.0,0.0
13.0,4.0,0.0,0.0
13.0,8.0,0.0,0.0
13.0,12.0,0.0,0.0
13.0,16.0,0.0,0.0
13.0,20.0,0.0,0.0
0.3,0.0,5.0,-0.095
0.3,2.0,5.0,-0.095
0.3,4.0,5.0,-0.096
0.3,8.0,5.0,-0.097
0.3,12.0,5.0,-0.08
0.3,16.0,5.0,-0.058
0.3,20.0,5.0,-0.037
0.5,0.0,5.0,-0.096
0.5,2.0,5.0,-0.096
0.5,4.0,5.0,-0.098
0.5,8.0,5.0,-0.099
0.5,12.0,5.0,-0.08
0.5,16.0,5.0,-0.056
0.5,20.0,5.0,-0.036
0.8,0.0,5.0,-0.105
0.8,2.0,5.0,-0.106
0.8,4.0,5.0,-0.107
0.8,8.0,5.0,-0.108
0.8,12.0,5.0,-0.091
0.8,16.0,5.0,-0.07
0.8,20.0,5.0,-0.055
1.2,0.0,5.0,-0.159
1.2,2.0,5.0,-0.159
1.2,4.0,5.0,-0.159
1.2,8.0,5.0,-0.156
1.2,12.0,5.0,-0.144
1.2,16.0,5.0,-0.133
1.2,20.0,5.0,-0.122
2.0,0.0,5.0,-0.08
2.0,2.0,5.0,-0.08
2.0,4.0,5.0,-0.082
2.0,8.0,5.0,-0.084
2.0,12.0,5.0,-0.083
2.0,16.0,5.0,-0.081
2.0,20.0,5.0,-0.079
3.0,0.0,5.0,-0.051
3.0,2.0,5.0,-0.052
3.0,4.0,5.0,-0.052
3.0,8.0,5.0,-0.054
3.0,12.0,5.0,-0.057
3.0,16.0,5.0,-0.056
3.0,20.0,5.0,-0.055
5.0,0.0,5.0,-0.03
5.0,2.0,5.0,-0.03
5.0,4.0,5.0,-0.032
5.0,8.0,5.0,-0.036
5.0,12.0,5.0,-0.042
5.0,16.0,5.0,-0.043
5.0,20.0,5.0,-0.045
7.0,0.0,5.0,-0.022
7.0,2.0,5.0,-0.022
7.0,4.0,5.0,-0.024
7.0,8.0,5.0,-0.031
7.0,12.0,5.0,-0.038
7.0,16.0,5.0,-0.041
7.0,20.0,5.0,-0.044
9.0,0.0,5.0,-0.017
9.0,2.0,5.0,-0.018
9.0,4.0,5.0,-0.02
9.0,8.0,5.0,-0.028
9.0,12.0,5.0,-0.036
9.0,16.0,5.0,-0.04
9.0,20.0,5.0,-0.04
11.0,0.0,5.0,-0.014
11.0,2.0,5.0,-0.015
11.0,4.0,5.0,-0.018
11.0,8.0,5.0,-0.025
11.0,12.0,5.0,-0.029
11.0,16.0,5.0,-0.031
11.0,20.0,5.0,-0.039
13.0,0.0,5.0,-0.013
13.0,2.0,5.0,-0.013
13.0,4.0,5.0,-0.015
13.0,8.0,5.0,-0.022
13.0,12.0,5.0,-0.03
13.0,16.0,5.0,-0.035
13.0,20.0,5.0,-0.039
0.3,0.0,10.0,-0.19
0.3,2.0,10.0,-0.19
0.3,4.0,10.0,-0.19
0.3,8.0,10.0,-0.174
0.3,12.0,10.0,-0.14
0.3,16.0,10.0,-0.112
0.3,20.0,10.0,-0.07
0.5,0.0,10.0,-0.193
