Time (s),Thrust (N),mdot (kg/s)
0.0,1335.681105,1.093148926
0.004437022,1345.554824,1.071285947
0.006488576,4842.108342,2.317198231
0.008162896,6329.730046,2.839599343
0.009748627,6785.884439,2.998577544
0.011311273,6914.211749,3.043221343
0.01286771,6950.099566,3.055707952
0.014422435,6960.743824,3.059418503
0.015976659,6964.55396,3.060753521
0.017530707,6966.518279,3.061446964
0.019084666,6967.984431,3.061967256
0.020638562,6969.316209,3.062440843
0.0221924,6970.611795,3.062901851
0.023746182,6971.897685,3.063359491
0.025299909,6973.181032,3.063816247
0.02685358,6974.463764,3.06427279
0.028407196,6975.746402,3.064729302
0.029960756,6977.029087,3.06518583
0.031514261,6978.311855,3.065642389
0.033067711,6979.594718,3.066098981
0.034621106,6980.877678,3.066555607
0.036174445,6982.160735,3.067012269
0.037727729,6983.44389,3.067468965
0.039280958,6984.727142,3.067925696
0.040834131,6986.010492,3.068382462
0.04238725,6987.293939,3.068839262
0.043940313,6988.577483,3.069296097
0.04549332,6989.861125,3.069752967
0.047046273,6991.144863,3.070209871
0.04859917,6992.428698,3.070666809
0.050152012,6993.712629,3.071123782
0.051704799,6994.996657,3.071580789
0.05325753,6996.280782,3.072037831
0.054810206,6997.565002,3.072494907
0.056362827,6998.849319,3.072952017
0.057915393,7000.133732,3.073409162
0.059467904,7001.41824,3.07386634
0.061020359,7002.702844,3.074323553
0.06257276,7003.987544,3.074780799
0.064125105,7005.272339,3.07523808
0.065677395,7006.55723,3.075695395
0.067229629,7007.842215,3.076152743
0.068781809,7009.127296,3.076610126
0.070333933,7010.412472,3.077067542
0.071886003,7011.697742,3.077524992
0.073438017,7012.983107,3.077982476
0.074989976,7014.268566,3.078439993
0.07654188,7015.55412,3.078897544
0.078093728,7016.839769,3.079355129
0.079645522,7018.125511,3.079812747
0.08119726,7019.411347,3.080270399
0.082748944,7020.697277,3.080728084
0.084300572,7021.983356,3.081185822
0.085852145,7023.269752,3.081643673
0.087403663,7024.556653,3.082101703
0.088955126,7025.844231,3.082559973
0.090506534,7027.132636,3.083018536
0.092057887,7028.421995,3.083477437
0.093609184,7029.712412,3.083936712
0.095160427,7031.003972,3.084396391
0.096711614,7032.296741,3.084856498
0.098262745,7033.590767,3.08531705
0.099813821,7034.886085,3.085778058
0.101364842,7036.182714,3.08623953
0.102915808,7037.480659,3.086701468
0.104466718,7038.779915,3.087163869
0.106017572,7040.080464,3.087626728
0.10756837,7041.382278,3.088090034
0.109119113,7042.68532,3.088553774
0.110669801,7043.989544,3.089017931
0.112220432,7045.294896,3.089482488
0.113771008,7046.601312,3.089947421
0.115321528,7047.908724,3.090412706
0.116871992,7049.217055,3.090878316
0.1184224,7050.526224,3.091344222
0.119972752,7051.836143,3.091810393
0.121523048,7053.146718,3.092276796
0.123073288,7054.45785,3.092743396
0.124623472,7055.769437,3.093210157
0.1261736,7057.081371,3.093677041
0.127723673,7058.393541,3.094144008
0.129273689,7059.705831,3.094611017
0.130823649,7061.018121,3.095078027
0.132373553,7062.330289,3.095544993
0.133923401,7063.64221,3.096011872
0.135473193,7064.953754,3.096478618
0.13702293,7066.26479,3.096945185
0.13857261,7067.575183,3.097411524
0.140122234,7068.884796,3.097877587
0.141671803,7070.193491,3.098343326
0.143221316,7071.501125,3.09880869
0.144770773,7072.807554,3.099273629
0.146320175,7074.112634,3.09973809
0.147869521,7075.416216,3.100202022
0.149418811,7076.71815,3.100665371
0.150968047,7078.018287,3.101128085
0.152517227,7079.316472,3.10159011
0.154066351,7080.612551,3.10205139
0.155615421,7081.906369,3.102511871
0.157164436,7083.197769,3.102971497
0.158713395,7084.486591,3.103430213
0.160262301,7085.772677,3.103887961
0.161811151,7087.055873,3.104344688
0.163359947,7088.336051,3.104800348
0.164908689,7089.613098,3.105254902
0.166457377,7090.886913,3.105708313
0.168006011,7092.157406,3.106160551
0.169554591,7093.424496,3.106611586
0.171103117,7094.688112,3.107061394
0.17265159,7095.948192,3.107509952
0.17420001,7097.204683,3.107957242
0.175748376,7098.457538,3.108403247
0.17729669,7099.706721,3.108847954
0.178844951,7100.952201,3.109291353
0.180393159,7102.193955,3.109733436
0.181941315,7103.431966,3.110174196
0.183489419,7104.666225,3.11061363
0.18503747,7105.896727,3.111051737
0.18658547,7107.123476,3.111488518
0.188133419,7108.346479,3.111923975
0.189681315,7109.565749,3.112358113
0.191229161,7110.781306,3.112790939
0.192776955,7111.993172,3.113222462
0.194324699,7113.201377,3.11365269
0.195872392,7114.405954,3.114081637
0.197420034,7115.606939,3.114509315
0.198967626,7116.804375,3.114935739
0.200515168,7117.998308,3.115360926
0.202062659,7119.188788,3.115784892
0.203610101,7120.375868,3.116207658
0.205157493,7121.559605,3.116629242
0.206704835,7122.740061,3.117049667
0.208252129,7123.917298,3.117468955
0.209799373,7125.091386,3.117887131
0.211346567,7126.262393,3.118304218
0.212893713,7127.430394,3.118720243
0.214440811,7128.595465,3.119135234
0.215987859,7129.757685,3.119549217
0.217534859,7130.917135,3.119962222
0.219081811,7132.073901,3.120374278
0.220628714,7133.228069,3.120785417
0.22217557,7134.379728,3.12119567
0.223722377,7135.52897,3.121605069
0.225269137,7136.675889,3.122013647
0.226815849,7137.82058,3.122421439
0.228362513,7138.963143,3.122828479
0.22990913,7140.103676,3.123234803
0.2314557,7141.242283,3.123640446
0.233002222,7142.379067,3.124045445
0.234548697,7143.514133,3.124449838
0.236095124,7144.64759,3.124853663
0.237641505,7145.828468,3.125274352
0.239187837,7147.02144,3.12569924
0.240734118,7148.217063,3.126125045
0.24228035,7149.412797,3.126550884
0.243826532,7150.607959,3.12697652
0.245372664,7151.80237,3.12740189
0.246918747,7152.995988,3.12782698
0.248464779,7154.188805,3.128251787
0.250010762,7155.380823,3.128676312
0.251556695,7156.572048,3.129100557
0.253102579,7157.762486,3.129524524
0.254648413,7158.952141,3.129948215
0.256194197,7160.141019,3.130371632
0.257739932,7161.329126,3.130794777
0.259285618,7162.516466,3.13121765
0.260831254,7163.703044,3.131640255
0.26237684,7164.888866,3.132062593
0.263922378,7166.073934,3.132484665
0.265467866,7167.258254,3.132906473
0.267013305,7168.44183,3.133328018
0.268558695,7169.624665,3.133749301
0.270104035,7170.806763,3.134170324
0.271649327,7171.988127,3.134591089
0.273194569,7173.16876,3.135011595
0.274739763,7174.348666,3.135431845
0.276284907,7175.527847,3.135851838
0.277830003,7176.706306,3.136271577
0.27937505,7177.884045,3.136691062
0.280920047,7179.061067,3.137110293
0.282464996,7180.237372,3.137529272
0.284009897,7181.412964,3.137947999
0.285554748,7182.587843,3.138366474
0.287099551,7183.762012,3.138784698
0.288644305,7184.93547,3.139202672
0.290189011,7186.108219,3.139620395
0.291733668,7187.28026,3.140037868
0.293278276,7188.451593,3.140455092
0.294822837,7189.622219,3.140872066
0.296367348,7190.792138,3.14128879
0.297911811,7191.961349,3.141705265
0.299456226,7193.129853,3.142121489
0.301000593,7194.297648,3.142537464
0.302544911,7195.464735,3.142953189
0.304089181,7196.631112,3.143368663
0.305633403,7197.796778,3.143783886
0.307177577,7198.961731,3.144198858
0.308721703,7200.125972,3.144613577
0.31026578,7201.289496,3.145028045
0.31180981,7202.452304,3.145442259
0.313353791,7203.614392,3.145856219
0.314897725,7204.775758,3.146269924
0.316441611,7205.9364,3.146683374
0.317985449,7207.096314,3.147096567
0.319529239,7208.255499,3.147509502
0.321072981,7209.41395,3.147922178
0.322616675,7210.571665,3.148334595
0.324160322,7211.72864,3.14874675
0.325703921,7212.884871,3.149158642
0.327247473,7214.040354,3.149570271
0.328790977,7215.195084,3.149981634
0.330334434,7216.349059,3.15039273
0.331877843,7217.502272,3.150803557
0.333421204,7218.65472,3.151214114
0.334964518,7219.806396,3.151624399
0.336507785,7220.957297,3.152034409
0.338051005,7222.107416,3.152444144
0.339594177,7223.256748,3.152853601
0.341137302,7224.405287,3.153262778
