Mach,alpha_deg,Ca,Cn,Cm
0.3,-20,0.247,-2.973,7.675
0.3,-16,0.274,-2.426,5.651
0.3,-12,0.287,-1.841,3.748
0.3,-8,0.276,-1.213,1.978
0.3,-4,0.267,-0.54,0.824
0.3,0,0.268,0,0
0.3,4,0.267,0.54,-0.824
0.3,8,0.276,1.213,-1.978
0.3,12,0.287,1.841,-3.748
0.3,16,0.274,2.426,-5.651
0.3,20,0.247,2.973,-7.675
0.5,-20,0.244,-3.11,8.476
0.5,-16,0.272,-2.484,6.102
0.5,-12,0.284,-1.852,3.882
0.5,-8,0.274,-1.188,2.034
0.5,-4,0.266,-0.546,0.85
0.5,0,0.267,0,0
0.5,4,0.266,0.546,-0.85
0.5,8,0.274,1.188,-2.034
0.5,12,0.284,1.852,-3.882
0.5,16,0.272,2.484,-6.102
0.5,20,0.244,3.11,-8.476
0.8,-20,0.235,-3.438,8.173
0.8,-16,0.264,-2.733,5.977
0.8,-12,0.274,-2.06,3.974
0.8,-8,0.268,-1.322,2.195
0.8,-4,0.265,-0.582,0.942
0.8,0,0.266,0,0
0.8,4,0.265,0.582,-0.942
0.8,8,0.268,1.322,-2.195
0.8,12,0.274,2.06,-3.974
0.8,16,0.264,2.733,-5.977
0.8,20,0.235,3.438,-8.173
1.2,-20,0.506,-3.605,8.48
1.2,-16,0.547,-2.907,6.219
1.2,-12,0.566,-2.208,4.133
1.2,-8,0.574,-1.434,2.375
1.2,-4,0.578,-0.638,0.993
1.2,0,0.578,0,0
1.2,4,0.578,0.638,-0.993
1.2,8,0.574,1.434,-2.375
1.2,12,0.566,2.208,-4.133
1.2,16,0.547,2.907,-6.219
1.2,20,0.506,3.605,-8.48
1.5,-20,0.327,-3.312,7.722
1.5,-16,0.343,-2.699,5.651
1.5,-12,0.355,-2.006,3.925
1.5,-8,0.364,-1.325,2.335
1.5,-4,0.369,-0.587,0.999
1.5,0,0.371,0,0
1.5,4,0.369,0.587,-0.999
1.5,8,0.364,1.325,-2.335
1.5,12,0.355,2.006,-3.925
1.5,16,0.343,2.699,-5.651
1.5,20,0.327,3.312,-7.722
2,-20,0.323,-3.137,4.937
2,-16,0.327,-2.566,3.864
2,-12,0.331,-1.868,2.819
2,-8,0.333,-1.183,1.739
2,-4,0.335,-0.53,0.778
2,0,0.335,0,0
2,4,0.335,0.53,-0.778
2,8,0.333,1.183,-1.739
2,12,0.331,1.868,-2.819
2,16,0.327,2.566,-3.864
2,20,0.323,3.137,-4.937
3,-20,0.314,-3.171,4.484
3,-16,0.312,-2.588,3.339
3,-12,0.31,-1.892,2.225
3,-8,0.308,-1.133,1.24
3,-4,0.307,-0.461,0.521
3,0,0.306,0,0
3,4,0.307,0.461,-0.521
3,8,0.308,1.133,-1.24
3,12,0.31,1.892,-2.225
3,16,0.312,2.588,-3.339
3,20,0.314,3.171,-4.484
4,-20,0.297,-3.016,4.129
4,-16,0.286,-2.501,3.139
4,-12,0.277,-1.835,2.081
4,-8,0.271,-1.103,1.157
4,-4,0.267,-0.432,0.43
4,0,0.266,0,0
4,4,0.267,0.432,-0.43
4,8,0.271,1.103,-1.157
4,12,0.277,1.835,-2.081
4,16,0.286,2.501,-3.139
4,20,0.297,3.016,-4.129
5,-20,0.281,-2.825,3.778
5,-16,0.266,-2.283,2.748
5,-12,0.253,-1.698,1.772
5,-8,0.244,-1.024,0.945
5,-4,0.238,-0.404,0.346
5,0,0.236,0,0
5,4,0.238,0.404,-0.346
5,8,0.244,1.024,-0.945
5,12,0.253,1.698,-1.772
5,16,0.266,2.283,-2.748
5,20,0.281,2.825,-3.778
6,-20,0.271,-2.615,3.166
6,-16,0.253,-2.125,2.262
6,-12,0.238,-1.579,1.483
6,-8,0.227,-0.932,0.769
6,-4,0.22,-0.38,0.28
6,0,0.217,0,0
6,4,0.22,0.38,-0.28
6,8,0.227,0.932,-0.769
6,12,0.238,1.579,-1.483
6,16,0.253,2.125,-2.262
6,20,0.271,2.615,-3.166
7,-20,0.264,-2.522,2.786
7,-16,0.244,-2.042,2.012
7,-12,0.227,-1.493,1.261
7,-8,0.214,-0.841,0.619
7,-4,0.207,-0.359,0.233
7,0,0.204,0,0
7,4,0.207,0.359,-0.233
7,8,0.214,0.841,-0.619
7,12,0.227,1.493,-1.261
7,16,0.244,2.042,-2.012
7,20,0.264,2.522,-2.786
8,-20,0.259,-2.391,2.588
8,-16,0.237,-1.931,1.84
8,-12,0.219,-1.431,1.151
8,-8,0.205,-0.827,0.529
8,-4,0.197,-0.338,0.197
8,0,0.194,0,0
8,4,0.197,0.338,-0.197
8,8,0.205,0.827,-0.529
8,12,0.219,1.431,-1.151
8,16,0.237,1.931,-1.84
8,20,0.259,2.391,-2.588
