Mach,alpha_deg,Reynolds,CA
0.3,0,1.00E+05,0.312
0.3,0,5.00E+05,0.451
0.3,0,1.00E+06,0.365
0.3,0,3.00E+06,0.339
0.3,0,5.00E+06,0.312
0.3,0,7.00E+06,0.312
0.3,0,1.00E+07,0.312
0.3,0,3.00E+07,0.312
0.3,0,5.00E+07,0.312
0.3,0,7.00E+07,0.312
0.3,4,1.00E+05,0.301
0.3,4,5.00E+05,0.448
0.3,4,1.00E+06,0.363
0.3,4,3.00E+06,0.335
0.3,4,5.00E+06,0.306
0.3,4,7.00E+06,0.304
0.3,4,1.00E+07,0.303
0.3,4,3.00E+07,0.303
0.3,4,5.00E+07,0.301
0.3,4,7.00E+07,0.301
0.3,8,1.00E+05,0.276
0.3,8,5.00E+05,0.448
0.3,8,1.00E+06,0.363
0.3,8,3.00E+06,0.333
0.3,8,5.00E+06,0.296
0.3,8,7.00E+06,0.289
0.3,8,1.00E+07,0.286
0.3,8,3.00E+07,0.283
0.3,8,5.00E+07,0.276
0.3,8,7.00E+07,0.275
0.3,12,1.00E+05,0.271
0.3,12,5.00E+05,0.45
0.3,12,1.00E+06,0.365
0.3,12,3.00E+06,0.336
0.3,12,5.00E+06,0.297
0.3,12,7.00E+06,0.289
0.3,12,1.00E+07,0.285
0.3,12,3.00E+07,0.281
0.3,12,5.00E+07,0.271
0.3,12,7.00E+07,0.269
0.3,16,1.00E+05,0.276
0.3,16,5.00E+05,0.437
0.3,16,1.00E+06,0.353
0.3,16,3.00E+06,0.325
0.3,16,5.00E+06,0.292
0.3,16,7.00E+06,0.287
0.3,16,1.00E+07,0.285
0.3,16,3.00E+07,0.283
0.3,16,5.00E+07,0.276
0.3,16,7.00E+07,0.275
0.3,20,1.00E+05,0.257
0.3,20,5.00E+05,0.401
0.3,20,1.00E+06,0.319
0.3,20,3.00E+06,0.292
0.3,20,5.00E+06,0.263
0.3,20,7.00E+06,0.261
0.3,20,1.00E+07,0.26
0.3,20,3.00E+07,0.259
0.3,20,5.00E+07,0.257
0.3,20,7.00E+07,0.256
0.5,0,1.00E+05,0.31
0.5,0,5.00E+05,0.45
0.5,0,1.00E+06,0.364
0.5,0,3.00E+06,0.338
0.5,0,5.00E+06,0.31
0.5,0,7.00E+06,0.31
0.5,0,1.00E+07,0.31
0.5,0,3.00E+07,0.31
0.5,0,5.00E+07,0.31
0.5,0,7.00E+07,0.31
0.5,4,1.00E+05,0.298
0.5,4,5.00E+05,0.447
0.5,4,1.00E+06,0.362
0.5,4,3.00E+06,0.334
0.5,4,5.00E+06,0.303
0.5,4,7.00E+06,0.301
0.5,4,1.00E+07,0.3
0.5,4,3.00E+07,0.3
0.5,4,5.00E+07,0.298
