Mach,alpha_deg,Cmq,Cnq,Clp
0.3,0,-11.065,1.659,-0.071
0.3,2,-11.853,1.78,-0.092
0.3,4,-12.474,1.864,-0.091
0.3,8,-12.654,1.889,-0.091
0.3,12,-12.364,1.869,-0.105
0.3,16,-11.91,1.845,-0.116
0.5,0,-11.305,1.67,-0.073
0.5,2,-12.068,1.788,-0.093
0.5,4,-12.66,1.871,-0.091
0.5,8,-12.819,1.896,-0.093
0.5,12,-12.476,1.88,-0.109
0.5,16,-11.979,1.86,-0.121
0.8,0,-11.08,1.527,-0.077
0.8,2,-11.397,1.578,-0.096
0.8,4,-11.845,1.623,-0.087
0.8,8,-11.888,1.62,-0.079
0.8,12,-11.553,1.564,-0.082
0.8,16,-11.025,1.524,-0.089
1.2,0,-11.207,1.429,-0.079
1.2,2,-11.025,1.404,-0.096
1.2,4,-11.086,1.416,-0.084
1.2,8,-10.795,1.379,-0.076
1.2,12,-10.289,1.311,-0.078
1.2,16,-9.808,1.255,-0.08
1.5,0,-10.409,1.482,-0.077
1.5,2,-10.103,1.438,-0.09
1.5,4,-9.875,1.412,-0.084
1.5,8,-9.435,1.355,-0.081
1.5,12,-8.913,1.285,-0.082
1.5,16,-8.483,1.227,-0.081
2,0,-9.348,1.359,-0.072
2,2,-9.333,1.358,-0.079
2,4,-9.262,1.346,-0.072
2,8,-8.875,1.292,-0.07
2,12,-8.464,1.235,-0.072
2,16,-8.072,1.182,-0.073
3,0,-6.032,0.892,-0.058
3,2,-6.141,0.909,-0.062
3,4,-6.124,0.906,-0.06
3,8,-5.945,0.881,-0.06
3,12,-5.763,0.857,-0.063
3,16,-5.585,0.832,-0.065
4,0,-4.726,0.711,-0.047
4,2,-4.979,0.748,-0.051
4,4,-5.158,0.773,-0.05
4,8,-5.152,0.772,-0.052
4,12,-5.102,0.762,-0.055
4,16,-5.027,0.753,-0.057
5,0,-4.122,0.628,-0.04
5,2,-4.487,0.682,-0.044
5,4,-4.69,0.709,-0.044
5,8,-4.771,0.719,-0.047
5,12,-4.846,0.727,-0.05
5,16,-4.868,0.728,-0.053
6,0,-3.996,0.618,-0.035
6,2,-4.461,0.686,-0.039
6,4,-4.728,0.721,-0.041
6,8,-4.845,0.735,-0.044
6,12,-4.972,0.75,-0.047
6,16,-5.062,0.76,-0.051
7,0,-4.237,0.667,-0.031
7,2,-4.771,0.745,-0.035
7,4,-5.119,0.791,-0.039
7,8,-5.25,0.806,-0.042
7,12,-5.39,0.822,-0.046
7,16,-5.502,0.835,-0.049
8,0,-4.366,0.695,-0.028
8,2,-4.98,0.785,-0.032
8,4,-5.379,0.837,-0.037
8,8,-5.493,0.849,-0.04
8,12,-5.608,0.862,-0.044
8,16,-5.744,0.878,-0.047
