Mach,delta_deg,Cd_delta
0.3,0,0.285
0.3,4,0.287
0.3,8,0.309
0.3,12,0.349
0.3,16,0.385
0.3,20,0.423
0.5,0,0.284
0.5,4,0.286
0.5,8,0.31
0.5,12,0.349
0.5,16,0.386
0.5,20,0.426
0.8,0,0.314
0.8,4,0.317
0.8,8,0.35
0.8,12,0.409
0.8,16,0.47
0.8,20,0.544
1.2,0,0.511
1.2,4,0.523
1.2,8,0.557
1.2,12,0.613
1.2,16,0.681
1.2,20,0.761
1.5,0,0.451
1.5,4,0.46
1.5,8,0.487
1.5,12,0.529
1.5,16,0.586
1.5,20,0.656
2,0,0.376
2,4,0.382
2,8,0.401
2,12,0.433
2,16,0.477
2,20,0.532
3,0,0.268
3,4,0.273
3,8,0.284
3,12,0.305
3,16,0.334
3,20,0.375
4,0,0.208
4,4,0.211
4,8,0.22
4,12,0.235
4,16,0.259
4,20,0.292
5,0,0.17
5,4,0.173
5,8,0.18
5,12,0.194
5,16,0.214
5,20,0.244
6,0,0.149
6,4,0.15
6,8,0.156
6,12,0.168
6,16,0.188
6,20,0.216
7,0,0.134
7,4,0.135
7,8,0.141
7,12,0.152
7,16,0.17
7,20,0.199
8,0,0.124
8,4,0.126
8,8,0.131
8,12,0.141
8,16,0.159
8,20,0.187
