Mach,delta_roll,alpha_deg,Cll
0.3,5,0,-0.086
0.3,5,2,-0.084
0.3,5,4,-0.082
0.3,5,8,-0.028
0.3,5,12,-0.002
0.3,5,16,-0.002
0.3,5,20,-0.002
0.5,5,0,-0.094
0.5,5,2,-0.093
0.5,5,4,-0.09
0.5,5,8,-0.02
0.5,5,12,0.0098
0.5,5,16,0.0098
0.5,5,20,0.0098
0.8,5,0,-0.035
0.8,5,2,-0.034
0.8,5,4,-0.031
0.8,5,8,-0.009
0.8,5,12,0.0132
0.8,5,16,0.0132
0.8,5,20,0.0132
1.2,5,0,-0.05
1.2,5,2,-0.051
1.2,5,4,-0.052
1.2,5,8,-0.044
1.2,5,12,-0.0422
1.2,5,16,-0.0422
1.2,5,20,-0.0422
1.5,5,0,-0.036
1.5,5,2,-0.036
1.5,5,4,-0.037
1.5,5,8,-0.03
1.5,5,12,-0.0558
1.5,5,16,-0.0558
1.5,5,20,-0.0558
2,5,0,-0.018
2,5,2,-0.02
2,5,4,-0.024
2,5,8,-0.027
2,5,12,-0.0748
2,5,16,-0.0748
2,5,20,-0.0748
3,5,0,-0.025
3,5,2,-0.027
3,5,4,-0.033
3,5,8,-0.048
3,5,12,-0.111
3,5,16,-0.111
3,5,20,-0.111
4,5,0,-0.03
4,5,2,-0.03
4,5,4,-0.036
4,5,8,-0.054
4,5,12,-0.0816
4,5,16,-0.0816
4,5,20,-0.0816
5,5,0,-0.03
5,5,2,-0.03
5,5,4,-0.035
5,5,8,-0.05
5,5,12,-0.0653
5,5,16,-0.0653
5,5,20,-0.0653
6,5,0,-0.029
6,5,2,-0.03
6,5,4,-0.033
6,5,8,-0.044
6,5,12,-0.0576
6,5,16,-0.0576
6,5,20,-0.0576
7,5,0,-0.029
7,5,2,-0.029
7,5,4,-0.032
7,5,8,-0.04
7,5,12,-0.0535
7,5,16,-0.0535
7,5,20,-0.0535
8,5,0,-0.028
8,5,2,-0.028
8,5,4,-0.031
8,5,8,-0.037
8,5,12,-0.0507
8,5,16,-0.0507
8,5,20,-0.0507
0.3,10,0,-0.171
0.3,10,2,-0.167
0.3,10,4,-0.164
0.3,10,8,-0.056
0.3,10,12,-0.034
0.3,10,16,-0.034
0.3,10,20,-0.034
0.5,10,0,-0.188
0.5,10,2,-0.187
0.5,10,4,-0.181
0.5,10,8,-0.04
0.5,10,12,-0.0272
0.5,10,16,-0.0272
0.5,10,20,-0.0272
0.8,10,0,-0.069
0.8,10,2,-0.069
0.8,10,4,-0.063
0.8,10,8,-0.017
0.8,10,12,-0.0184
0.8,10,16,-0.0184
0.8,10,20,-0.0184
1.2,10,0,-0.101
1.2,10,2,-0.102
1.2,10,4,-0.104
1.2,10,8,-0.087
1.2,10,12,-0.085
1.2,10,16,-0.085
1.2,10,20,-0.085
1.5,10,0,-0.072
1.5,10,2,-0.072
1.5,10,4,-0.073
1.5,10,8,-0.061
1.5,10,12,-0.11
1.5,10,16,-0.11
1.5,10,20,-0.11
2,10,0,-0.035
2,10,2,-0.039
2,10,4,-0.048
2,10,8,-0.054
