6 13  9												
0.0  4.0   8.0   12.0   16.0    20.0												
0.3  0.5  .8   1.2   1.5  2.0  3.0   4.0   5.0   6.0   7.0    8.0  9.0												
0.0  10000.0  20000.0  30000.0  40000.0  50000.0  60000.0  70000.0   77000.0  												
												
CA-A0.0												
												
0.211	0.208	0.226	0.423	0.354	0.293	0.223	0.177	0.153	0.137	0.126	0.119	0.112
0.2	0.195	0.21	0.423	0.351	0.292	0.224	0.179	0.156	0.14	0.13	0.123	0.116
0.173	0.162	0.169	0.421	0.338	0.288	0.226	0.184	0.163	0.148	0.139	0.134	0.129
0.164	0.148	0.153	0.416	0.317	0.281	0.229	0.193	0.175	0.163	0.155	0.15	0.145
0.173	0.161	0.166	0.402	0.29	0.272	0.234	0.205	0.191	0.181	0.176	0.173	0.17
0.166	0.156	0.158	0.372	0.256	0.26	0.24	0.218	0.211	0.205	0.202	0.201	0.2
												
CA-A10000.0												
												
0.211	0.208	0.226	0.423	0.354	0.293	0.223	0.177	0.161	0.144	0.132	0.125	0.118
0.204	0.2	0.214	0.423	0.351	0.292	0.224	0.179	0.163	0.147	0.135	0.128	0.121
0.194	0.181	0.186	0.421	0.338	0.288	0.226	0.184	0.17	0.156	0.145	0.139	0.133
0.194	0.179	0.176	0.416	0.317	0.281	0.229	0.193	0.182	0.17	0.161	0.155	0.149
0.193	0.181	0.184	0.402	0.29	0.272	0.234	0.205	0.199	0.189	0.182	0.178	0.174
0.177	0.168	0.169	0.372	0.256	0.26	0.24	0.218	0.217	0.211	0.207	0.206	0.205
												
CA-A20000.0												
												
												
0.257	0.238	0.245	0.43	0.361	0.3	0.234	0.195	0.177	0.159	0.145	0.137	0.129
0.254	0.234	0.24	0.43	0.357	0.299	0.235	0.197	0.18	0.161	0.148	0.14	0.132
0.251	0.23	0.232	0.428	0.344	0.294	0.237	0.202	0.186	0.17	0.158	0.151	0.144
0.254	0.232	0.23	0.423	0.324	0.288	0.24	0.21	0.199	0.183	0.173	0.168	0.163
0.246	0.225	0.224	0.409	0.296	0.278	0.245	0.221	0.213	0.202	0.195	0.189	0.183
0.225	0.204	0.201	0.378	0.262	0.266	0.25	0.234	0.233	0.225	0.219	0.217	0.215
												
CA-A30000.0												
												
0.333	0.304	0.308	0.468	0.404	0.338	0.267	0.223	0.203	0.182	0.168	0.157	0.146
0.331	0.3	0.304	0.468	0.4	0.337	0.267	0.225	0.206	0.184	0.17	0.161	0.152
0.328	0.297	0.298	0.466	0.387	0.333	0.269	0.229	0.212	0.193	0.18	0.171	0.162
0.33	0.299	0.297	0.46	0.365	0.325	0.272	0.237	0.224	0.207	0.195	0.187	0.179
0.321	0.292	0.289	0.446	0.337	0.314	0.276	0.248	0.238	0.225	0.215	0.209	0.203
0.299	0.269	0.264	0.415	0.301	0.302	0.279	0.259	0.257	0.246	0.24	0.235	0.23
												
												
CA-A40000.0												
												
0.453	0.407	0.405	0.526	0.469	0.398	0.317	0.267	0.245	0.22	0.203	0.192	0.181
0.449	0.403	0.401	0.526	0.464	0.396	0.317	0.268	0.247	0.223	0.206	0.195	0.184
0.447	0.399	0.395	0.523	0.45	0.39	0.319	0.273	0.254	0.231	0.215	0.204	0.193
0.448	0.401	0.393	0.517	0.428	0.382	0.321	0.28	0.264	0.244	0.229	0.22	0.211
0.438	0.391	0.384	0.502	0.398	0.369	0.323	0.289	0.278	0.261	0.248	0.241	0.234
0.414	0.368	0.357	0.47	0.36	0.355	0.325	0.3	0.295	0.281	0.272	0.267	0.262
												
												
CA-A50000.0												
												
0.627	0.552	0.541	0.606	0.559	0.479	0.388	0.331	0.307	0.279	0.259	0.245	0.231
0.623	0.548	0.537	0.606	0.554	0.478	0.388	0.332	0.309	0.281	0.261	0.249	0.237
0.619	0.543	0.529	0.603	0.539	0.471	0.389	0.335	0.315	0.288	0.27	0.257	0.244
0.619	0.544	0.526	0.596	0.515	0.462	0.389	0.341	0.324	0.3	0.284	0.273	0.262
0.607	0.533	0.515	0.581	0.483	0.447	0.39	0.349	0.336	0.316	0.302	0.292	0.282
0.581	0.507	0.488	0.547	0.443	0.431	0.391	0.359	0.352	0.335	0.324	0.318	0.312
												
												
CA-A60000.0												
												
0.872	0.753	0.725	0.714	0.68	0.591	0.486	0.421	0.397	0.366	0.344	0.33	0.316
0.868	0.75	0.72	0.714	0.674	0.588	0.486	0.422	0.398	0.368	0.346	0.333	0.32
0.863	0.744	0.712	0.711	0.659	0.581	0.485	0.425	0.403	0.374	0.354	0.342	0.33
0.862	0.743	0.708	0.702	0.633	0.57	0.485	0.429	0.412	0.385	0.367	0.355	0.343
0.847	0.73	0.696	0.686	0.598	0.553	0.483	0.435	0.422	0.399	0.383	0.373	0.363
0.818	0.702	0.665	0.652	0.554	0.533	0.481	0.442	0.435	0.416	0.402	0.395	0.388
												
												
CA-A70000.0												
												
1.279	1.079	1.019	0.885	0.871	0.767	0.644	0.57	0.551	0.518	0.497	0.486	0.475
1.274	1.074	1.014	0.884	0.866	0.764	0.644	0.571	0.552	0.519	0.499	0.488	0.477
1.267	1.068	1.005	0.879	0.848	0.755	0.642	0.572	0.556	0.525	0.505	0.496	0.487
1.264	1.065	0.998	0.871	0.82	0.741	0.638	0.575	0.561	0.533	0.516	0.508	0.5
1.245	1.048	0.982	0.852	0.78	0.721	0.634	0.577	0.568	0.544	0.529	0.523	0.517
1.211	1.017	0.949	0.816	0.732	0.696	0.628	0.58	0.578	0.558	0.545	0.542	0.539
												
												
CA-A77000.0												
												
												
1.835	1.514	1.403	1.107	1.12	0.996	0.856	0.776	0.768	0.74	0.727	0.726	0.725
1.831	1.509	1.397	1.105	1.113	0.994	0.855	0.776	0.768	0.741	0.728	0.728	0.728
1.821	1.501	1.386	1.1	1.093	0.982	0.852	0.776	0.77	0.744	0.732	0.734	0.736
1.815	1.494	1.378	1.089	1.061	0.964	0.845	0.775	0.773	0.749	0.74	0.742	0.744
1.791	1.474	1.359	1.069	1.017	0.939	0.836	0.774	0.776	0.757	0.749	0.754	0.759
1.752	1.438	1.32	1.031	0.961	0.909	0.825	0.772	0.781	0.765	0.761	0.768	0.775
