Mach,alpha_deg,Cmq,Cnq,Clp
3.00000,-20.00000,-0.13800,0.09400,-0.01600
3.00000,-16.00000,-0.14100,0.09600,-0.01600
3.00000,-12.00000,-0.14300,0.09700,-0.01600
3.00000,-8.00000,-0.14600,0.09900,-0.01700
3.00000,-4.00000,-0.14700,0.10000,-0.01600
3.00000,0.00000,-0.14700,0.09900,-0.01600
3.00000,4.00000,-0.14700,0.10000,-0.01600
3.00000,8.00000,-0.14600,0.09900,-0.01700
3.00000,12.00000,-0.14300,0.09700,-0.01600
3.00000,16.00000,-0.14100,0.09600,-0.01600
3.00000,20.00000,-0.13800,0.09400,-0.01600
4.00000,-20.00000,-0.12500,0.08500,-0.01300
4.00000,-16.00000,-0.12700,0.08600,-0.01400
4.00000,-12.00000,-0.12900,0.08800,-0.01300
4.00000,-8.00000,-0.12800,0.08700,-0.01300
4.00000,-4.00000,-0.12500,0.08500,-0.01200
4.00000,0.00000,-0.12400,0.08500,-0.01200
4.00000,4.00000,-0.12500,0.08500,-0.01200
4.00000,8.00000,-0.12800,0.08700,-0.01300
4.00000,12.00000,-0.12900,0.08800,-0.01300
4.00000,16.00000,-0.12700,0.08600,-0.01400
4.00000,20.00000,-0.12500,0.08500,-0.01300
5.00000,-20.00000,-0.12300,0.08400,-0.01300
5.00000,-16.00000,-0.12500,0.08500,-0.01200
5.00000,-12.00000,-0.12400,0.08400,-0.01200
5.00000,-8.00000,-0.12200,0.08300,-0.01100
5.00000,-4.00000,-0.11700,0.08000,-0.01000
5.00000,0.00000,-0.11500,0.07900,-0.00900
5.00000,4.00000,-0.11700,0.08000,-0.01000
5.00000,8.00000,-0.12200,0.08300,-0.01100
5.00000,12.00000,-0.12400,0.08400,-0.01200
5.00000,16.00000,-0.12500,0.08500,-0.01200
5.00000,20.00000,-0.12300,0.08400,-0.01300
6.00000,-20.00000,-0.12700,0.08700,-0.01300
6.00000,-16.00000,-0.12700,0.08700,-0.01200
6.00000,-12.00000,-0.12400,0.08500,-0.01100
6.00000,-8.00000,-0.12200,0.08300,-0.01000
6.00000,-4.00000,-0.11500,0.07900,-0.00800
6.00000,0.00000,-0.11100,0.07700,-0.00700
6.00000,4.00000,-0.11500,0.07900,-0.00800
6.00000,8.00000,-0.12200,0.08300,-0.01000
6.00000,12.00000,-0.12400,0.08500,-0.01100
6.00000,16.00000,-0.12700,0.08700,-0.01200
6.00000,20.00000,-0.12700,0.08700,-0.01300
7.00000,-20.00000,-0.13300,0.09100,-0.01300
7.00000,-16.00000,-0.13100,0.08900,-0.01100
7.00000,-12.00000,-0.12800,0.08800,-0.01000
7.00000,-8.00000,-0.12500,0.08600,-0.00900
7.00000,-4.00000,-0.11800,0.08100,-0.00700
7.00000,0.00000,-0.11200,0.07800,-0.00600
7.00000,4.00000,-0.11800,0.08100,-0.00700
7.00000,8.00000,-0.12500,0.08600,-0.00900
7.00000,12.00000,-0.12800,0.08800,-0.01000
7.00000,16.00000,-0.13100,0.08900,-0.01100
7.00000,20.00000,-0.13300,0.09100,-0.01300
8.00000,-20.00000,-0.13700,0.09300,-0.01200
8.00000,-16.00000,-0.13400,0.09200,-0.01100
8.00000,-12.00000,-0.13100,0.08900,-0.01000
8.00000,-8.00000,-0.12700,0.08700,-0.00800
8.00000,-4.00000,-0.11900,0.08200,-0.00600
8.00000,0.00000,-0.11300,0.07800,-0.00600
8.00000,4.00000,-0.11900,0.08200,-0.00600
8.00000,8.00000,-0.12700,0.08700,-0.00800
8.00000,12.00000,-0.13100,0.08900,-0.01000
8.00000,16.00000,-0.13400,0.09200,-0.01100
8.00000,20.00000,-0.13700,0.09300,-0.01200
