Mach,alpha_deg,Cd,Cn,Cm
0.3,-20.0,0.2645,-2.973,7.675
0.3,-16.0,0.28925,-2.426,5.651
0.3,-12.0,0.30175,-1.841,3.748
0.3,-8.0,0.30725,-1.213,1.978
0.3,-4.0,0.3095,-0.54,0.824
0.3,0.0,0.31025,0.0,0.0
0.3,4.0,0.3095,0.54,-0.824
0.3,8.0,0.30725,1.213,-1.978
0.3,12.0,0.30175,1.841,-3.748
0.3,16.0,0.28925,2.426,-5.651
0.3,20.0,0.2645,2.973,-7.675
0.5,-20.0,0.2625,-3.11,8.476
0.5,-16.0,0.288,-2.484,6.102
0.5,-12.0,0.3005,-1.852,3.882
0.5,-8.0,0.30625,-1.188,2.034
0.5,-4.0,0.3085,-0.546,0.85
0.5,0.0,0.30925,0.0,0.0
0.5,4.0,0.3085,0.546,-0.85
0.5,8.0,0.30625,1.188,-2.034
0.5,12.0,0.3005,1.852,-3.882
0.5,16.0,0.288,2.484,-6.102
0.5,20.0,0.2625,3.11,-8.476
0.8,-20.0,0.3025,-3.438,8.173
0.8,-16.0,0.33075,-2.733,5.977
0.8,-12.0,0.34375,-2.06,3.974
0.8,-8.0,0.34975,-1.322,2.195
0.8,-4.0,0.352,-0.582,0.942
0.8,0.0,0.3525,0.0,0.0
0.8,4.0,0.352,0.582,-0.942
0.8,8.0,0.34975,1.322,-2.195
0.8,12.0,0.34375,2.06,-3.974
0.8,16.0,0.33075,2.733,-5.977
0.8,20.0,0.3025,3.438,-8.173
1.2,-20.0,0.5935,-3.605,8.48
1.2,-16.0,0.63325,-2.907,6.219
1.2,-12.0,0.65075,-2.208,4.133
1.2,-8.0,0.658,-1.434,2.375
1.2,-4.0,0.66075,-0.638,0.993
1.2,0.0,0.66125,0.0,0.0
1.2,4.0,0.66075,0.638,-0.993
1.2,8.0,0.658,1.434,-2.375
1.2,12.0,0.65075,2.208,-4.133
1.2,16.0,0.63325,2.907,-6.219
1.2,20.0,0.5935,3.605,-8.48
1.5,-20.0,0.5715336538461538,-3.312,7.722
1.5,-16.0,0.5715336538461538,-2.699,5.651
1.5,-12.0,0.5715336538461538,-2.006,3.925
1.5,-8.0,0.5715336538461538,-1.325,2.335
1.5,-4.0,0.5715336538461538,-0.587,0.999
1.5,0.0,0.5715336538461538,0.0,0.0
1.5,4.0,0.5715336538461538,0.587,-0.999
1.5,8.0,0.5715336538461538,1.325,-2.335
1.5,12.0,0.5715336538461538,2.006,-3.925
1.5,16.0,0.5715336538461538,2.699,-5.651
1.5,20.0,0.5715336538461538,3.312,-7.722
2.0,-20.0,0.42075,-3.137,4.937
2.0,-16.0,0.4365,-2.566,3.864
2.0,-12.0,0.449,-1.868,2.819
2.0,-8.0,0.45825,-1.183,1.739
2.0,-4.0,0.46375,-0.53,0.778
2.0,0.0,0.46575,0.0,0.0
2.0,4.0,0.46375,0.53,-0.778
2.0,8.0,0.45825,1.183,-1.739
2.0,12.0,0.449,1.868,-2.819
2.0,16.0,0.4365,2.566,-3.864
2.0,20.0,0.42075,3.137,-4.937
3.0,-20.0,0.3901249999999999,-3.171,4.484
3.0,-16.0,0.3901249999999999,-2.588,3.339
3.0,-12.0,0.3901249999999999,-1.892,2.225
3.0,-8.0,0.3901249999999999,-1.133,1.24
3.0,-4.0,0.3901249999999999,-0.461,0.521
3.0,0.0,0.3901249999999999,0.0,0.0
3.0,4.0,0.3901249999999999,0.461,-0.521
3.0,8.0,0.3901249999999999,1.133,-1.24
3.0,12.0,0.3901249999999999,1.892,-2.225
3.0,16.0,0.3901249999999999,2.588,-3.339
3.0,20.0,0.3901249999999999,3.171,-4.484
4.0,-20.0,0.34975,-3.016,4.129
4.0,-16.0,0.3395,-2.501,3.139
4.0,-12.0,0.331,-1.835,2.081
4.0,-8.0,0.32475,-1.103,1.157
4.0,-4.0,0.32075,-0.432,0.43
4.0,0.0,0.3195,0.0,0.0
4.0,4.0,0.32075,0.432,-0.43
4.0,8.0,0.32475,1.103,-1.157
4.0,12.0,0.331,1.835,-2.081
4.0,16.0,0.3395,2.501,-3.139
4.0,20.0,0.34975,3.016,-4.129
5.0,-20.0,0.3073076923076923,-2.825,3.778
5.0,-16.0,0.3073076923076923,-2.283,2.748
5.0,-12.0,0.3073076923076923,-1.698,1.772
5.0,-8.0,0.3073076923076923,-1.024,0.945
5.0,-4.0,0.3073076923076923,-0.404,0.346
5.0,0.0,0.3073076923076923,0.0,0.0
5.0,4.0,0.3073076923076923,0.404,-0.346
5.0,8.0,0.3073076923076923,1.024,-0.945
5.0,12.0,0.3073076923076923,1.698,-1.772
5.0,16.0,0.3073076923076923,2.283,-2.748
5.0,20.0,0.3073076923076923,2.825,-3.778
6.0,-20.0,0.31925,-2.615,3.166
6.0,-16.0,0.301,-2.125,2.262
6.0,-12.0,0.28625,-1.579,1.483
6.0,-8.0,0.27525,-0.932,0.769
6.0,-4.0,0.26825,-0.38,0.28
6.0,0.0,0.266,0.0,0.0
6.0,4.0,0.26825,0.38,-0.28
6.0,8.0,0.27525,0.932,-0.769
6.0,12.0,0.28625,1.579,-1.483
6.0,16.0,0.301,2.125,-2.262
6.0,20.0,0.31925,2.615,-3.166
7.0,-20.0,0.2734134615384615,-2.522,2.786
7.0,-16.0,0.2734134615384615,-2.042,2.012
7.0,-12.0,0.2734134615384615,-1.493,1.261
7.0,-8.0,0.2734134615384615,-0.841,0.619
7.0,-4.0,0.2734134615384615,-0.359,0.233
7.0,0.0,0.2734134615384615,0.0,0.0
7.0,4.0,0.2734134615384615,0.359,-0.233
7.0,8.0,0.2734134615384615,0.841,-0.619
7.0,12.0,0.2734134615384615,1.493,-1.261
7.0,16.0,0.2734134615384615,2.042,-2.012
7.0,20.0,0.2734134615384615,2.522,-2.786
8.0,-20.0,0.30425,-2.391,2.588
8.0,-16.0,0.28225,-1.931,1.84
8.0,-12.0,0.26425,-1.431,1.151
8.0,-8.0,0.25075,-0.827,0.529
8.0,-4.0,0.24275,-0.338,0.197
8.0,0.0,0.23975,0.0,0.0
8.0,4.0,0.24275,0.338,-0.197
8.0,8.0,0.25075,0.827,-0.529
8.0,12.0,0.26425,1.431,-1.151
8.0,16.0,0.28225,1.931,-1.84
8.0,20.0,0.30425,2.391,-2.588
9.0,-20.0,0.30025,-2.26,2.39
9.0,-16.0,0.277,-1.82,1.668
9.0,-12.0,0.258,-1.369,1.041
9.0,-8.0,0.244,-0.813,0.439
9.0,-4.0,0.23525,-0.317,0.161
9.0,0.0,0.23225,0.0,0.0
9.0,4.0,0.23525,0.317,-0.161
9.0,8.0,0.244,0.813,-0.439
9.0,12.0,0.258,1.369,-1.041
9.0,16.0,0.277,1.82,-1.668
9.0,20.0,0.30025,2.26,-2.39
