Mach,alpha_deg,Reynolds,CA
0.3,0.0,100000.0,0.3615
0.3,0.0,500000.0,0.27725
0.3,0.0,1000000.0,0.251
0.3,0.0,3000000.0,0.21725
0.3,0.0,7000000.0,0.2115
0.3,0.0,10000000.0,0.2115
0.3,2.0,100000.0,0.362
0.3,2.0,500000.0,0.278
0.3,2.0,1000000.0,0.2515
0.3,2.0,3000000.0,0.218
0.3,2.0,7000000.0,0.21225
0.3,2.0,10000000.0,0.21225
0.3,4.0,100000.0,0.36225
0.3,4.0,500000.0,0.27825
0.3,4.0,1000000.0,0.252
0.3,4.0,3000000.0,0.21825
0.3,4.0,7000000.0,0.2125
0.3,4.0,10000000.0,0.2125
0.3,8.0,100000.0,0.361
0.3,8.0,500000.0,0.2775
0.3,8.0,1000000.0,0.25125
0.3,8.0,3000000.0,0.218
0.3,8.0,7000000.0,0.21225
0.3,8.0,10000000.0,0.21225
0.3,12.0,100000.0,0.35625
0.3,12.0,500000.0,0.2735
0.3,12.0,1000000.0,0.2475
0.3,12.0,3000000.0,0.2145
0.3,12.0,7000000.0,0.20875
0.3,12.0,10000000.0,0.20875
0.3,16.0,100000.0,0.34425
0.3,16.0,500000.0,0.2625
0.3,16.0,1000000.0,0.23675
0.3,16.0,3000000.0,0.204
0.3,16.0,7000000.0,0.1985
0.3,16.0,10000000.0,0.1985
0.3,20.0,100000.0,0.31975
0.3,20.0,500000.0,0.239
0.3,20.0,1000000.0,0.21375
0.3,20.0,3000000.0,0.1815
0.3,20.0,7000000.0,0.176
0.3,20.0,10000000.0,0.176
0.5,0.0,100000.0,0.3605
0.5,0.0,500000.0,0.2765
0.5,0.0,1000000.0,0.25
0.5,0.0,3000000.0,0.2165
0.5,0.0,7000000.0,0.209
0.5,0.0,10000000.0,0.209
0.5,2.0,100000.0,0.361
0.5,2.0,500000.0,0.277
0.5,2.0,1000000.0,0.2505
0.5,2.0,3000000.0,0.217
0.5,2.0,7000000.0,0.20975
0.5,2.0,10000000.0,0.20975
0.5,4.0,100000.0,0.36125
0.5,4.0,500000.0,0.27725
0.5,4.0,1000000.0,0.251
0.5,4.0,3000000.0,0.21725
0.5,4.0,7000000.0,0.21
0.5,4.0,10000000.0,0.21
0.5,8.0,100000.0,0.36
0.5,8.0,500000.0,0.2765
0.5,8.0,1000000.0,0.25025
0.5,8.0,3000000.0,0.217
0.5,8.0,7000000.0,0.20975
0.5,8.0,10000000.0,0.20975
0.5,12.0,100000.0,0.355
0.5,12.0,500000.0,0.27225
0.5,12.0,1000000.0,0.24625
0.5,12.0,3000000.0,0.21325
