Mach,alpha_deg,Reynolds,CA
0.3,0.0,100000.0,0.31025
0.3,0.0,500000.0,0.22625
0.3,0.0,1000000.0,0.19975
0.3,0.0,3000000.0,0.166
0.3,0.0,7000000.0,0.16025
0.3,0.0,10000000.0,0.16025
0.3,2.0,100000.0,0.31
0.3,2.0,500000.0,0.226
0.3,2.0,1000000.0,0.19975
0.3,2.0,3000000.0,0.166
0.3,2.0,7000000.0,0.16025
0.3,2.0,10000000.0,0.16025
0.3,4.0,100000.0,0.3095
0.3,4.0,500000.0,0.22575
0.3,4.0,1000000.0,0.19925
0.3,4.0,3000000.0,0.16575
0.3,4.0,7000000.0,0.16
0.3,4.0,10000000.0,0.16
0.3,8.0,100000.0,0.30725
0.3,8.0,500000.0,0.22375
0.3,8.0,1000000.0,0.19775
0.3,8.0,3000000.0,0.16425
0.3,8.0,7000000.0,0.1585
0.3,8.0,10000000.0,0.1585
0.3,12.0,100000.0,0.30175
0.3,12.0,500000.0,0.219
0.3,12.0,1000000.0,0.193
0.3,12.0,3000000.0,0.15975
0.3,12.0,7000000.0,0.15425
0.3,12.0,10000000.0,0.15425
0.3,16.0,100000.0,0.28925
0.3,16.0,500000.0,0.2075
0.3,16.0,1000000.0,0.18175
0.3,16.0,3000000.0,0.149
0.3,16.0,7000000.0,0.1435
0.3,16.0,10000000.0,0.1435
0.3,20.0,100000.0,0.2645
0.3,20.0,500000.0,0.18375
0.3,20.0,1000000.0,0.1585
0.3,20.0,3000000.0,0.12625
0.3,20.0,7000000.0,0.12075
0.3,20.0,10000000.0,0.12075
0.5,0.0,100000.0,0.30925
0.5,0.0,500000.0,0.225
0.5,0.0,1000000.0,0.19875
0.5,0.0,3000000.0,0.16525
0.5,0.0,7000000.0,0.15775
0.5,0.0,10000000.0,0.15775
0.5,2.0,100000.0,0.309
0.5,2.0,500000.0,0.225
0.5,2.0,1000000.0,0.19875
0.5,2.0,3000000.0,0.165
0.5,2.0,7000000.0,0.15775
0.5,2.0,10000000.0,0.15775
0.5,4.0,100000.0,0.3085
0.5,4.0,500000.0,0.22475
0.5,4.0,1000000.0,0.19825
0.5,4.0,3000000.0,0.16475
0.5,4.0,7000000.0,0.1575
0.5,4.0,10000000.0,0.1575
0.5,8.0,100000.0,0.30625
0.5,8.0,500000.0,0.22275
0.5,8.0,1000000.0,0.1965
0.5,8.0,3000000.0,0.16325
0.5,8.0,7000000.0,0.156
0.5,8.0,10000000.0,0.156
0.5,12.0,100000.0,0.3005
0.5,12.0,500000.0,0.21775
0.5,12.0,1000000.0,0.192
0.5,12.0,3000000.0,0.15875
0.5,12.0,7000000.0,0.15175
0.5,12.0,10000000.0,0.15175
