Mach,alpha_deg,Cmq,Cnq,Clp
0.30000,-20,-11.91000,-1.84500,-0.11600
0.30000,-16,-12.36400,-1.86900,-0.10500
0.30000,-12,-12.65400,-1.88900,-0.09100
0.30000,-8,-12.47400,-1.86400,-0.09100
0.30000,-4,-11.85300,-1.78000,-0.09200
0.30000,-2,-11.45900,-1.71950,-0.08150
0.30000,0,-11.06500,1.65900,-0.07100
0.30000,2,-11.45900,1.71950,-0.08150
0.30000,4,-11.85300,1.78000,-0.09200
0.30000,8,-12.47400,1.86400,-0.09100
0.30000,12,-12.65400,1.88900,-0.09100
0.30000,16,-12.36400,1.86900,-0.10500
0.30000,20,-11.91000,1.84500,-0.11600
0.50000,-20,-11.97900,-1.86000,-0.12100
0.50000,-16,-12.47600,-1.88000,-0.10900
0.50000,-12,-12.81900,-1.89600,-0.09300
0.50000,-8,-12.66000,-1.87100,-0.09100
0.50000,-4,-12.06800,-1.78800,-0.09300
0.50000,-2,-11.68650,-1.72900,-0.08300
0.50000,0,-11.30500,1.67000,-0.07300
0.50000,2,-11.68650,1.72900,-0.08300
0.50000,4,-12.06800,1.78800,-0.09300
0.50000,8,-12.66000,1.87100,-0.09100
0.50000,12,-12.81900,1.89600,-0.09300
0.50000,16,-12.47600,1.88000,-0.10900
0.50000,20,-11.97900,1.86000,-0.12100
0.80000,-20,-11.02500,-1.52400,-0.08900
0.80000,-16,-11.55300,-1.56400,-0.08200
0.80000,-12,-11.88800,-1.62000,-0.07900
0.80000,-8,-11.84500,-1.62300,-0.08700
0.80000,-4,-11.39700,-1.57800,-0.09600
0.80000,-2,-11.23850,-1.55250,-0.08650
0.80000,0,-11.08000,1.52700,-0.07700
0.80000,2,-11.23850,1.55250,-0.08650
0.80000,4,-11.39700,1.57800,-0.09600
0.80000,8,-11.84500,1.62300,-0.08700
0.80000,12,-11.88800,1.62000,-0.07900
0.80000,16,-11.55300,1.56400,-0.08200
0.80000,20,-11.02500,1.52400,-0.08900
1.20000,-20,-9.80800,-1.25500,-0.08000
1.20000,-16,-10.28900,-1.31100,-0.07800
1.20000,-12,-10.79500,-1.37900,-0.07600
1.20000,-8,-11.08600,-1.41600,-0.08400
1.20000,-4,-11.02500,-1.40400,-0.09600
1.20000,-2,-11.11600,-1.41650,-0.08750
1.20000,0,-11.20700,1.42900,-0.07900
1.20000,2,-11.11600,1.41650,-0.08750
1.20000,4,-11.02500,1.40400,-0.09600
1.20000,8,-11.08600,1.41600,-0.08400
1.20000,12,-10.79500,1.37900,-0.07600
1.20000,16,-10.28900,1.31100,-0.07800
1.20000,20,-9.80800,1.25500,-0.08000
1.50000,-20,-8.48300,-1.22700,-0.08100
1.50000,-16,-8.91300,-1.28500,-0.08200
1.50000,-12,-9.43500,-1.35500,-0.08100
1.50000,-8,-9.87500,-1.41200,-0.08400
1.50000,-4,-10.10300,-1.43800,-0.09000
1.50000,-2,-10.25600,-1.46000,-0.08350
1.50000,0,-10.40900,1.48200,-0.07700
1.50000,2,-10.25600,1.46000,-0.08350
1.50000,4,-10.10300,1.43800,-0.09000
1.50000,8,-9.87500,1.41200,-0.08400
1.50000,12,-9.43500,1.35500,-0.08100
1.50000,16,-8.91300,1.28500,-0.08200
1.50000,20,-8.48300,1.22700,-0.08100
2.00000,-20,-8.07200,-1.18200,-0.07300
2.00000,-16,-8.46400,-1.23500,-0.07200
