Mach,delta_deg,CNd,CMd
0.3,-20.0,-0.316,-3.02
0.3,-16.0,-0.251,-2.416
0.3,-12.0,-0.193,-1.772
0.3,-8.0,-0.129,-1.145
0.3,-4.0,-0.07,-0.607
0.3,0.0,0.0,0.0
0.3,4.0,0.07,0.607
0.3,8.0,0.129,1.145
0.3,12.0,0.193,1.772
0.3,16.0,0.251,2.416
0.3,20.0,0.316,3.02
0.5,-20.0,-0.29,-3.062
0.5,-16.0,-0.233,-2.408
0.5,-12.0,-0.178,-1.762
0.5,-8.0,-0.122,-1.176
0.5,-4.0,-0.065,-0.615
0.5,0.0,0.0,0.0
0.5,4.0,0.065,0.615
0.5,8.0,0.122,1.176
0.5,12.0,0.178,1.762
0.5,16.0,0.233,2.408
0.5,20.0,0.29,3.062
0.8,-20.0,-0.307,-3.607
0.8,-16.0,-0.245,-2.822
0.8,-12.0,-0.183,-2.042
0.8,-8.0,-0.113,-1.333
0.8,-4.0,-0.053,-0.627
0.8,0.0,0.0,0.0
0.8,4.0,0.053,0.627
0.8,8.0,0.113,1.333
0.8,12.0,0.183,2.042
0.8,16.0,0.245,2.822
0.8,20.0,0.307,3.607
1.2,-20.0,-0.378,-4.27
1.2,-16.0,-0.304,-3.416
1.2,-12.0,-0.224,-2.562
1.2,-8.0,-0.146,-1.708
1.2,-4.0,-0.068,-0.857
1.2,0.0,0.0,0.0
1.2,4.0,0.068,0.857
1.2,8.0,0.146,1.708
1.2,12.0,0.224,2.562
1.2,16.0,0.304,3.416
1.2,20.0,0.378,4.27
1.5,-20.0,-0.313,-3.206
1.5,-16.0,-0.251,-2.565
1.5,-12.0,-0.182,-1.854
1.5,-8.0,-0.126,-1.282
1.5,-4.0,-0.062,-0.645
1.5,0.0,0.0,0.0
1.5,4.0,0.062,0.645
1.5,8.0,0.126,1.282
1.5,12.0,0.182,1.854
1.5,16.0,0.251,2.565
1.5,20.0,0.313,3.206
2.0,-20.0,-0.306,-2.176
2.0,-16.0,-0.244,-1.741
2.0,-12.0,-0.179,-1.295
2.0,-8.0,-0.123,-0.871
2.0,-4.0,-0.061,-0.439
2.0,0.0,0.0,0.0
2.0,4.0,0.061,0.439
2.0,8.0,0.123,0.871
2.0,12.0,0.179,1.295
2.0,16.0,0.244,1.741
2.0,20.0,0.306,2.176
3.0,-20.0,-0.261,-1.092
3.0,-16.0,-0.209,-0.871
3.0,-12.0,-0.159,-0.655
3.0,-8.0,-0.104,-0.428
3.0,-4.0,-0.052,-0.217
3.0,0.0,0.0,0.0
3.0,4.0,0.052,0.217
3.0,8.0,0.104,0.428
3.0,12.0,0.159,0.655
3.0,16.0,0.209,0.871
3.0,20.0,0.261,1.092
4.0,-20.0,-0.235,-0.595
4.0,-16.0,-0.188,-0.475
4.0,-12.0,-0.146,-0.366
4.0,-8.0,-0.094,-0.238
4.0,-4.0,-0.047,-0.121
4.0,0.0,0.0,0.0
4.0,4.0,0.047,0.121
4.0,8.0,0.094,0.238
4.0,12.0,0.146,0.366
4.0,16.0,0.188,0.475
4.0,20.0,0.235,0.595
5.0,-20.0,-0.226,-0.424
5.0,-16.0,-0.18,-0.338
5.0,-12.0,-0.134,-0.249
5.0,-8.0,-0.086,-0.161
5.0,-4.0,-0.042,-0.083
5.0,0.0,0.0,0.0
5.0,4.0,0.042,0.083
5.0,8.0,0.086,0.161
5.0,12.0,0.134,0.249
5.0,16.0,0.18,0.338
5.0,20.0,0.226,0.424
6.0,-20.0,-0.224,-0.322
6.0,-16.0,-0.176,-0.257
6.0,-12.0,-0.129,-0.196
6.0,-8.0,-0.085,-0.126
6.0,-4.0,-0.039,-0.06
6.0,0.0,0.0,0.0
6.0,4.0,0.039,0.06
6.0,8.0,0.085,0.126
6.0,12.0,0.129,0.196
6.0,16.0,0.176,0.257
6.0,20.0,0.224,0.322
7.0,-20.0,-0.216,-0.273
7.0,-16.0,-0.168,-0.216
7.0,-12.0,-0.125,-0.16
7.0,-8.0,-0.078,-0.101
7.0,-4.0,-0.037,-0.046
7.0,0.0,0.0,0.0
7.0,4.0,0.037,0.046
7.0,8.0,0.078,0.101
7.0,12.0,0.125,0.16
7.0,16.0,0.168,0.216
7.0,20.0,0.216,0.273
8.0,-20.0,-0.218,-0.246
8.0,-16.0,-0.171,-0.19
8.0,-12.0,-0.125,-0.137
8.0,-8.0,-0.081,-0.084
8.0,-4.0,-0.036,-0.04
8.0,0.0,0.0,0.0
8.0,4.0,0.036,0.04
8.0,8.0,0.081,0.084
8.0,12.0,0.125,0.137
8.0,16.0,0.171,0.19
8.0,20.0,0.218,0.246
9.0,-20.0,-0.22,-0.219
9.0,-16.0,-0.174,-0.164
9.0,-12.0,-0.125,-0.114
9.0,-8.0,-0.084,-0.067
9.0,-4.0,-0.035,-0.034
9.0,0.0,0.0,0.0
9.0,4.0,0.035,0.034
9.0,8.0,0.084,0.067
9.0,12.0,0.125,0.114
9.0,16.0,0.174,0.164
9.0,20.0,0.22,0.219
