Mach,alpha_deg,def_roll,Cll
0.3,0.0,0,0.00000
0.3,0.0,5,-0.08600
0.3,0.0,10,-0.17100
0.3,0.0,15,-0.16230
0.3,0.0,20,-0.16230
0.3,2.0,0,0.00000
0.3,2.0,5,-0.08400
0.3,2.0,10,-0.16700
0.3,2.0,15,-0.13300
0.3,2.0,20,-0.13300
0.3,4.0,0,0.00000
0.3,4.0,5,-0.08200
0.3,4.0,10,-0.16400
0.3,4.0,15,-0.12000
0.3,4.0,20,-0.12000
0.3,6.0,0,0.00000
0.3,6.0,5,-0.06700
0.3,6.0,10,-0.13400
0.3,6.0,15,-0.11400
0.3,6.0,20,-0.11400
0.3,8.0,0,0.00000
0.3,8.0,5,-0.02800
0.3,8.0,10,-0.05600
0.3,8.0,15,-0.10400
0.3,8.0,20,-0.10400
0.3,10.0,0,0.00000
0.3,10.0,5,-0.01980
0.3,10.0,10,-0.03600
0.3,10.0,15,-0.09000
0.3,10.0,20,-0.09000
0.3,12.0,0,0.00000
0.3,12.0,5,-0.00200
0.3,12.0,10,-0.03400
0.3,12.0,15,-0.09900
0.3,12.0,20,-0.09900
0.3,14.0,0,0.00000
0.3,14.0,5,0.00940
0.3,14.0,10,0.00270
0.3,14.0,15,-0.07580
0.3,14.0,20,-0.07580
0.3,16.0,0,0.00000
0.3,16.0,5,0.02490
0.3,16.0,10,0.03060
0.3,16.0,15,-0.06530
0.3,16.0,20,-0.06530
0.3,18.0,0,0.00000
0.3,18.0,5,0.04040
0.3,18.0,10,0.05850
0.3,18.0,15,-0.05490
0.3,18.0,20,-0.05490
0.3,20.0,0,0.00000
0.3,20.0,5,0.05590
0.3,20.0,10,0.08640
0.3,20.0,15,-0.04450
0.3,20.0,20,-0.04450
0.5,0.0,0,0.00000
0.5,0.0,5,-0.09400
0.5,0.0,10,-0.18800
0.5,0.0,15,-0.14130
0.5,0.0,20,-0.14130
0.5,2.0,0,0.00000
0.5,2.0,5,-0.09300
0.5,2.0,10,-0.18700
0.5,2.0,15,-0.11700
0.5,2.0,20,-0.11700
0.5,4.0,0,0.00000
0.5,4.0,5,-0.09000
0.5,4.0,10,-0.18100
0.5,4.0,15,-0.10800
0.5,4.0,20,-0.10800
0.5,6.0,0,0.00000
0.5,6.0,5,-0.07200
0.5,6.0,10,-0.14400
0.5,6.0,15,-0.10300
0.5,6.0,20,-0.10300
0.5,8.0,0,0.00000
0.5,8.0,5,-0.02000
0.5,8.0,10,-0.04000
0.5,8.0,15,-0.09450
0.5,8.0,20,-0.09450
0.5,10.0,0,0.00000
0.5,10.0,5,0.00400
0.5,10.0,10,-0.03160
0.5,10.0,15,-0.08160
0.5,10.0,20,-0.08160
0.5,12.0,0,0.00000
0.5,12.0,5,0.00980
0.5,12.0,10,-0.02720
0.5,12.0,15,-0.08470
0.5,12.0,20,-0.08470
0.5,14.0,0,0.00000
