Mach,alpha_deg,Cd,Cn,Cm
3.0000,-20.0000,0.9900,-1.2940,0.3380
3.0000,-16.0000,0.9900,-1.0210,0.2430
3.0000,-12.0000,0.9900,-0.7290,0.1650
3.0000,-8.0000,0.9900,-0.4420,0.1020
3.0000,-4.0000,0.9900,-0.2030,0.0450
3.0000,0.0000,0.9900,0.0000,0.0000
3.0000,4.0000,0.9900,0.2030,-0.0450
3.0000,8.0000,0.9900,0.4420,-0.1020
3.0000,12.0000,0.9900,0.7290,-0.1650
3.0000,16.0000,0.9900,1.0210,-0.2430
3.0000,20.0000,0.9900,1.2940,-0.3380
4.0000,-20.0000,0.8360,-1.2370,0.2920
4.0000,-16.0000,0.7780,-0.9670,0.2140
4.0000,-12.0000,0.7300,-0.6800,0.1430
4.0000,-8.0000,0.6950,-0.4450,0.0860
4.0000,-4.0000,0.6730,-0.1880,0.0360
4.0000,-2.0000,0.6680,-0.3760,0.0470
4.0000,-0.0000,0.6660,0.0000,0.0000
4.0000,2.0000,0.6680,0.3760,-0.0470
4.0000,4.0000,0.6730,0.1880,-0.0360
4.0000,8.0000,0.6950,0.4450,-0.0860
4.0000,12.0000,0.7300,0.6800,-0.1430
4.0000,16.0000,0.7780,0.9670,-0.2140
4.0000,20.0000,0.8360,1.2370,-0.2920
5.0000,-20.0000,0.6540,-1.1000,0.2510
5.0000,-16.0000,0.6540,-0.8740,0.1890
5.0000,-12.0000,0.6540,-0.6370,0.1300
5.0000,-8.0000,0.6540,-0.4000,0.0790
5.0000,-4.0000,0.6540,-0.1770,0.0340
5.0000,0.0000,0.6540,0.0000,0.0000
5.0000,4.0000,0.6540,0.1770,-0.0340
5.0000,8.0000,0.6540,0.4000,-0.0790
5.0000,12.0000,0.6540,0.6370,-0.1300
5.0000,16.0000,0.6540,0.8740,-0.1890
5.0000,20.0000,0.6540,1.1000,-0.2510
6.0000,-20.0000,0.8110,-1.0340,0.2420
6.0000,-16.0000,0.7250,-0.8240,0.1750
6.0000,-12.0000,0.6540,-0.6040,0.1200
6.0000,-8.0000,0.6010,-0.3860,0.0730
6.0000,-4.0000,0.5690,-0.1680,0.0350
6.0000,-2.0000,0.5610,-0.3470,0.0010
6.0000,-0.0000,0.5580,0.0000,0.0000
6.0000,2.0000,0.5610,0.3470,-0.0010
6.0000,4.0000,0.5690,0.1680,-0.0350
6.0000,8.0000,0.6010,0.3860,-0.0730
6.0000,12.0000,0.6540,0.6040,-0.1200
6.0000,16.0000,0.7250,0.8240,-0.1750
6.0000,20.0000,0.8110,1.0340,-0.2420
7.0000,-20.0000,0.6540,-1.0010,0.2180
7.0000,-16.0000,0.6540,-0.7990,0.1620
7.0000,-12.0000,0.6540,-0.5820,0.1110
7.0000,-8.0000,0.6540,-0.3640,0.0710
7.0000,-4.0000,0.6540,-0.1610,0.0350
7.0000,0.0000,0.6540,0.0000,0.0000
7.0000,4.0000,0.6540,0.1610,-0.0350
7.0000,8.0000,0.6540,0.3640,-0.0710
7.0000,12.0000,0.6540,0.5820,-0.1110
7.0000,16.0000,0.6540,0.7990,-0.1620
7.0000,20.0000,0.6540,1.0010,-0.2180
8.0000,-20.0000,0.8020,-0.9360,0.2260
8.0000,-16.0000,0.7020,-0.7560,0.1640
8.0000,-12.0000,0.6200,-0.5610,0.1070
8.0000,-8.0000,0.5600,-0.3490,0.0660
8.0000,-4.0000,0.5220,-0.1500,0.0300
8.0000,-2.0000,0.5130,-0.3340,-0.0210
8.0000,-0.0000,0.5100,0.0000,0.0000
8.0000,2.0000,0.5130,0.3340,0.0210
8.0000,4.0000,0.5220,0.1500,-0.0300
8.0000,8.0000,0.5600,0.3490,-0.0660
8.0000,12.0000,0.6200,0.5610,-0.1070
8.0000,16.0000,0.7020,0.7560,-0.1640
8.0000,20.0000,0.8020,0.9360,-0.2260
9.0000,-20.0000,0.8020,-5.2980,0.2510
9.0000,-16.0000,0.6980,-3.9100,0.0570
9.0000,-12.0000,0.6120,-2.6490,-0.0850
9.0000,-8.0000,0.5490,-1.6170,-0.0860
9.0000,-4.0000,0.5100,-0.7330,-0.0560
9.0000,-2.0000,0.5000,-0.3300,-0.0280
9.0000,-0.0000,0.4970,-0.0000,-0.0000
9.0000,2.0000,0.5000,0.3300,0.0280
9.0000,4.0000,0.5100,0.7330,0.0560
9.0000,8.0000,0.5490,1.6170,0.0860
9.0000,12.0000,0.6120,2.6490,0.0850
9.0000,16.0000,0.6980,3.9100,-0.0570
9.0000,20.0000,0.8020,5.2980,-0.2510
11.0000,-20.0000,0.8080,-5.2010,0.1010
11.0000,-16.0000,0.6970,-3.8300,-0.0650
11.0000,-12.0000,0.6060,-2.6240,-0.1230
11.0000,-8.0000,0.5390,-1.5810,-0.1160
11.0000,-4.0000,0.4980,-0.7200,-0.0750
11.0000,-2.0000,0.4870,-0.3250,-0.0390
11.0000,-0.0000,0.4840,-0.0000,-0.0000
11.0000,2.0000,0.4870,0.3250,0.0390
11.0000,4.0000,0.4980,0.7200,0.0750
11.0000,8.0000,0.5390,1.5810,0.1160
11.0000,12.0000,0.6060,2.6240,0.1230
11.0000,16.0000,0.6970,3.8300,0.0650
11.0000,20.0000,0.8080,5.2010,-0.1010
