Mach,alpha_deg,def_roll,Cll
3.0,0.0,0,0.00000
3.0,0.0,5,-0.05300
3.0,0.0,10,-0.10600
3.0,0.0,15,-0.16100
3.0,4.0,0,0.00000
3.0,4.0,5,-0.05400
3.0,4.0,10,-0.10800
3.0,4.0,15,-0.16200
3.0,8.0,0,0.00000
3.0,8.0,5,-0.05600
3.0,8.0,10,-0.11200
3.0,8.0,15,-0.16000
3.0,12.0,0,0.00000
3.0,12.0,5,-0.05800
3.0,12.0,10,-0.11200
3.0,12.0,15,-0.16000
3.0,16.0,0,0.00000
3.0,16.0,5,-0.05700
3.0,16.0,10,-0.11100
3.0,16.0,15,-0.16100
3.0,20.0,0,0.00000
3.0,20.0,5,-0.05600
3.0,20.0,10,-0.11100
3.0,20.0,15,-0.16100
4.0,0.0,0,0.00000
4.0,0.0,5,-0.03800
4.0,0.0,10,-0.07900
4.0,0.0,15,-0.12200
4.0,4.0,0,0.00000
4.0,4.0,5,-0.04000
4.0,4.0,10,-0.08100
4.0,4.0,15,-0.12200
4.0,8.0,0,0.00000
4.0,8.0,5,-0.04300
4.0,8.0,10,-0.08500
4.0,8.0,15,-0.12500
4.0,12.0,0,0.00000
4.0,12.0,5,-0.04400
4.0,12.0,10,-0.08600
4.0,12.0,15,-0.12700
4.0,16.0,0,0.00000
4.0,16.0,5,-0.04500
4.0,16.0,10,-0.08800
4.0,16.0,15,-0.13100
4.0,20.0,0,0.00000
4.0,20.0,5,-0.04600
4.0,20.0,10,-0.09100
4.0,20.0,15,-0.13600
5.0,0.0,0,0.00000
5.0,0.0,5,-0.03100
5.0,0.0,10,-0.06400
5.0,0.0,15,-0.10400
5.0,4.0,0,0.00000
5.0,4.0,5,-0.03200
5.0,4.0,10,-0.06700
5.0,4.0,15,-0.10600
5.0,8.0,0,0.00000
5.0,8.0,5,-0.03700
5.0,8.0,10,-0.07400
5.0,8.0,15,-0.11100
5.0,12.0,0,0.00000
5.0,12.0,5,-0.04000
5.0,12.0,10,-0.07800
5.0,12.0,15,-0.11400
5.0,16.0,0,0.00000
5.0,16.0,5,-0.04200
5.0,16.0,10,-0.08100
5.0,16.0,15,-0.11900
5.0,20.0,0,0.00000
5.0,20.0,5,-0.04300
5.0,20.0,10,-0.08500
5.0,20.0,15,-0.12600
6.0,0.0,0,0.00000
6.0,0.0,5,-0.02500
6.0,0.0,10,-0.05500
6.0,0.0,15,-0.09200
6.0,4.0,0,0.00000
6.0,4.0,5,-0.02800
6.0,4.0,10,-0.05900
6.0,4.0,15,-0.09600
6.0,8.0,0,0.00000
6.0,8.0,5,-0.03300
6.0,8.0,10,-0.06800
6.0,8.0,15,-0.10200
6.0,12.0,0,0.00000
6.0,12.0,5,-0.03700
6.0,12.0,10,-0.07300
6.0,12.0,15,-0.10700
6.0,16.0,0,0.00000
6.0,16.0,5,-0.04000
6.0,16.0,10,-0.07800
6.0,16.0,15,-0.11300
6.0,20.0,0,0.00000
6.0,20.0,5,-0.04200
6.0,20.0,10,-0.08100
6.0,20.0,15,-0.12100
7.0,0.0,0,0.00000
7.0,0.0,5,-0.02200
7.0,0.0,10,-0.04900
7.0,0.0,15,-0.08400
7.0,4.0,0,0.00000
7.0,4.0,5,-0.02400
7.0,4.0,10,-0.05300
7.0,4.0,15,-0.08900
7.0,8.0,0,0.00000
7.0,8.0,5,-0.03100
7.0,8.0,10,-0.06400
7.0,8.0,15,-0.09700
7.0,12.0,0,0.00000
7.0,12.0,5,-0.03500
7.0,12.0,10,-0.07000
7.0,12.0,15,-0.10200
7.0,16.0,0,0.00000
7.0,16.0,5,-0.03900
7.0,16.0,10,-0.07500
7.0,16.0,15,-0.10900
7.0,20.0,0,0.00000
7.0,20.0,5,-0.04100
7.0,20.0,10,-0.08000
7.0,20.0,15,-0.11900
8.0,0.0,0,0.00000
8.0,0.0,5,-0.01900
8.0,0.0,10,-0.04500
8.0,0.0,15,-0.07900
8.0,4.0,0,0.00000
8.0,4.0,5,-0.02200
8.0,4.0,10,-0.04900
8.0,4.0,15,-0.08400
8.0,8.0,0,0.00000
8.0,8.0,5,-0.02900
8.0,8.0,10,-0.06100
8.0,8.0,15,-0.09100
8.0,12.0,0,0.00000
8.0,12.0,5,-0.03400
8.0,12.0,10,-0.06800
8.0,12.0,15,-0.09600
8.0,16.0,0,0.00000
8.0,16.0,5,-0.03900
8.0,16.0,10,-0.07100
8.0,16.0,15,-0.10600
8.0,20.0,0,0.00000
8.0,20.0,5,-0.03900
8.0,20.0,10,-0.07800
8.0,20.0,15,-0.11600
