Mach,alpha_deg,Cd,Cn,Cm
0.3,-24.0,1.845,-5.409,16.925
0.3,-20.0,1.845,-4.34,12.632
0.3,-16.0,1.269,-3.246,8.802
0.3,-12.0,0.825,-2.242,5.364
0.3,-8.0,0.537,-1.325,2.483
0.3,-4.0,0.424,-0.635,1.093
0.3,-2.0,0.401,-0.3,0.423
0.3,0.0,0.394,0.0,0.0
0.3,2.0,0.401,0.3,-0.423
0.3,4.0,0.424,0.635,-1.093
0.3,8.0,0.537,1.325,-2.483
0.3,12.0,0.825,2.242,-5.364
0.3,16.0,1.269,3.246,-8.802
0.3,20.0,1.845,4.34,-12.632
0.3,24.0,1.845,5.409,-16.925
0.5,-24.0,1.875,-5.502,17.43
0.5,-20.0,1.875,-4.456,13.019
0.5,-16.0,1.284,-3.341,9.066
0.5,-12.0,0.832,-2.295,5.469
0.5,-8.0,0.537,-1.346,2.475
0.5,-4.0,0.423,-0.643,1.083
0.5,-2.0,0.399,-0.303,0.417
0.5,0.0,0.392,0.0,0.0
0.5,2.0,0.399,0.303,-0.417
0.5,4.0,0.423,0.643,-1.083
0.5,8.0,0.537,1.346,-2.475
0.5,12.0,0.832,2.295,-5.469
0.5,16.0,1.284,3.341,-9.066
0.5,20.0,1.875,4.456,-13.019
0.5,24.0,1.875,5.502,-17.43
0.8,-24.0,1.937,-5.814,18.149
0.8,-20.0,1.937,-4.72,14.089
0.8,-16.0,1.312,-3.63,9.777
0.8,-12.0,0.849,-2.478,5.803
0.8,-8.0,0.553,-1.433,2.437
0.8,-4.0,0.438,-0.682,1.088
0.8,-2.0,0.414,-0.319,0.408
0.8,0.0,0.407,0.0,0.0
0.8,2.0,0.414,0.319,-0.408
0.8,4.0,0.438,0.682,-1.088
0.8,8.0,0.553,1.433,-2.437
0.8,12.0,0.849,2.478,-5.803
0.8,16.0,1.312,3.63,-9.777
0.8,20.0,1.937,4.72,-14.089
0.8,24.0,1.937,5.814,-18.149
1.2,-24.0,2.392,-6.11,16.554
1.2,-20.0,2.392,-4.847,13.911
1.2,-16.0,1.65,-3.734,10.612
1.2,-12.0,1.146,-2.592,6.53
1.2,-8.0,0.82,-1.485,2.667
1.2,-4.0,0.668,-0.702,1.205
1.2,-2.0,0.63,-0.332,0.507
1.2,0.0,0.62,0.0,0.0
1.2,2.0,0.63,0.332,-0.507
1.2,4.0,0.668,0.702,-1.205
1.2,8.0,0.82,1.485,-2.667
1.2,12.0,1.146,2.592,-6.53
1.2,16.0,1.65,3.734,-10.612
1.2,20.0,2.392,4.847,-13.911
1.2,24.0,2.392,6.11,-16.554
1.5,-24.0,2.386,-7.049,14.62
1.5,-20.0,2.386,-5.169,10.463
1.5,-16.0,1.62,-3.499,7.559
1.5,-12.0,1.095,-2.241,5.42
1.5,-8.0,0.774,-1.343,3.151
1.5,-4.0,0.62,-0.614,1.312
1.5,-2.0,0.583,-0.294,0.584
1.5,0.0,0.573,0.0,0.0
1.5,2.0,0.583,0.294,-0.584
1.5,4.0,0.62,0.614,-1.312
1.5,8.0,0.774,1.343,-3.151
1.5,12.0,1.095,2.241,-5.42
1.5,16.0,1.62,3.499,-7.559
1.5,20.0,2.386,5.169,-10.463
1.5,24.0,2.386,7.049,-14.62
2.0,-24.0,2.375,-6.662,14.399
2.0,-20.0,2.375,-5.036,10.139
2.0,-16.0,1.571,-3.554,6.562
2.0,-12.0,1.009,-2.241,4.052
2.0,-8.0,0.697,-1.229,2.371
2.0,-4.0,0.541,-0.542,1.049
2.0,-2.0,0.505,-0.267,0.528
2.0,0.0,0.494,0.0,0.0
2.0,2.0,0.505,0.267,-0.528
2.0,4.0,0.541,0.542,-1.049
2.0,8.0,0.697,1.229,-2.371
2.0,12.0,1.009,2.241,-4.052
2.0,16.0,1.571,3.554,-6.562
2.0,20.0,2.375,5.036,-10.139
2.0,24.0,2.375,6.662,-14.399
5.0,-24.0,1.624,-5.835,12.912
5.0,-20.0,1.624,-4.388,9.054
5.0,-16.0,1.049,-3.109,5.696
5.0,-12.0,0.653,-2.042,3.216
5.0,-8.0,0.394,-1.152,1.639
5.0,-4.0,0.253,-0.484,0.665
5.0,-2.0,0.225,-0.232,0.33
5.0,0.0,0.218,0.0,0.0
5.0,2.0,0.225,0.232,-0.33
5.0,4.0,0.253,0.484,-0.665
5.0,8.0,0.394,1.152,-1.639
5.0,12.0,0.653,2.042,-3.216
5.0,16.0,1.049,3.109,-5.696
5.0,20.0,1.624,4.388,-9.054
5.0,24.0,1.624,5.835,-12.912
6.0,-24.0,1.589,-5.494,12.355
6.0,-20.0,1.589,-4.093,8.686
6.0,-16.0,1.007,-2.841,5.274
6.0,-12.0,0.611,-1.814,2.651
6.0,-8.0,0.363,-1.032,1.171
6.0,-4.0,0.228,-0.436,0.406
6.0,-2.0,0.201,-0.206,0.19
6.0,0.0,0.194,0.0,0.0
6.0,2.0,0.201,0.206,-0.19
6.0,4.0,0.228,0.436,-0.406
6.0,8.0,0.363,1.032,-1.171
6.0,12.0,0.611,1.814,-2.651
6.0,16.0,1.007,2.841,-5.274
6.0,20.0,1.589,4.093,-8.686
6.0,24.0,1.589,5.494,-12.355
7.0,-24.0,1.553,-5.324,12.012
7.0,-20.0,1.553,-3.942,8.446
7.0,-16.0,0.966,-2.716,5.173
7.0,-12.0,0.57,-1.691,2.434
7.0,-8.0,0.331,-0.937,0.87
7.0,-4.0,0.203,-0.396,0.244
7.0,-2.0,0.177,-0.186,0.1
7.0,0.0,0.17,0.0,0.0
7.0,2.0,0.177,0.186,-0.1
7.0,4.0,0.203,0.396,-0.244
7.0,8.0,0.331,0.937,-0.87
7.0,12.0,0.57,1.691,-2.434
7.0,16.0,0.966,2.716,-5.173
7.0,20.0,1.553,3.942,-8.446
7.0,24.0,1.553,5.324,-12.012
