Mach,alpha_deg,Reynolds,CA
0.3,0.0,100000.0,0.537
0.3,0.0,500000.0,0.45
0.3,0.0,1000000.0,0.422
0.3,0.0,5000000.0,0.394
0.3,0.0,7000000.0,0.394
0.3,0.0,10000000.0,0.394
0.3,0.0,30000000.0,0.394
0.3,2.0,100000.0,0.536
0.3,2.0,500000.0,0.449
0.3,2.0,1000000.0,0.421
0.3,2.0,5000000.0,0.391
0.3,2.0,7000000.0,0.391
0.3,2.0,10000000.0,0.391
0.3,2.0,30000000.0,0.391
0.3,4.0,100000.0,0.535
0.3,4.0,500000.0,0.447
0.3,4.0,1000000.0,0.416
0.3,4.0,5000000.0,0.381
0.3,4.0,7000000.0,0.38
0.3,4.0,10000000.0,0.38
0.3,4.0,30000000.0,0.379
0.3,8.0,100000.0,0.541
0.3,8.0,500000.0,0.449
0.3,8.0,1000000.0,0.413
0.3,8.0,5000000.0,0.356
0.3,8.0,7000000.0,0.353
0.3,8.0,10000000.0,0.35
0.3,8.0,30000000.0,0.346
0.3,12.0,100000.0,0.562
0.3,12.0,500000.0,0.47
0.3,12.0,1000000.0,0.43
0.3,12.0,5000000.0,0.351
0.3,12.0,7000000.0,0.345
0.3,12.0,10000000.0,0.341
0.3,12.0,30000000.0,0.333
0.3,16.0,100000.0,0.538
0.3,16.0,500000.0,0.45
0.3,16.0,1000000.0,0.416
0.3,16.0,5000000.0,0.355
0.3,16.0,7000000.0,0.351
0.3,16.0,10000000.0,0.348
0.3,16.0,30000000.0,0.342
0.3,20.0,100000.0,0.505
0.3,20.0,500000.0,0.419
0.3,20.0,1000000.0,0.387
0.3,20.0,5000000.0,0.335
0.3,20.0,7000000.0,0.332
0.3,20.0,10000000.0,0.33
0.3,20.0,30000000.0,0.326
0.5,0.0,100000.0,0.537
0.5,0.0,500000.0,0.45
0.5,0.0,1000000.0,0.422
0.5,0.0,5000000.0,0.392
0.5,0.0,7000000.0,0.392
0.5,0.0,10000000.0,0.392
0.5,0.0,30000000.0,0.392
0.5,2.0,100000.0,0.536
0.5,2.0,500000.0,0.449
0.5,2.0,1000000.0,0.421
0.5,2.0,5000000.0,0.389
