Mach,alpha_deg,Reynolds,CA
0.3,0.0,100000.0,0.418
0.3,0.0,500000.0,0.331
0.3,0.0,1000000.0,0.304
0.3,0.0,5000000.0,0.276
0.3,0.0,7000000.0,0.276
0.3,0.0,10000000.0,0.276
0.3,0.0,30000000.0,0.276
0.3,2.0,100000.0,0.418
0.3,2.0,500000.0,0.33
0.3,2.0,1000000.0,0.302
0.3,2.0,5000000.0,0.273
0.3,2.0,7000000.0,0.273
0.3,2.0,10000000.0,0.273
0.3,2.0,30000000.0,0.272
0.3,4.0,100000.0,0.417
0.3,4.0,500000.0,0.329
0.3,4.0,1000000.0,0.298
0.3,4.0,5000000.0,0.263
0.3,4.0,7000000.0,0.262
0.3,4.0,10000000.0,0.262
0.3,4.0,30000000.0,0.261
0.3,8.0,100000.0,0.424
0.3,8.0,500000.0,0.332
0.3,8.0,1000000.0,0.296
0.3,8.0,5000000.0,0.239
0.3,8.0,7000000.0,0.235
0.3,8.0,10000000.0,0.233
0.3,8.0,30000000.0,0.229
0.3,12.0,100000.0,0.446
0.3,12.0,500000.0,0.354
0.3,12.0,1000000.0,0.314
0.3,12.0,5000000.0,0.235
0.3,12.0,7000000.0,0.229
0.3,12.0,10000000.0,0.225
0.3,12.0,30000000.0,0.217
0.3,16.0,100000.0,0.424
0.3,16.0,500000.0,0.336
0.3,16.0,1000000.0,0.302
0.3,16.0,5000000.0,0.241
0.3,16.0,7000000.0,0.237
0.3,16.0,10000000.0,0.234
0.3,16.0,30000000.0,0.229
0.3,20.0,100000.0,0.394
0.3,20.0,500000.0,0.308
0.3,20.0,1000000.0,0.276
0.3,20.0,5000000.0,0.224
0.3,20.0,7000000.0,0.221
0.3,20.0,10000000.0,0.219
0.3,20.0,30000000.0,0.215
0.5,0.0,100000.0,0.418
0.5,0.0,500000.0,0.331
0.5,0.0,1000000.0,0.304
0.5,0.0,5000000.0,0.274
0.5,0.0,7000000.0,0.274
0.5,0.0,10000000.0,0.274
0.5,0.0,30000000.0,0.274
0.5,2.0,100000.0,0.418
0.5,2.0,500000.0,0.33
0.5,2.0,1000000.0,0.302
0.5,2.0,5000000.0,0.271
0.5,2.0,7000000.0,0.271
0.5,2.0,10000000.0,0.271
0.5,2.0,30000000.0,0.271
0.5,4.0,100000.0,0.417
0.5,4.0,500000.0,0.329
0.5,4.0,1000000.0,0.299
0.5,4.0,5000000.0,0.261
0.5,4.0,7000000.0,0.261
0.5,4.0,10000000.0,0.26
0.5,4.0,30000000.0,0.259
0.5,8.0,100000.0,0.424
0.5,8.0,500000.0,0.333
0.5,8.0,1000000.0,0.296
0.5,8.0,5000000.0,0.237
0.5,8.0,7000000.0,0.234
0.5,8.0,10000000.0,0.232
0.5,8.0,30000000.0,0.228
0.5,12.0,100000.0,0.448
0.5,12.0,500000.0,0.356
0.5,12.0,1000000.0,0.317
0.5,12.0,5000000.0,0.235
0.5,12.0,7000000.0,0.229
0.5,12.0,10000000.0,0.224
0.5,12.0,30000000.0,0.216
0.5,16.0,100000.0,0.425
0.5,16.0,500000.0,0.337
0.5,16.0,1000000.0,0.303
0.5,16.0,5000000.0,0.24
0.5,16.0,7000000.0,0.236
0.5,16.0,10000000.0,0.233
0.5,16.0,30000000.0,0.227
0.5,20.0,100000.0,0.394
0.5,20.0,500000.0,0.308
0.5,20.0,1000000.0,0.276
0.5,20.0,5000000.0,0.221
0.5,20.0,7000000.0,0.218
0.5,20.0,10000000.0,0.216
0.5,20.0,30000000.0,0.211
0.8,0.0,100000.0,0.439
0.8,0.0,500000.0,0.352
0.8,0.0,1000000.0,0.324
0.8,0.0,5000000.0,0.291
0.8,0.0,7000000.0,0.291
0.8,0.0,10000000.0,0.291
0.8,0.0,30000000.0,0.291
0.8,2.0,100000.0,0.439
0.8,2.0,500000.0,0.351
0.8,2.0,1000000.0,0.323
0.8,2.0,5000000.0,0.288
0.8,2.0,7000000.0,0.288
0.8,2.0,10000000.0,0.288
0.8,2.0,30000000.0,0.288
0.8,4.0,100000.0,0.438
0.8,4.0,500000.0,0.349
0.8,4.0,1000000.0,0.319
0.8,4.0,5000000.0,0.278
0.8,4.0,7000000.0,0.278
0.8,4.0,10000000.0,0.277
0.8,4.0,30000000.0,0.276
0.8,8.0,100000.0,0.443
0.8,8.0,500000.0,0.352
0.8,8.0,1000000.0,0.316
0.8,8.0,5000000.0,0.254
0.8,8.0,7000000.0,0.25
0.8,8.0,10000000.0,0.248
0.8,8.0,30000000.0,0.244
0.8,12.0,100000.0,0.462
0.8,12.0,500000.0,0.371
0.8,12.0,1000000.0,0.332
0.8,12.0,5000000.0,0.249
0.8,12.0,7000000.0,0.244
0.8,12.0,10000000.0,0.238
0.8,12.0,30000000.0,0.23
0.8,16.0,100000.0,0.441
0.8,16.0,500000.0,0.353
0.8,16.0,1000000.0,0.319
0.8,16.0,5000000.0,0.254
0.8,16.0,7000000.0,0.25
0.8,16.0,10000000.0,0.247
0.8,16.0,30000000.0,0.241
0.8,20.0,100000.0,0.407
0.8,20.0,500000.0,0.32
0.8,20.0,1000000.0,0.288
0.8,20.0,5000000.0,0.23
0.8,20.0,7000000.0,0.227
0.8,20.0,10000000.0,0.225
0.8,20.0,30000000.0,0.22
1.2,0.0,100000.0,0.59
1.2,0.0,500000.0,0.512
1.2,0.0,1000000.0,0.487
1.2,0.0,5000000.0,0.453
1.2,0.0,7000000.0,0.453
1.2,0.0,10000000.0,0.453
1.2,0.0,30000000.0,0.453
1.2,2.0,100000.0,0.59
1.2,2.0,500000.0,0.512
1.2,2.0,1000000.0,0.487
1.2,2.0,5000000.0,0.453
1.2,2.0,7000000.0,0.453
1.2,2.0,10000000.0,0.453
1.2,2.0,30000000.0,0.453
1.2,4.0,100000.0,0.59
1.2,4.0,500000.0,0.511
1.2,4.0,1000000.0,0.487
1.2,4.0,5000000.0,0.453
1.2,4.0,7000000.0,0.453
1.2,4.0,10000000.0,0.453
1.2,4.0,30000000.0,0.453
1.2,8.0,100000.0,0.587
1.2,8.0,500000.0,0.509
1.2,8.0,1000000.0,0.484
1.2,8.0,5000000.0,0.451
1.2,8.0,7000000.0,0.451
1.2,8.0,10000000.0,0.451
1.2,8.0,30000000.0,0.451
1.2,12.0,100000.0,0.579
1.2,12.0,500000.0,0.502
1.2,12.0,1000000.0,0.477
1.2,12.0,5000000.0,0.444
1.2,12.0,7000000.0,0.444
1.2,12.0,10000000.0,0.444
1.2,12.0,30000000.0,0.444
1.2,16.0,100000.0,0.559
1.2,16.0,500000.0,0.483
