Mach,alpha_deg,Cmq,Cnq,Clp
0.3,-24.0,-13.135,1.974,-0.112
0.3,-20.0,-13.513,1.992,-0.107
0.3,-16.0,-13.841,2.01,-0.101
0.3,-12.0,-14.136,2.031,-0.093
0.3,-8.0,-14.181,2.032,-0.087
0.3,-4.0,-13.542,1.94,-0.102
0.3,-2.0,-13.565,1.942,-0.087
0.3,0.0,-13.469,1.923,-0.079
0.3,2.0,-13.565,1.942,-0.087
0.3,4.0,-13.542,1.94,-0.102
0.3,8.0,-14.181,2.032,-0.087
0.3,12.0,-14.136,2.031,-0.093
0.3,16.0,-13.841,2.01,-0.101
0.3,20.0,-13.513,1.992,-0.107
0.3,24.0,-13.135,1.974,-0.112
0.5,-24.0,-13.534,2.02,-0.115
0.5,-20.0,-13.9,2.041,-0.11
0.5,-16.0,-14.236,2.056,-0.103
0.5,-12.0,-14.535,2.073,-0.095
0.5,-8.0,-14.57,2.069,-0.087
0.5,-4.0,-13.922,1.974,-0.102
0.5,-2.0,-13.942,1.975,-0.086
0.5,0.0,-13.835,1.955,-0.077
0.5,2.0,-13.942,1.975,-0.086
0.5,4.0,-13.922,1.974,-0.102
0.5,8.0,-14.57,2.069,-0.087
0.5,12.0,-14.535,2.073,-0.095
0.5,16.0,-14.236,2.056,-0.103
0.5,20.0,-13.9,2.041,-0.11
0.5,24.0,-13.534,2.02,-0.115
0.8,-24.0,-13.623,1.94,-0.106
0.8,-20.0,-13.991,1.974,-0.104
0.8,-16.0,-14.347,1.997,-0.099
0.8,-12.0,-14.665,2.021,-0.093
0.8,-8.0,-14.761,2.028,-0.087
0.8,-4.0,-14.167,1.943,-0.102
0.8,-2.0,-14.279,1.959,-0.086
0.8,0.0,-14.261,1.951,-0.077
0.8,2.0,-14.279,1.959,-0.086
0.8,4.0,-14.167,1.943,-0.102
0.8,8.0,-14.761,2.028,-0.087
0.8,12.0,-14.665,2.021,-0.093
0.8,16.0,-14.347,1.997,-0.099
0.8,20.0,-13.991,1.974,-0.104
0.8,24.0,-13.623,1.94,-0.106
1.2,-24.0,-14.911,2.008,-0.099
1.2,-20.0,-15.263,2.046,-0.097
1.2,-16.0,-15.595,2.079,-0.094
1.2,-12.0,-15.926,2.115,-0.09
1.2,-8.0,-16.204,2.152,-0.086
1.2,-4.0,-15.708,2.081,-0.107
1.2,-2.0,-16.022,2.126,-0.089
1.2,0.0,-16.186,2.145,-0.08
1.2,2.0,-16.022,2.126,-0.089
1.2,4.0,-15.708,2.081,-0.107
1.2,8.0,-16.204,2.152,-0.086
1.2,12.0,-15.926,2.115,-0.09
1.2,16.0,-15.595,2.079,-0.094
1.2,20.0,-15.263,2.046,-0.097
1.2,24.0,-14.911,2.008,-0.099
1.5,-24.0,-11.615,1.642,-0.087
1.5,-20.0,-11.855,1.669,-0.089
1.5,-16.0,-12.212,1.714,-0.088
1.5,-12.0,-12.594,1.763,-0.086
1.5,-8.0,-13.189,1.851,-0.084
1.5,-4.0,-13.032,1.832,-0.093
1.5,-2.0,-13.113,1.842,-0.081
1.5,0.0,-13.047,1.827,-0.075
1.5,2.0,-13.113,1.842,-0.081
1.5,4.0,-13.032,1.832,-0.093
1.5,8.0,-13.189,1.851,-0.084
1.5,12.0,-12.594,1.763,-0.086
1.5,16.0,-12.212,1.714,-0.088
1.5,20.0,-11.855,1.669,-0.089
1.5,24.0,-11.615,1.642,-0.087
2.0,-24.0,-8.105,1.167,-0.063
2.0,-20.0,-8.131,1.166,-0.065
2.0,-16.0,-8.275,1.181,-0.068
2.0,-12.0,-8.564,1.214,-0.069
2.0,-8.0,-8.99,1.277,-0.07
2.0,-4.0,-9.169,1.312,-0.078
2.0,-2.0,-9.47,1.356,-0.071
2.0,0.0,-9.666,1.38,-0.066
2.0,2.0,-9.47,1.356,-0.071
2.0,4.0,-9.169,1.312,-0.078
2.0,8.0,-8.99,1.277,-0.07
2.0,12.0,-8.564,1.214,-0.069
2.0,16.0,-8.275,1.181,-0.068
2.0,20.0,-8.131,1.166,-0.065
2.0,24.0,-8.105,1.167,-0.063
5.0,-24.0,-6.946,1.005,-0.061
5.0,-20.0,-6.803,0.984,-0.057
5.0,-16.0,-6.725,0.971,-0.057
5.0,-12.0,-6.695,0.969,-0.055
5.0,-8.0,-6.735,0.979,-0.054
5.0,-4.0,-6.667,0.972,-0.055
5.0,-2.0,-6.635,0.966,-0.051
5.0,0.0,-6.61,0.961,-0.049
5.0,2.0,-6.635,0.966,-0.051
5.0,4.0,-6.667,0.972,-0.055
5.0,8.0,-6.735,0.979,-0.054
5.0,12.0,-6.695,0.969,-0.055
5.0,16.0,-6.725,0.971,-0.057
5.0,20.0,-6.803,0.984,-0.057
5.0,24.0,-6.946,1.005,-0.061
6.0,-24.0,-6.544,0.959,-0.05
6.0,-20.0,-6.221,0.906,-0.047
6.0,-16.0,-6.022,0.881,-0.051
6.0,-12.0,-5.981,0.881,-0.05
6.0,-8.0,-5.964,0.885,-0.044
6.0,-4.0,-5.83,0.871,-0.041
6.0,-2.0,-5.731,0.856,-0.037
6.0,0.0,-5.63,0.838,-0.034
6.0,2.0,-5.731,0.856,-0.037
6.0,4.0,-5.83,0.871,-0.041
6.0,8.0,-5.964,0.885,-0.044
6.0,12.0,-5.981,0.881,-0.05
6.0,16.0,-6.022,0.881,-0.051
6.0,20.0,-6.221,0.906,-0.047
6.0,24.0,-6.544,0.959,-0.05
7.0,-24.0,-6.261,0.934,-0.052
7.0,-20.0,-6.106,0.895,-0.03
7.0,-16.0,-5.956,0.876,-0.052
