Mach,delta_deg,Cnd,Cmd
0.3,0.0,0.0,0.0
0.3,2.0,0.022,0.621
0.3,4.0,0.056,1.148
0.3,8.0,0.133,2.2
0.3,12.0,0.23,3.093
0.3,16.0,0.335,3.814
0.3,20.0,0.462,4.422
0.3,24.0,0.495,4.663
0.5,0.0,0.0,0.0
0.5,2.0,0.024,0.634
0.5,4.0,0.058,1.191
0.5,8.0,0.14,2.296
0.5,12.0,0.241,3.227
0.5,16.0,0.354,3.943
0.5,20.0,0.486,4.559
0.5,24.0,0.483,4.65
0.8,0.0,0.0,0.0
0.8,2.0,0.026,0.75
0.8,4.0,0.067,1.416
0.8,8.0,0.167,2.705
0.8,12.0,0.285,3.707
0.8,16.0,0.429,4.466
0.8,20.0,0.468,4.903
0.8,24.0,0.486,5.045
1.2,0.0,0.0,0.0
1.2,2.0,0.018,0.692
1.2,4.0,0.051,1.288
1.2,8.0,0.129,2.445
1.2,12.0,0.215,3.401
1.2,16.0,0.305,4.035
1.2,20.0,0.394,4.423
1.2,24.0,0.459,4.692
1.5,0.0,0.0,0.0
1.5,2.0,0.017,0.354
1.5,4.0,0.036,0.702
1.5,8.0,0.074,1.38
1.5,12.0,0.116,1.966
1.5,16.0,0.167,2.437
1.5,20.0,0.218,2.836
1.5,24.0,0.266,3.126
2.0,0.0,0.0,0.0
2.0,2.0,0.019,0.194
2.0,4.0,0.038,0.392
2.0,8.0,0.072,0.798
2.0,12.0,0.107,1.171
2.0,16.0,0.144,1.5
2.0,20.0,0.183,1.792
2.0,24.0,0.226,2.04
5.0,0.0,0.0,0.0
5.0,2.0,0.022,0.08
5.0,4.0,0.043,0.168
5.0,8.0,0.09,0.338
5.0,12.0,0.136,0.52
5.0,16.0,0.182,0.709
5.0,20.0,0.231,0.883
5.0,24.0,0.282,1.065
6.0,0.0,0.0,0.0
6.0,2.0,0.022,0.05
6.0,4.0,0.044,0.101
6.0,8.0,0.093,0.224
6.0,12.0,0.146,0.359
6.0,16.0,0.201,0.509
6.0,20.0,0.261,0.657
6.0,24.0,0.325,0.811
7.0,0.0,0.0,0.0
7.0,2.0,0.02,0.039
7.0,4.0,0.043,0.085
7.0,8.0,0.092,0.188
7.0,12.0,0.149,0.31
7.0,16.0,0.211,0.443
7.0,20.0,0.278,0.58
7.0,24.0,0.348,0.726
10.0,0.0,0.0,0.0
10.0,2.0,0.02,0.037
10.0,4.0,0.042,0.073
10.0,8.0,0.09,0.17
10.0,12.0,0.149,0.281
10.0,16.0,0.214,0.411
10.0,20.0,0.284,0.551
10.0,24.0,0.357,0.7
11.0,0.0,0.0,0.0
11.0,2.0,0.019,0.033
11.0,4.0,0.04,0.071
11.0,8.0,0.088,0.154
11.0,12.0,0.148,0.267
11.0,16.0,0.215,0.425
11.0,20.0,0.286,0.533
11.0,24.0,0.361,0.685
12.0,0.0,0.0,0.0
12.0,2.0,0.019,0.03
12.0,4.0,0.04,0.062
12.0,8.0,0.088,0.148
12.0,12.0,0.148,0.249
12.0,16.0,0.214,0.375
12.0,20.0,0.286,0.52
12.0,24.0,0.361,0.678
