Mach,alpha_deg,def_roll,Cll
0.3,0.0,0.0,0.0
0.3,2.0,0.0,0.0
0.3,4.0,0.0,0.0
0.3,8.0,0.0,0.0
0.3,12.0,0.0,0.0
0.3,16.0,0.0,0.0
0.3,20.0,0.0,0.0
0.5,0.0,0.0,0.0
0.5,2.0,0.0,0.0
0.5,4.0,0.0,0.0
0.5,8.0,0.0,0.0
0.5,12.0,0.0,0.0
0.5,16.0,0.0,0.0
0.5,20.0,0.0,0.0
0.8,0.0,0.0,0.0
0.8,2.0,0.0,0.0
0.8,4.0,0.0,0.0
0.8,8.0,0.0,0.0
0.8,12.0,0.0,0.0
0.8,16.0,0.0,0.0
0.8,20.0,0.0,0.0
1.2,0.0,0.0,0.0
1.2,2.0,0.0,0.0
1.2,4.0,0.0,0.0
1.2,8.0,0.0,0.0
1.2,12.0,0.0,0.0
1.2,16.0,0.0,0.0
1.2,20.0,0.0,0.0
2.0,0.0,0.0,0.0
2.0,2.0,0.0,0.0
2.0,4.0,0.0,0.0
2.0,8.0,0.0,0.0
2.0,12.0,0.0,0.0
2.0,16.0,0.0,0.0
2.0,20.0,0.0,0.0
3.0,0.0,0.0,0.0
3.0,2.0,0.0,0.0
3.0,4.0,0.0,0.0
3.0,8.0,0.0,0.0
3.0,12.0,0.0,0.0
3.0,16.0,0.0,0.0
3.0,20.0,0.0,0.0
5.0,0.0,0.0,0.0
5.0,2.0,0.0,0.0
5.0,4.0,0.0,0.0
5.0,8.0,0.0,0.0
5.0,12.0,0.0,0.0
5.0,16.0,0.0,0.0
5.0,20.0,0.0,0.0
7.0,0.0,0.0,0.0
7.0,2.0,0.0,0.0
7.0,4.0,0.0,0.0
7.0,8.0,0.0,0.0
7.0,12.0,0.0,0.0
7.0,16.0,0.0,0.0
7.0,20.0,0.0,0.0
9.0,0.0,0.0,0.0
9.0,2.0,0.0,0.0
9.0,4.0,0.0,0.0
9.0,8.0,0.0,0.0
9.0,12.0,0.0,0.0
9.0,16.0,0.0,0.0
9.0,20.0,0.0,0.0
11.0,0.0,0.0,0.0
11.0,2.0,0.0,0.0
11.0,4.0,0.0,0.0
11.0,8.0,0.0,0.0
11.0,12.0,0.0,0.0
11.0,16.0,0.0,0.0
11.0,20.0,0.0,0.0
13.0,0.0,0.0,0.0
13.0,2.0,0.0,0.0
13.0,4.0,0.0,0.0
13.0,8.0,0.0,0.0
13.0,12.0,0.0,0.0
13.0,16.0,0.0,0.0
13.0,20.0,0.0,0.0
15.0,0.0,0.0,0.0
15.0,2.0,0.0,0.0
15.0,4.0,0.0,0.0
15.0,8.0,0.0,0.0
15.0,12.0,0.0,0.0
15.0,16.0,0.0,0.0
15.0,20.0,0.0,0.0
0.3,0.0,5.0,-0.002
0.3,2.0,5.0,-0.011
0.3,4.0,5.0,-0.013
0.3,8.0,5.0,0.06
0.3,12.0,5.0,0.095
0.3,16.0,5.0,0.093
0.3,20.0,5.0,0.078
0.5,0.0,5.0,-0.002
0.5,2.0,5.0,-0.011
0.5,4.0,5.0,-0.013
0.5,8.0,5.0,0.061
0.5,12.0,5.0,0.096
0.5,16.0,5.0,0.09
0.5,20.0,5.0,0.076
0.8,0.0,5.0,-0.001
0.8,2.0,5.0,-0.011
0.8,4.0,5.0,-0.016
0.8,8.0,5.0,0.059
0.8,12.0,5.0,0.096
0.8,16.0,5.0,0.095
0.8,20.0,5.0,0.09
1.2,0.0,5.0,0.012
1.2,2.0,5.0,-0.011
1.2,4.0,5.0,-0.025
1.2,8.0,5.0,0.076
1.2,12.0,5.0,0.123
1.2,16.0,5.0,0.14
1.2,20.0,5.0,0.146
2.0,0.0,5.0,0.0
2.0,2.0,5.0,-0.01
2.0,4.0,5.0,-0.016
2.0,8.0,5.0,0.04
2.0,12.0,5.0,0.049
2.0,16.0,5.0,0.056
2.0,20.0,5.0,0.058
3.0,0.0,5.0,-0.001
3.0,2.0,5.0,-0.01
3.0,4.0,5.0,-0.011
3.0,8.0,5.0,0.025
3.0,12.0,5.0,0.027
3.0,16.0,5.0,0.026
3.0,20.0,5.0,0.025
5.0,0.0,5.0,-0.006
5.0,2.0,5.0,-0.011
5.0,4.0,5.0,-0.013
5.0,8.0,5.0,0.004
5.0,12.0,5.0,0.008
5.0,16.0,5.0,0.01
5.0,20.0,5.0,0.012
7.0,0.0,5.0,-0.007
7.0,2.0,5.0,-0.011
7.0,4.0,5.0,-0.011
7.0,8.0,5.0,0.003
7.0,12.0,5.0,0.007
7.0,16.0,5.0,0.014
7.0,20.0,5.0,0.022
9.0,0.0,5.0,-0.006
9.0,2.0,5.0,-0.01
9.0,4.0,5.0,-0.009
9.0,8.0,5.0,0.005
9.0,12.0,5.0,0.011
9.0,16.0,5.0,0.02
9.0,20.0,5.0,0.027
11.0,0.0,5.0,-0.005
11.0,2.0,5.0,-0.009
11.0,4.0,5.0,-0.006
11.0,8.0,5.0,0.009
11.0,12.0,5.0,0.018
11.0,16.0,5.0,0.011
11.0,20.0,5.0,0.035
13.0,0.0,5.0,-0.004
13.0,2.0,5.0,-0.006
13.0,4.0,5.0,-0.006
13.0,8.0,5.0,0.009
13.0,12.0,5.0,0.018
13.0,16.0,5.0,0.031
13.0,20.0,5.0,0.046
15.0,0.0,5.0,0.0
15.0,2.0,5.0,-0.005
15.0,4.0,5.0,-0.004
15.0,8.0,5.0,0.018
15.0,12.0,5.0,0.035
