Mach,alpha_deg,Cd,Cn,Cm
0.3,-24.0,0.733,-7.564,23.93
0.3,-20.0,0.733,-6.377,20.659
0.3,-16.0,0.575,-5.219,17.156
0.3,-12.0,0.429,-3.995,13.505
0.3,-8.0,0.324,-2.636,8.647
0.3,-4.0,0.275,-1.359,4.302
0.3,-2.0,0.264,-0.687,2.328
0.3,0.0,0.26,0.0,0.0
0.3,2.0,0.264,0.687,-2.328
0.3,4.0,0.275,1.359,-4.302
0.3,8.0,0.324,2.636,-8.647
0.3,12.0,0.429,3.995,-13.505
0.3,16.0,0.575,5.219,-17.156
0.3,24.0,0.733,7.564,-23.93
0.3,45.0,1.0995,17.54,-55.5
0.3,90.0,0.8795999999999999,23.72,-75.03
0.3,135.0,0.9529,12.67,40.08
0.5,-24.0,0.735,-7.814,24.727
0.5,-20.0,0.735,-6.638,22.341
0.5,-16.0,0.578,-5.352,18.162
0.5,-12.0,0.432,-4.069,14.164
0.5,-8.0,0.327,-2.712,9.385
0.5,-4.0,0.277,-1.352,4.326
0.5,-2.0,0.266,-0.703,2.47
0.5,0.0,0.262,0.0,0.0
0.5,2.0,0.266,0.703,-2.47
0.5,4.0,0.277,1.352,-4.326
0.5,8.0,0.327,2.712,-9.385
0.5,12.0,0.432,4.069,-14.164
0.5,16.0,0.578,5.352,-18.162
0.5,20.0,0.735,6.638,-22.341
0.5,24.0,0.735,7.814,-24.727
0.5,45.0,1.1025,18.12,-57.35
0.5,90.0,0.882,24.5,-77.53
0.5,135.0,0.9555,13.09,41.41
0.8,-24.0,0.785,-8.875,30.074
0.8,-20.0,0.785,-7.493,27.574
0.8,-16.0,0.618,-6.13,24.222
0.8,-12.0,0.466,-4.662,18.89
0.8,-8.0,0.357,-3.083,12.709
0.8,-4.0,0.305,-1.538,6.302
0.8,-2.0,0.294,-0.758,3.059
0.8,0.0,0.289,0.0,0.0
0.8,2.0,0.294,0.758,-3.059
0.8,4.0,0.305,1.538,-6.302
0.8,8.0,0.357,3.083,-12.709
0.8,12.0,0.466,4.662,-18.89
0.8,16.0,0.618,6.13,-24.222
0.8,20.0,0.785,7.493,-27.574
0.8,24.0,0.785,8.875,-30.074
0.8,45.0,1.1775,20.58,-69.75
0.8,90.0,0.942,27.83,-94.29
0.8,135.0,1.0205000000000002,14.86,50.36
1.2,-24.0,1.017,-9.32,28.354
1.2,-20.0,1.017,-7.658,27.614
1.2,-16.0,0.822,-6.129,24.514
1.2,-12.0,0.672,-4.643,20.015
1.2,-8.0,0.561,-3.102,13.889
1.2,-4.0,0.491,-1.492,6.429
1.2,-2.0,0.474,-0.729,3.055
1.2,0.0,0.468,0.0,0.0
1.2,2.0,0.474,0.729,-3.055
1.2,4.0,0.491,1.492,-6.429
1.2,8.0,0.561,3.102,-13.889
1.2,12.0,0.672,4.643,-20.015
1.2,16.0,0.822,6.129,-24.514
1.2,20.0,1.017,7.658,-27.614
1.2,24.0,1.017,9.32,-28.354
1.2,45.0,1.5254999999999999,21.62,-29.56
1.2,90.0,1.2204,29.22,-44.76
1.2,135.0,1.3220999999999998,15.61,64.77
2.0,-24.0,0.881,-8.833,12.084
2.0,-20.0,0.881,-6.955,10.816
2.0,-16.0,0.685,-5.139,10.296
2.0,-12.0,0.54,-3.594,8.179
2.0,-8.0,0.446,-2.287,5.553
2.0,-4.0,0.393,-1.111,2.782
2.0,-2.0,0.381,-0.549,1.371
2.0,0.0,0.377,0.0,0.0
2.0,2.0,0.381,0.549,-1.371
2.0,4.0,0.393,1.111,-2.782
2.0,8.0,0.446,2.287,-5.553
2.0,12.0,0.54,3.594,-8.179
2.0,16.0,0.685,5.139,-10.296
2.0,20.0,0.881,6.955,-10.816
2.0,24.0,0.881,8.833,-12.084
2.0,45.0,1.3215,20.29,-38.4
2.0,90.0,1.0572,26.47,-38.37
2.0,135.0,1.1453,13.71,45.79
3.0,-24.0,0.752,-7.769,7.905
3.0,-20.0,0.752,-6.226,6.305
3.0,-16.0,0.574,-4.723,5.168
3.0,-12.0,0.432,-3.265,4.078
3.0,-8.0,0.331,-2.01,2.812
3.0,-4.0,0.278,-0.953,1.425
3.0,-2.0,0.266,-0.47,0.714
3.0,0.0,0.262,0.0,0.0
3.0,2.0,0.266,0.47,-0.714
3.0,4.0,0.278,0.953,-1.425
3.0,8.0,0.331,2.01,-2.812
3.0,12.0,0.432,3.265,-4.078
3.0,16.0,0.574,4.723,-5.168
3.0,20.0,0.752,6.226,-6.305
3.0,24.0,0.752,7.769,-7.905
3.0,45.0,1.1280000000000001,18.51,-40.69
3.0,90.0,0.9024,24.79,-36.41
3.0,135.0,0.9776,11.95,40.46
5.0,-24.0,0.626,-6.729,5.965
5.0,-20.0,0.626,-5.399,4.765
5.0,-16.0,0.45,-4.159,3.824
5.0,-12.0,0.32,-2.998,3.126
5.0,-8.0,0.229,-1.872,2.182
5.0,-4.0,0.176,-0.875,1.133
5.0,-2.0,0.164,-0.429,0.571
5.0,0.0,0.161,0.0,0.0
5.0,2.0,0.164,0.429,-0.571
5.0,4.0,0.176,0.875,-1.133
5.0,8.0,0.229,1.872,-2.182
5.0,12.0,0.32,2.998,-3.126
5.0,16.0,0.45,4.159,-3.824
5.0,20.0,0.626,5.399,-4.765
5.0,24.0,0.626,6.729,-5.965
5.0,45.0,0.9390000000000001,16.65,-34.86
5.0,90.0,0.7512,23.68,-36.14
5.0,135.0,0.8138000000000001,10.83,37.83
7.0,-24.0,0.599,-6.516,5.052
7.0,-20.0,0.599,-5.025,4.162
7.0,-16.0,0.417,-3.856,3.364
7.0,-12.0,0.283,-2.789,2.756
7.0,-8.0,0.193,-1.785,2.092
7.0,-4.0,0.141,-0.849,1.184
7.0,-2.0,0.129,-0.417,0.62
7.0,0.0,0.125,0.0,0.0
7.0,2.0,0.129,0.417,-0.62
7.0,4.0,0.141,0.849,-1.184
7.0,8.0,0.193,1.785,-2.092
7.0,12.0,0.283,2.789,-2.756
7.0,16.0,0.417,3.856,-3.364
7.0,20.0,0.599,5.025,-4.162
7.0,24.0,0.599,6.516,-5.052
7.0,45.0,0.8985,16.1,-33.47
7.0,90.0,0.7188,23.19,-34.43
