Mach,alpha_deg,Reynolds,CA
0.3,0.0,100000.0,0.319
0.3,0.0,500000.0,0.282
0.3,0.0,1000000.0,0.271
0.3,0.0,5000000.0,0.26
0.3,0.0,7000000.0,0.26
0.3,0.0,10000000.0,0.26
0.3,0.0,30000000.0,0.26
0.3,2.0,100000.0,0.319
0.3,2.0,500000.0,0.282
0.3,2.0,1000000.0,0.27
0.3,2.0,5000000.0,0.258
0.3,2.0,7000000.0,0.258
0.3,2.0,10000000.0,0.258
0.3,2.0,30000000.0,0.258
0.3,4.0,100000.0,0.318
0.3,4.0,500000.0,0.28
0.3,4.0,1000000.0,0.267
0.3,4.0,5000000.0,0.253
0.3,4.0,7000000.0,0.252
0.3,4.0,10000000.0,0.252
0.3,4.0,30000000.0,0.252
0.3,8.0,100000.0,0.314
0.3,8.0,500000.0,0.273
0.3,8.0,1000000.0,0.255
0.3,8.0,5000000.0,0.234
0.3,8.0,7000000.0,0.233
0.3,8.0,10000000.0,0.232
0.3,8.0,30000000.0,0.232
0.3,12.0,100000.0,0.31
0.3,12.0,500000.0,0.269
0.3,12.0,1000000.0,0.251
0.3,12.0,5000000.0,0.23
0.3,12.0,7000000.0,0.229
0.3,12.0,10000000.0,0.228
0.3,12.0,30000000.0,0.228
0.3,16.0,100000.0,0.304
0.3,16.0,500000.0,0.266
0.3,16.0,1000000.0,0.252
0.3,16.0,5000000.0,0.236
0.3,16.0,7000000.0,0.236
0.3,16.0,10000000.0,0.236
0.3,16.0,30000000.0,0.235
0.3,20.0,100000.0,0.29
0.3,20.0,500000.0,0.254
0.3,20.0,1000000.0,0.241
0.3,20.0,5000000.0,0.227
0.3,20.0,7000000.0,0.227
0.3,20.0,10000000.0,0.227
0.3,20.0,30000000.0,0.227
0.5,0.0,100000.0,0.324
0.5,0.0,500000.0,0.286
0.5,0.0,1000000.0,0.274
0.5,0.0,5000000.0,0.262
0.5,0.0,7000000.0,0.262
0.5,0.0,10000000.0,0.262
0.5,0.0,30000000.0,0.262
0.5,2.0,100000.0,0.324
0.5,2.0,500000.0,0.285
0.5,2.0,1000000.0,0.273
0.5,2.0,5000000.0,0.261
0.5,2.0,7000000.0,0.26
0.5,2.0,10000000.0,0.26
0.5,2.0,30000000.0,0.26
0.5,4.0,100000.0,0.323
0.5,4.0,500000.0,0.284
0.5,4.0,1000000.0,0.27
0.5,4.0,5000000.0,0.255
0.5,4.0,7000000.0,0.255
0.5,4.0,10000000.0,0.254
0.5,4.0,30000000.0,0.254
0.5,8.0,100000.0,0.318
0.5,8.0,500000.0,0.276
0.5,8.0,1000000.0,0.259
0.5,8.0,5000000.0,0.236
0.5,8.0,7000000.0,0.235
