Mach,alpha_deg,Reynolds,CA
0.3,0.0,100000.0,0.283
0.3,0.0,500000.0,0.246
0.3,0.0,1000000.0,0.235
0.3,0.0,5000000.0,0.224
0.3,0.0,7000000.0,0.224
0.3,0.0,10000000.0,0.224
0.3,0.0,30000000.0,0.224
0.3,2.0,100000.0,0.283
0.3,2.0,500000.0,0.246
0.3,2.0,1000000.0,0.234
0.3,2.0,5000000.0,0.222
0.3,2.0,7000000.0,0.222
0.3,2.0,10000000.0,0.222
0.3,2.0,30000000.0,0.222
0.3,4.0,100000.0,0.282
0.3,4.0,500000.0,0.244
0.3,4.0,1000000.0,0.231
0.3,4.0,5000000.0,0.217
0.3,4.0,7000000.0,0.216
0.3,4.0,10000000.0,0.216
0.3,4.0,30000000.0,0.216
0.3,8.0,100000.0,0.278
0.3,8.0,500000.0,0.237
0.3,8.0,1000000.0,0.219
0.3,8.0,5000000.0,0.198
0.3,8.0,7000000.0,0.197
0.3,8.0,10000000.0,0.197
0.3,8.0,30000000.0,0.196
0.3,12.0,100000.0,0.274
0.3,12.0,500000.0,0.234
0.3,12.0,1000000.0,0.216
0.3,12.0,5000000.0,0.195
0.3,12.0,7000000.0,0.194
0.3,12.0,10000000.0,0.193
0.3,12.0,30000000.0,0.193
0.3,16.0,100000.0,0.269
0.3,16.0,500000.0,0.231
0.3,16.0,1000000.0,0.217
0.3,16.0,5000000.0,0.202
0.3,16.0,7000000.0,0.201
0.3,16.0,10000000.0,0.201
0.3,16.0,30000000.0,0.201
0.3,20.0,100000.0,0.257
0.3,20.0,500000.0,0.22
0.3,20.0,1000000.0,0.207
0.3,20.0,5000000.0,0.194
0.3,20.0,7000000.0,0.193
0.3,20.0,10000000.0,0.193
0.3,20.0,30000000.0,0.193
0.5,0.0,100000.0,0.288
0.5,0.0,500000.0,0.25
0.5,0.0,1000000.0,0.238
0.5,0.0,5000000.0,0.226
0.5,0.0,7000000.0,0.226
0.5,0.0,10000000.0,0.226
0.5,0.0,30000000.0,0.226
0.5,2.0,100000.0,0.288
0.5,2.0,500000.0,0.249
0.5,2.0,1000000.0,0.237
0.5,2.0,5000000.0,0.225
0.5,2.0,7000000.0,0.224
0.5,2.0,10000000.0,0.224
0.5,2.0,30000000.0,0.224
0.5,4.0,100000.0,0.287
0.5,4.0,500000.0,0.248
0.5,4.0,1000000.0,0.234
0.5,4.0,5000000.0,0.219
0.5,4.0,7000000.0,0.219
0.5,4.0,10000000.0,0.218
0.5,4.0,30000000.0,0.218
0.5,8.0,100000.0,0.283
0.5,8.0,500000.0,0.241
0.5,8.0,1000000.0,0.223
0.5,8.0,5000000.0,0.2
0.5,8.0,7000000.0,0.199
0.5,8.0,10000000.0,0.198
0.5,8.0,30000000.0,0.198
0.5,12.0,100000.0,0.279
0.5,12.0,500000.0,0.237
0.5,12.0,1000000.0,0.219
0.5,12.0,5000000.0,0.197
0.5,12.0,7000000.0,0.196
0.5,12.0,10000000.0,0.195
0.5,12.0,30000000.0,0.194
0.5,16.0,100000.0,0.274
0.5,16.0,500000.0,0.235
0.5,16.0,1000000.0,0.22
0.5,16.0,5000000.0,0.203
0.5,16.0,7000000.0,0.203
0.5,16.0,10000000.0,0.203
0.5,16.0,30000000.0,0.202
0.5,20.0,100000.0,0.261
0.5,20.0,500000.0,0.223
0.5,20.0,1000000.0,0.21
0.5,20.0,5000000.0,0.194
0.5,20.0,7000000.0,0.194
0.5,20.0,10000000.0,0.194
0.5,20.0,30000000.0,0.194
0.8,0.0,100000.0,0.328
0.8,0.0,500000.0,0.283
0.8,0.0,1000000.0,0.27
0.8,0.0,5000000.0,0.254
0.8,0.0,7000000.0,0.254
0.8,0.0,10000000.0,0.254
0.8,0.0,30000000.0,0.254
0.8,2.0,100000.0,0.328
0.8,2.0,500000.0,0.283
0.8,2.0,1000000.0,0.269
0.8,2.0,5000000.0,0.253
0.8,2.0,7000000.0,0.253
0.8,2.0,10000000.0,0.252
0.8,2.0,30000000.0,0.252
0.8,4.0,100000.0,0.327
0.8,4.0,500000.0,0.281
0.8,4.0,1000000.0,0.266
0.8,4.0,5000000.0,0.247
0.8,4.0,7000000.0,0.247
0.8,4.0,10000000.0,0.246
0.8,4.0,30000000.0,0.246
0.8,8.0,100000.0,0.322
0.8,8.0,500000.0,0.275
0.8,8.0,1000000.0,0.255
0.8,8.0,5000000.0,0.228
0.8,8.0,7000000.0,0.227
0.8,8.0,10000000.0,0.226
0.8,8.0,30000000.0,0.225
0.8,12.0,100000.0,0.318
0.8,12.0,500000.0,0.271
0.8,12.0,1000000.0,0.252
0.8,12.0,5000000.0,0.224
0.8,12.0,7000000.0,0.223
0.8,12.0,10000000.0,0.222
0.8,12.0,30000000.0,0.221
0.8,16.0,100000.0,0.312
0.8,16.0,500000.0,0.268
0.8,16.0,1000000.0,0.251
0.8,16.0,5000000.0,0.23
0.8,16.0,7000000.0,0.23
0.8,16.0,10000000.0,0.229
0.8,16.0,30000000.0,0.229
0.8,20.0,100000.0,0.298
0.8,20.0,500000.0,0.254
0.8,20.0,1000000.0,0.239
0.8,20.0,5000000.0,0.218
0.8,20.0,7000000.0,0.218
0.8,20.0,10000000.0,0.217
0.8,20.0,30000000.0,0.217
1.2,0.0,100000.0,0.452
1.2,0.0,500000.0,0.432
1.2,0.0,1000000.0,0.426
1.2,0.0,5000000.0,0.417
1.2,0.0,7000000.0,0.417
1.2,0.0,10000000.0,0.417
1.2,0.0,30000000.0,0.417
1.2,2.0,100000.0,0.452
1.2,2.0,500000.0,0.432
1.2,2.0,1000000.0,0.426
1.2,2.0,5000000.0,0.418
1.2,2.0,7000000.0,0.418
1.2,2.0,10000000.0,0.418
1.2,2.0,30000000.0,0.418
1.2,4.0,100000.0,0.452
1.2,4.0,500000.0,0.432
1.2,4.0,1000000.0,0.425
1.2,4.0,5000000.0,0.417
1.2,4.0,7000000.0,0.417
1.2,4.0,10000000.0,0.417
1.2,4.0,30000000.0,0.417
1.2,8.0,100000.0,0.45
1.2,8.0,500000.0,0.429
1.2,8.0,1000000.0,0.423
1.2,8.0,5000000.0,0.415
1.2,8.0,7000000.0,0.415
1.2,8.0,10000000.0,0.415
1.2,8.0,30000000.0,0.415
1.2,12.0,100000.0,0.444
1.2,12.0,500000.0,0.424
1.2,12.0,1000000.0,0.418
1.2,12.0,5000000.0,0.41
1.2,12.0,7000000.0,0.41
1.2,12.0,10000000.0,0.41
1.2,12.0,30000000.0,0.41
1.2,16.0,100000.0,0.434
1.2,16.0,500000.0,0.414
1.2,16.0,1000000.0,0.408
1.2,16.0,5000000.0,0.4
1.2,16.0,7000000.0,0.4
1.2,16.0,10000000.0,0.4
1.2,16.0,30000000.0,0.4
1.2,20.0,100000.0,0.415
1.2,20.0,500000.0,0.395
1.2,20.0,1000000.0,0.389
1.2,20.0,5000000.0,0.381
1.2,20.0,7000000.0,0.381
1.2,20.0,10000000.0,0.381
1.2,20.0,30000000.0,0.381
2.0,0.0,100000.0,0.374
2.0,0.0,500000.0,0.354
2.0,0.0,1000000.0,0.348
2.0,0.0,5000000.0,0.338
2.0,0.0,7000000.0,0.338
2.0,0.0,10000000.0,0.338
2.0,0.0,30000000.0,0.338
2.0,2.0,100000.0,0.374
2.0,2.0,500000.0,0.354
2.0,2.0,1000000.0,0.348
2.0,2.0,5000000.0,0.338
2.0,2.0,7000000.0,0.338
2.0,2.0,10000000.0,0.338
2.0,2.0,30000000.0,0.338
2.0,4.0,100000.0,0.373
2.0,4.0,500000.0,0.353
2.0,4.0,1000000.0,0.347
2.0,4.0,5000000.0,0.337
2.0,4.0,7000000.0,0.337
2.0,4.0,10000000.0,0.337
2.0,4.0,30000000.0,0.337
2.0,8.0,100000.0,0.368
2.0,8.0,500000.0,0.349
2.0,8.0,1000000.0,0.343
2.0,8.0,5000000.0,0.333
2.0,8.0,7000000.0,0.333
2.0,8.0,10000000.0,0.333
2.0,8.0,30000000.0,0.333
2.0,12.0,100000.0,0.361
2.0,12.0,500000.0,0.342
2.0,12.0,1000000.0,0.336
2.0,12.0,5000000.0,0.326
2.0,12.0,7000000.0,0.326
2.0,12.0,10000000.0,0.326
2.0,12.0,30000000.0,0.326
2.0,16.0,100000.0,0.351
2.0,16.0,500000.0,0.333
2.0,16.0,1000000.0,0.327
2.0,16.0,5000000.0,0.317
2.0,16.0,7000000.0,0.317
2.0,16.0,10000000.0,0.317
2.0,16.0,30000000.0,0.317
2.0,20.0,100000.0,0.339
2.0,20.0,500000.0,0.321
2.0,20.0,1000000.0,0.316
2.0,20.0,5000000.0,0.307
2.0,20.0,7000000.0,0.306
2.0,20.0,10000000.0,0.306
2.0,20.0,30000000.0,0.306
3.0,0.0,100000.0,0.275
3.0,0.0,500000.0,0.255
3.0,0.0,1000000.0,0.25
3.0,0.0,5000000.0,0.24
3.0,0.0,7000000.0,0.239
3.0,0.0,10000000.0,0.238
3.0,0.0,30000000.0,0.237
3.0,2.0,100000.0,0.275
3.0,2.0,500000.0,0.256
3.0,2.0,1000000.0,0.25
3.0,2.0,5000000.0,0.241
3.0,2.0,7000000.0,0.239
3.0,2.0,10000000.0,0.238
3.0,2.0,30000000.0,0.237
3.0,4.0,100000.0,0.275
3.0,4.0,500000.0,0.256
3.0,4.0,1000000.0,0.251
3.0,4.0,5000000.0,0.241
3.0,4.0,7000000.0,0.24
3.0,4.0,10000000.0,0.238
3.0,4.0,30000000.0,0.238
3.0,8.0,100000.0,0.278
3.0,8.0,500000.0,0.259
3.0,8.0,1000000.0,0.253
3.0,8.0,5000000.0,0.244
3.0,8.0,7000000.0,0.242
3.0,8.0,10000000.0,0.241
3.0,8.0,30000000.0,0.241
3.0,12.0,100000.0,0.281
3.0,12.0,500000.0,0.263
3.0,12.0,1000000.0,0.257
3.0,12.0,5000000.0,0.248
3.0,12.0,7000000.0,0.247
3.0,12.0,10000000.0,0.245
3.0,12.0,30000000.0,0.245
3.0,16.0,100000.0,0.286
3.0,16.0,500000.0,0.268
3.0,16.0,1000000.0,0.263
3.0,16.0,5000000.0,0.254
3.0,16.0,7000000.0,0.252
3.0,16.0,10000000.0,0.251
3.0,16.0,30000000.0,0.251
3.0,20.0,100000.0,0.292
3.0,20.0,500000.0,0.274
3.0,20.0,1000000.0,0.269
3.0,20.0,5000000.0,0.26
3.0,20.0,7000000.0,0.259
3.0,20.0,10000000.0,0.258
3.0,20.0,30000000.0,0.257
5.0,0.0,100000.0,0.188
5.0,0.0,500000.0,0.169
5.0,0.0,1000000.0,0.164
5.0,0.0,5000000.0,0.156
5.0,0.0,7000000.0,0.154
5.0,0.0,10000000.0,0.153
5.0,0.0,30000000.0,0.15
5.0,2.0,100000.0,0.188
5.0,2.0,500000.0,0.17
5.0,2.0,1000000.0,0.165
5.0,2.0,5000000.0,0.156
5.0,2.0,7000000.0,0.155
5.0,2.0,10000000.0,0.154
5.0,2.0,30000000.0,0.151
5.0,4.0,100000.0,0.19
5.0,4.0,500000.0,0.171
5.0,4.0,1000000.0,0.166
5.0,4.0,5000000.0,0.158
5.0,4.0,7000000.0,0.157
5.0,4.0,10000000.0,0.156
5.0,4.0,30000000.0,0.153
5.0,8.0,100000.0,0.197
5.0,8.0,500000.0,0.178
5.0,8.0,1000000.0,0.173
5.0,8.0,5000000.0,0.165
5.0,8.0,7000000.0,0.164
5.0,8.0,10000000.0,0.163
5.0,8.0,30000000.0,0.16
5.0,12.0,100000.0,0.208
5.0,12.0,500000.0,0.19
5.0,12.0,1000000.0,0.185
5.0,12.0,5000000.0,0.177
5.0,12.0,7000000.0,0.176
5.0,12.0,10000000.0,0.174
5.0,12.0,30000000.0,0.172
5.0,16.0,100000.0,0.223
5.0,16.0,500000.0,0.205
5.0,16.0,1000000.0,0.2
5.0,16.0,5000000.0,0.193
5.0,16.0,7000000.0,0.191
5.0,16.0,10000000.0,0.19
5.0,16.0,30000000.0,0.187
5.0,20.0,100000.0,0.241
5.0,20.0,500000.0,0.224
5.0,20.0,1000000.0,0.219
5.0,20.0,5000000.0,0.212
5.0,20.0,7000000.0,0.211
5.0,20.0,10000000.0,0.209
5.0,20.0,30000000.0,0.207
7.0,0.0,100000.0,0.156
7.0,0.0,500000.0,0.137
7.0,0.0,1000000.0,0.132
7.0,0.0,5000000.0,0.125
7.0,0.0,7000000.0,0.124
7.0,0.0,10000000.0,0.122
7.0,0.0,30000000.0,0.12
7.0,2.0,100000.0,0.157
7.0,2.0,500000.0,0.138
7.0,2.0,1000000.0,0.133
7.0,2.0,5000000.0,0.125
7.0,2.0,7000000.0,0.124
7.0,2.0,10000000.0,0.123
7.0,2.0,30000000.0,0.121
7.0,4.0,100000.0,0.159
7.0,4.0,500000.0,0.14
7.0,4.0,1000000.0,0.135
7.0,4.0,5000000.0,0.128
7.0,4.0,7000000.0,0.127
7.0,4.0,10000000.0,0.126
7.0,4.0,30000000.0,0.123
7.0,8.0,100000.0,0.168
7.0,8.0,500000.0,0.149
