Mach,alpha_deg,Cmq,Cnq,Clp
0.3,-24.0,-4.99,2.247,-4.423
0.3,-20.0,-6.714,2.427,-5.671
0.3,-16.0,-9.686,2.738,-6.884
0.3,-12.0,-13.412,3.128,-7.726
0.3,-8.0,-19.094,3.723,-8.475
0.3,-4.0,-25.876,4.432,-9.092
0.3,-2.0,-28.631,4.72,-9.286
0.3,0.0,-30.891,4.956,-9.357
0.3,2.0,-28.631,4.72,-9.286
0.3,4.0,-25.876,4.432,-9.092
0.3,8.0,-19.094,3.723,-8.475
0.3,12.0,-13.412,3.128,-7.726
0.3,16.0,-9.686,2.738,-6.884
0.3,20.0,-6.714,2.427,-5.671
0.3,24.0,-4.99,2.247,-4.423
0.5,-24.0,-7.123,2.437,-4.586
0.5,-20.0,-8.207,2.55,-5.522
0.5,-16.0,-10.449,2.785,-6.651
0.5,-12.0,-13.536,3.107,-7.621
0.5,-8.0,-18.378,3.613,-8.425
0.5,-4.0,-24.895,4.294,-9.172
0.5,-2.0,-27.884,4.606,-9.405
0.5,0.0,-30.539,4.883,-9.482
0.5,2.0,-27.884,4.606,-9.405
0.5,4.0,-24.895,4.294,-9.172
0.5,8.0,-18.378,3.613,-8.425
0.5,12.0,-13.536,3.107,-7.621
0.5,16.0,-10.449,2.785,-6.651
0.5,20.0,-8.207,2.55,-5.522
0.5,24.0,-7.123,2.437,-4.586
0.8,-24.0,-15.852,3.25,-6.139
0.8,-20.0,-16.829,3.351,-6.805
0.8,-16.0,-18.649,3.54,-7.669
0.8,-12.0,-21.225,3.807,-8.47
0.8,-8.0,-25.21,4.221,-9.181
0.8,-4.0,-30.573,4.779,-9.904
0.8,-2.0,-33.046,5.036,-10.129
0.8,0.0,-35.255,5.265,-10.208
0.8,2.0,-33.046,5.036,-10.129
0.8,4.0,-30.573,4.779,-9.904
0.8,8.0,-25.21,4.221,-9.181
0.8,12.0,-21.225,3.807,-8.47
0.8,16.0,-18.649,3.54,-7.669
0.8,20.0,-16.829,3.351,-6.805
0.8,24.0,-15.852,3.25,-6.139
1.2,-24.0,-40.955,4.249,-9.652
1.2,-20.0,-42.291,4.381,-10.121
1.2,-16.0,-44.269,4.577,-10.651
1.2,-12.0,-46.524,4.8,-11.094
1.2,-8.0,-49.529,5.097,-11.513
1.2,-4.0,-53.136,5.454,-11.941
1.2,-2.0,-54.71,5.61,-12.07
1.2,0.0,-56.009,5.739,-12.115
1.2,2.0,-54.71,5.61,-12.07
1.2,4.0,-53.136,5.454,-11.941
1.2,8.0,-49.529,5.097,-11.513
1.2,12.0,-46.524,4.8,-11.094
1.2,16.0,-44.269,4.577,-10.651
1.2,20.0,-42.291,4.381,-10.121
1.2,24.0,-40.955,4.249,-9.652
2.0,-24.0,-32.043,3.352,-5.814
2.0,-20.0,-32.982,3.445,-6.114
2.0,-16.0,-34.083,3.553,-6.353
2.0,-12.0,-35.112,3.655,-6.498
2.0,-8.0,-36.611,3.802,-6.64
2.0,-4.0,-38.472,3.986,-6.792
2.0,-2.0,-39.254,4.063,-6.837
2.0,0.0,-39.832,4.12,-6.85
2.0,2.0,-39.254,4.063,-6.837
2.0,4.0,-38.472,3.986,-6.792
2.0,8.0,-36.611,3.802,-6.64
2.0,12.0,-35.112,3.655,-6.498
2.0,16.0,-34.083,3.553,-6.353
2.0,20.0,-32.982,3.445,-6.114
2.0,24.0,-32.043,3.352,-5.814
3.0,-24.0,-28.859,3.047,-4.237
3.0,-20.0,-29.066,3.067,-4.373
3.0,-16.0,-29.452,3.105,-4.491
3.0,-12.0,-29.842,3.144,-4.532
3.0,-8.0,-30.567,3.215,-4.597
3.0,-4.0,-31.644,3.321,-4.748
3.0,-2.0,-31.998,3.356,-4.816
3.0,0.0,-32.268,3.383,-4.833
3.0,2.0,-31.998,3.356,-4.816
3.0,4.0,-31.644,3.321,-4.748
3.0,8.0,-30.567,3.215,-4.597
3.0,12.0,-29.842,3.144,-4.532
3.0,16.0,-29.452,3.105,-4.491
3.0,20.0,-29.066,3.067,-4.373
3.0,24.0,-28.859,3.047,-4.237
5.0,-24.0,-25.867,2.763,-3.392
5.0,-20.0,-25.836,2.76,-3.327
5.0,-16.0,-25.875,2.764,-3.223
5.0,-12.0,-26.049,2.781,-3.143
5.0,-8.0,-26.193,2.795,-3.072
5.0,-4.0,-26.053,2.782,-2.974
5.0,-2.0,-25.92,2.769,-2.938
5.0,0.0,-25.719,2.749,-2.908
5.0,2.0,-25.92,2.769,-2.938
5.0,4.0,-26.053,2.782,-2.974
5.0,8.0,-26.193,2.795,-3.072
